date,race,category,model_version,hits_10,hits_3
2025-11-23,Tabor,Men Elite,v1,4,1
2025-11-23,Tabor,Women Elite,v1,3,0
2025-11-30,Flamanville,Men Elite,v2,8,1
2025-11-30,Flamanville,Women Elite,v2,5,1
2025-12-07,Sardinia,Men Elite,v6,7,1
2025-12-07,Sardinia,Women Elite,v6,6,2
2025-12-13,Kortrijk,Men Elite,v6.2,6,1
2025-12-13,Kortrijk,Women Elite,v6.2,7,2
2025-12-14,Namur,Men Elite,v6.1,6,2
2025-12-14,Namur,Women Elite,v6.1,6,1
2025-12-20,Antwerpen,Men Elite,v6.4,6,1
2025-12-20,Antwerpen,Women Elite,v6.4,7,2
2025-12-21,Koksijde,Men Elite,v6.5,7,2
2025-12-21,Koksijde,Women Elite,v6.5,9,2
2025-12-22,Hofstade,Men Elite,v6.6,8,2
2025-12-22,Hofstade,Women Elite,v6.6,7,1
2025-12-26,Heusden-Zolder,Men Elite,v6.7,5,2
2025-12-26,Heusden-Zolder,Women Elite,v6.7,6,2
2025-12-26,Gavere,Men Elite,v6.8,6,2
2025-12-26,Gavere,Women Elite,v6.8,7,2
2025-12-28,Dendermonde,Men Elite,v6.9,8,2
2025-12-28,Dendermonde,Women Elite,v6.9,7,2
2025-12-29,Loenhout,Men Elite,v6.10,6,2
2025-12-29,Loenhout,Women Elite,v6.10,6,1
2025-12-30,Diegem,Men Elite,v6.12,6,2
2025-12-30,Diegem,Women Elite,v6.12,5,2
