Category Name,Place,RacerID,First Name,Last Name,Team Name,Time,License,Carried Points,Scored Points,series_name,race_name,race_date,race_location,race_id,rider_name
Men Elite,1.0,76053,Mathieu,Van der poel,,1:02:44,,102.17625728836,102.17625728836,2025-UCI-Cyclo-cross-World-Championships,2025-02-02,,,unknown_2025-uci-cyclo-cross-world-championships_2025-02-02_noloc,Mathieu Van der poel
Men Elite,2.0,76073,Wout,Van aert,,1:03:29,,111.10045785287,106.19604331851,2025-UCI-Cyclo-cross-World-Championships,2025-02-02,,,unknown_2025-uci-cyclo-cross-world-championships_2025-02-02_noloc,Wout Van aert
Men Elite,3.0,174015,Thibau,Nys,,1:03:50,,143.70451992155,109.02078569255,2025-UCI-Cyclo-cross-World-Championships,2025-02-02,,,unknown_2025-uci-cyclo-cross-world-championships_2025-02-02_noloc,Thibau Nys
Men Elite,4.0,91571,Joris,Nieuwenhuis,,1:03:59,,119.08319875182,111.84552806659,2025-UCI-Cyclo-cross-World-Championships,2025-02-02,,,unknown_2025-uci-cyclo-cross-world-championships_2025-02-02_noloc,Joris Nieuwenhuis
Men Elite,5.0,174023,Emiel,Verstrynge,,1:04:37,,134.6562290817,114.67027044063,2025-UCI-Cyclo-cross-World-Championships,2025-02-02,,,unknown_2025-uci-cyclo-cross-world-championships_2025-02-02_noloc,Emiel Verstrynge
Men Elite,6.0,76111,Toon,Aerts,,1:04:40,,136.93908590409,117.49501281467,2025-UCI-Cyclo-cross-World-Championships,2025-02-02,,,unknown_2025-uci-cyclo-cross-world-championships_2025-02-02_noloc,Toon Aerts
Men Elite,7.0,36284,Michael,Vanthourenhout,,1:04:44,,136.1799438563,120.3197551887,2025-UCI-Cyclo-cross-World-Championships,2025-02-02,,,unknown_2025-uci-cyclo-cross-world-championships_2025-02-02_noloc,Michael Vanthourenhout
Men Elite,8.0,161704,Joran,Wyseure,,1:04:47,,137.4904796498,123.14449756274,2025-UCI-Cyclo-cross-World-Championships,2025-02-02,,,unknown_2025-uci-cyclo-cross-world-championships_2025-02-02_noloc,Joran Wyseure
Men Elite,9.0,22180,Lars,Van der haar,,1:04:53,,128.00607459402,125.96923993678,2025-UCI-Cyclo-cross-World-Championships,2025-02-02,,,unknown_2025-uci-cyclo-cross-world-championships_2025-02-02_noloc,Lars Van der haar
Men Elite,10.0,36277,Laurens,Sweeck,,1:05:12,,139.10214201852,128.79398231082,2025-UCI-Cyclo-cross-World-Championships,2025-02-02,,,unknown_2025-uci-cyclo-cross-world-championships_2025-02-02_noloc,Laurens Sweeck
