Category Name,Place,RacerID,First Name,Last Name,Team Name,Time,License,Carried Points,Scored Points,series_name,race_name,race_date,race_location,race_id,rider_name,rider_name_norm,uci_points_normalized,points_tier,team_tier,is_elite,is_women,races_so_far,avg_place_last3,best_place_last5,last_place,days_since_last_race,last_carried_points,last_scored_points,top3_finish,top3_rate_career,top10_finish,top10_rate_career,series_appearances
Men Elite,12.0,196596,Aaron,Dockx,CRELAN-CORENDON,0:58:29,,175.29293719795,146.75111283455,Telenet-Superprestige,CycloCross-Overijse,2024-10-27,Overijse-BEL,20241027_telenet-superprestige_cyclocross-overijse_overijse-bel,Aaron Dockx,aaron dockx,0.23260037883729207,high,top_team,1,0,0,,,,,,,0,,0,,0.0
Men Under 23,60.0,196596,Aaron,Dockx,CRELAN-CORENDON,DNF,,170.66323496766,323.24228020822,X²O-Badkamers-Trofee,Flandriencross-Hamme,2024-11-17,Hamme-BEL,20241117_x-o-badkamers-trofee_flandriencross-hamme_hamme-bel,Aaron Dockx,aaron dockx,0.22645711653657968,high,top_team,0,0,1,12.0,12.0,12.0,21.0,175.29293719795,146.75111283455,0,0.0,0,0.0,0.0
Men Under 23,2.0,196596,Aaron,Dockx,,0:52:43,,175.19455752701,149.56276840329,UCI-World-Cup,World-Cup-No-02,2024-12-01,Dublin-Ireland,20241201_uci-world-cup_world-cup-no-02_dublin-ireland,Aaron Dockx,aaron dockx,0.2324698365057166,high,no_team,0,0,2,36.0,12.0,60.0,14.0,170.66323496766,323.24228020822,1,0.0,1,0.0,0.0
Men Elite,19.0,196596,Aaron,Dockx,,1:06:57,,171.39426221413,164.81292457276,UCI-World-Cup,World-Cup-No-04,2024-12-15,Namur-BEL,20241215_uci-world-cup_world-cup-no-04_namur-bel,Aaron Dockx,aaron dockx,0.22742713402380615,high,no_team,1,0,3,24.666666666666668,2.0,2.0,14.0,175.19455752701,149.56276840329,0,0.3333333333333333,0,0.3333333333333333,1.0
Men Under 23,11.0,196596,Aaron,Dockx,,0:55:00,,171.39426221413,162.11158682326,UCI-World-Cup,World-Cup-No-05,2024-12-21,Hulst-NED,20241221_uci-world-cup_world-cup-no-05_hulst-ned,Aaron Dockx,aaron dockx,0.22742713402380615,high,no_team,0,0,4,27.0,2.0,19.0,6.0,171.39426221413,164.81292457276,0,0.25,0,0.25,2.0
Men Under 23,11.0,196596,Aaron,Dockx,,0:49:26,,171.97656443061,167.85333117441,UCI-World-Cup,World-Cup-No-06,2024-12-22,Zonhoven-BEL,20241222_uci-world-cup_world-cup-no-06_zonhoven-bel,Aaron Dockx,aaron dockx,0.22819980472187368,high,no_team,0,0,5,10.666666666666666,2.0,11.0,1.0,171.39426221413,162.11158682326,0,0.2,0,0.2,3.0
Men Under 23,25.0,196596,Aaron,Dockx,,1:00:13,,177.55876266407,202.67613442039,UCI-World-Cup,World-Cup-No-08,2024-12-29,Besancon-FRA,20241229_uci-world-cup_world-cup-no-08_besancon-fra,Aaron Dockx,aaron dockx,0.23560695668477,high,no_team,0,0,6,13.666666666666666,2.0,11.0,7.0,171.97656443061,167.85333117441,0,0.16666666666666666,0,0.16666666666666666,4.0
Men Under 23,11.0,196596,Aaron,Dockx,,0:51:23,,180.90777052927,165.99166577079,UCI-World-Cup,World-Cup-No-10,2025-01-19,Benidorm-Costa-Blanca-ESP,20250119_uci-world-cup_world-cup-no-10_benidorm-costa-blanca-esp,Aaron Dockx,aaron dockx,0.24005083508983616,high,no_team,0,0,7,15.666666666666666,2.0,25.0,21.0,177.55876266407,202.67613442039,0,0.14285714285714285,0,0.14285714285714285,5.0
Men Under 23,5.0,196596,Aaron,Dockx,,0:51:10,,183.22311278804,158.08663603289,UCI-World-Cup,World-Cup-No-12,2025-01-26,Hoogerheide-Noord-Brabant-NED,20250126_uci-world-cup_world-cup-no-12_hoogerheide-noord-brabant-ned,Aaron Dockx,aaron dockx,0.24312311795038138,high,no_team,0,0,8,15.666666666666666,11.0,11.0,7.0,180.90777052927,165.99166577079,0,0.125,1,0.125,6.0
Men Under 23,19.0,196596,Aaron,Dockx,,1:00:36,,181.36466896335,183.72635227069,2025-UCI-Cyclo-cross-World-Championships,2025-02-02,,,unknown_2025-uci-cyclo-cross-world-championships_2025-02-02_noloc,Aaron Dockx,aaron dockx,0.24065710451834804,high,no_team,0,0,9,13.666666666666666,5.0,5.0,,183.22311278804,158.08663603289,0,0.1111111111111111,0,0.2222222222222222,0.0
