race,date,series,category,original_version,hits_10,hits_3,spearman,mae_rank
Tabor,2025-11-23,UCI World Cup,Men Elite,v1,9,2,0.3,3.7
Tabor,2025-11-23,UCI World Cup,Women Elite,v1,9,2,0.7999999999999999,2.0
Flamanville,2025-11-30,UCI World Cup,Men Elite,v2,9,2,0.33333333333333337,2.4
Flamanville,2025-11-30,UCI World Cup,Women Elite,v2,9,1,0.8333333333333333,1.3
Sardinia,2025-12-07,UCI World Cup,Men Elite,v6,7,2,0.642857142857143,2.3333333333333335
Sardinia,2025-12-07,UCI World Cup,Women Elite,v6,7,1,0.642857142857143,1.875
Kortrijk,2025-12-13,Exact Cross,Men Elite,v6.2,7,0,0.39285714285714296,5.333333333333333
Kortrijk,2025-12-13,Exact Cross,Women Elite,v6.2,8,2,0.8095238095238096,1.375
Namur,2025-12-14,UCI World Cup,Men Elite,v6.1,7,3,0.642857142857143,2.0
Namur,2025-12-14,UCI World Cup,Women Elite,v6.1,7,1,0.4642857142857144,2.6666666666666665
