Nr,Naam,UCI ID,Nat,Club,UCI Rank,series_name,race_name,race_date,race_location,race_id,category_full,rider_name
1.0,AERTS Toon,10007586087,BEL,DESCHACHT-HENS CX TEAM,2.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Men Elite,AERTS Toon
2.0,NYS Thibau,10065004835,BEL,BALOISE GLOWI LIONS,9.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Men Elite,NYS Thibau
3.0,VANTHOURENHOUT Michael,10007155651,BEL,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW CT,1.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Men Elite,VANTHOURENHOUT Michael
4.0,VANDEPUTTE Niels,10016327609,BEL,ALPECIN-DECEUNINCK DEVELOPMENT TEAM,4.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Men Elite,VANDEPUTTE Niels
5.0,WYSEURE Joran,10064921777,BEL,CRELAN-CORENDON,5.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Men Elite,WYSEURE Joran
6.0,SWEECK Laurens,10006912646,BEL,CRELAN-CORENDON,7.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Men Elite,SWEECK Laurens
7.0,VAN DER HAAR Lars,10006118660,NED,BALOISE GLOWI LIONS,8.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Men Elite,VAN DER HAAR Lars
8.0,RONHAAR Pim,10023108212,NED,BALOISE GLOWI LIONS,10.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Men Elite,RONHAAR Pim
9.0,ORTS LLORET Felipe,10009004715,ESP,RIDLEY RACING TEAM,11.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Men Elite,ORTS LLORET Felipe
10.0,KUHN Kevin,10009746763,SUI,HEIZOMAT - CUBE,14.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Men Elite,KUHN Kevin
11.0,NIEUWENHUIS Joris,10008705833,NED,RIDLEY RACING TEAM,15.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Men Elite,NIEUWENHUIS Joris
12.0,MASON Cameron,10023574923,GBR,SEVEN RACING,18.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Men Elite,MASON Cameron
13.0,MICHELS Jente,10065014333,BEL,ALPECIN-DECEUNINCK DEVELOPMENT TEAM,20.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Men Elite,MICHELS Jente
14.0,HENDRIKX Mees,10016519484,NED,HEIZOMAT - CUBE,22.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Men Elite,HENDRIKX Mees
15.0,KAMP Ryan,10023356166,NED,ALPECIN-DECEUNINCK DEVELOPMENT TEAM,24.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Men Elite,KAMP Ryan
16.0,VANDEBOSCH Toon,10010943604,BEL,CRELAN-CORENDON,26.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Men Elite,VANDEBOSCH Toon
17.0,CORSUS Yordi,10065119518,BEL,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW CT,34.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Men Elite,CORSUS Yordi
18.0,DE BRUYCKERE Kay,10065053638,BEL,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW CT,35.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Men Elite,DE BRUYCKERE Kay
19.0,SUAREZ FERNANDEZ Kevin,10007584572,ESP,NESTA - MMR CX TEAM,37.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Men Elite,SUAREZ FERNANDEZ Kevin
20.0,VAN DE PUTTE Victor,10064985940,BEL,DESCHACHT-HENS CX TEAM,40.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Men Elite,VAN DE PUTTE Victor
21.0,MEEUSSEN Witse,10064931679,BEL,CRELAN-CORENDON,51.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Men Elite,MEEUSSEN Witse
22.0,HORNY Clement,10016419858,BEL,BH-WALLONIE MTB TEAM,59.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Men Elite,HORNY Clement
23.0,VAN LIEROP Danny,10023320093,NED,ZZPR-PARKHOTEL-ORANGE-BABIES CT,79.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Men Elite,VAN LIEROP Danny
24.0,MARASCO Lorenzo,10023530059,FRA,SEBMOTOBIKES CX TEAM,97.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Men Elite,MARASCO Lorenzo
25.0,KUYPERS Gerben,10016322757,BEL,CHARLES-LIÉGEOIS ROASTERY CX,98.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Men Elite,KUYPERS Gerben
26.0,FERDINANDE Anton,10016322656,BEL,SHIFTING GEARS,112.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Men Elite,FERDINANDE Anton
27.0,OERTZEN Max Heiner,10036147739,GER,PETER PANE NAGEL CX TEAM,119.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Men Elite,OERTZEN Max Heiner
28.0,OBERTEICHER Matteo,10036188458,GER,PETER PANE NAGEL CX TEAM,148.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Men Elite,OBERTEICHER Matteo
29.0,LOOCKX Lander,10009360884,BEL,UNIBET TIETEMA ROCKETS,149.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Men Elite,LOOCKX Lander
30.0,JANSSEN Wout,10064972095,BEL,CYCLIS - VAN DEN PLAS CYCLING TEAM,156.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Men Elite,JANSSEN Wout
31.0,DELNOIJE Remon,10022684139,NED,TWC DE KEMPEN,172.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Men Elite,DELNOIJE Remon
32.0,KING Carden,10065999083,USA,TRIPLE CROWN WORKSHOP,330.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Men Elite,KING Carden
33.0,OKAYAMA Yuta,10021324321,JPN,OLANDA BASE/WATERSLEY,385.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Men Elite,OKAYAMA Yuta
34.0,MEEUSEN Tom,10003341632,BEL,CYCLIS - VAN DEN PLAS CYCLING TEAM,468.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Men Elite,MEEUSEN Tom
35.0,RIJVERS Max,10023116090,NED,RB ZELFBOUW UCT,469.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Men Elite,RIJVERS Max
36.0,DAELMANS Bengt,10066080020,BEL,CYCLIS - VAN DEN PLAS CYCLING TEAM,560.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Men Elite,DAELMANS Bengt
37.0,VERHEYEN Thomas,10009523057,BEL,RB ZELFBOUW UCT,593.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Men Elite,VERHEYEN Thomas
38.0,MOURIS Michiel,10023052335,NED,ZZPR.NL-PARKHOTEL-ORANGE BABIES CT,,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Men Elite,MOURIS Michiel
39.0,MEEUSEN Lennert,10065190953,BEL,WAC TEAM VZW,,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Men Elite,MEEUSEN Lennert
40.0,DAELMANS Lars,10119457908,BEL,STARBIKES - VISTABUILD,,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Men Elite,DAELMANS Lars
1.0,VAN DER HEIJDEN Inge,10010592885,NED,CRELAN-CORENDON,3.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Women Elite,VAN DER HEIJDEN Inge
2.0,BRAND Lucinda,10006605680,NED,BALOISE GLOWI LIONS,1.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Women Elite,BRAND Lucinda
3.0,BAKKER Manon,10009521643,NED,FENIX-DECEUNINCK DEVELOPMENT TEAM,8.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Women Elite,BAKKER Manon
4.0,CASASOLA Sara,10010998972,ITA,FENIX-DECEUNINCK,11.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Women Elite,CASASOLA Sara
