race_id,rider_name,rider_name_norm,Place,races_so_far,avg_place_last3,best_place_last5,last_place,days_since_last_race,last_carried_points,last_scored_points
20251101_x-o-badkamers-trofee_koppenbergcross_oudenaarde-bel,Adèle Hurteloup,adele hurteloup,18,0,,,,,,
20251025_exact-cross_internationale-cyclocross-heerderstrand_heerde-ned,Adne Cappon,adne cappon,20,0,,,,,,
20251102_x-o-badkamers-trofee_rapencross_lokeren-bel,Adriaan Van bommel,adriaan van bommel,44,0,,,,,,
20251109_uec-cyclocross_european-championships_middelkerke-bel,Aitana Gutierrez velarde,aitana gutierrez velarde,20,0,,,,,,
20251004_exact-cross_berencross_tielt-meulebeke-bel,Alana Polfliet,alana polfliet,18,0,,,,,,
20251026_telenet-superprestige_overijse_overijse-bel,Alana Polfliet,alana polfliet,28,1,,,18.0,22.0,505.27702704204,393.45009238318
20251101_x-o-badkamers-trofee_koppenbergcross_oudenaarde-bel,Alderney Baker,alderney baker,22,0,,,,,,
20251102_x-o-badkamers-trofee_rapencross_lokeren-bel,Alderney Baker,alderney baker,24,1,,,22.0,1.0,370.30682079065,377.93638465438
20251004_exact-cross_berencross_tielt-meulebeke-bel,Alessio Roelandt,alessio roelandt,32,0,,,,,,
20251019_telenet-superprestige_ruddervoorde_ruddervoorde-bel,Alessio Roelandt,alessio roelandt,20,1,,,32.0,15.0,370.0,381.95636597201
20251101_x-o-badkamers-trofee_koppenbergcross_oudenaarde-bel,Alessio Roelandt,alessio roelandt,14,2,,,20.0,13.0,381.95636597201,323.74586618913
20251102_x-o-badkamers-trofee_rapencross_lokeren-bel,Alessio Roelandt,alessio roelandt,11,3,22.0,,14.0,1.0,352.85111608057,293.1546965795
20251111_telenet-superprestige_niel_niel-bel,Alessio Roelandt,alessio roelandt,10,4,15.0,,11.0,9.0,340.92126873106,298.58237958003
20251018_exact-cross_robotland-cyclocross-essen_essen-bel,Alexe De raedemaeker,alexe de raedemaeker,19,0,,,,,,
20251025_exact-cross_internationale-cyclocross-heerderstrand_heerde-ned,Alexe De raedemaeker,alexe de raedemaeker,18,1,,,19.0,7.0,425.25423803855,405.50372252837
20251101_x-o-badkamers-trofee_koppenbergcross_oudenaarde-bel,Alexe De raedemaeker,alexe de raedemaeker,26,2,,,18.0,7.0,430.23433014416,328.44539584328
20251109_uec-cyclocross_european-championships_middelkerke-bel,Alexis David,alexis david,9,0,,,,,,
20251025_exact-cross_internationale-cyclocross-heerderstrand_heerde-ned,Alice Colling,alice colling,27,0,,,,,,
20251026_telenet-superprestige_overijse_overijse-bel,Alice Colling,alice colling,19,1,,,27.0,1.0,389.10410905819,400.15906994403
20251004_exact-cross_berencross_tielt-meulebeke-bel,Alicia Franck,alicia franck,3,0,,,,,,
20251109_uec-cyclocross_european-championships_middelkerke-bel,Amálie GOTTWALDOVÁ,amalie gottwaldova,9,0,,,,,,
20251019_telenet-superprestige_ruddervoorde_ruddervoorde-bel,Amandine Fouquenet,amandine fouquenet,3,0,,,,,,
20251026_telenet-superprestige_overijse_overijse-bel,Amandine Fouquenet,amandine fouquenet,4,1,,,3.0,7.0,246.49297205074,219.92233592329
20251101_x-o-badkamers-trofee_koppenbergcross_oudenaarde-bel,Amandine Fouquenet,amandine fouquenet,8,2,,,4.0,6.0,244.59506947021,225.8142653401
20251109_uec-cyclocross_european-championships_middelkerke-bel,Amandine Fouquenet,amandine fouquenet,5,3,5.0,,8.0,8.0,244.59506947021,257.42397513355
20251111_telenet-superprestige_niel_niel-bel,Amandine Fouquenet,amandine fouquenet,6,4,5.666666666666667,,5.0,2.0,244.72328158082,226.53319583905
20251101_x-o-badkamers-trofee_koppenbergcross_oudenaarde-bel,Amandine Muller,amandine muller,6,0,,,,,,
20251109_uec-cyclocross_european-championships_middelkerke-bel,Amandine Muller,amandine muller,3,1,,,6.0,8.0,278.26109893993,240.20791663058
20251111_telenet-superprestige_niel_niel-bel,Amelie Thomeer,amelie thomeer,14,0,,,,,,
20251018_exact-cross_robotland-cyclocross-essen_essen-bel,Amy Perryman,amy perryman,30,0,,,,,,
20251019_telenet-superprestige_ruddervoorde_ruddervoorde-bel,Amy Perryman,amy perryman,28,1,,,30.0,1.0,446.5980718748,539.82872718525
20251025_exact-cross_internationale-cyclocross-heerderstrand_heerde-ned,Amy Perryman,amy perryman,47,2,,,28.0,6.0,446.5980718748,438.27596269633
20251109_uec-cyclocross_european-championships_middelkerke-bel,Ane ZUBELDIA PEÑAGARIKANO,ane zubeldia peñagarikano,35,0,,,,,,
20251004_exact-cross_berencross_tielt-meulebeke-bel,Aniek Van alphen,aniek van alphen,2,0,,,,,,
20251018_exact-cross_robotland-cyclocross-essen_essen-bel,Aniek Van alphen,aniek van alphen,4,1,,,2.0,14.0,255.03227483067,221.29644752667
20251019_telenet-superprestige_ruddervoorde_ruddervoorde-bel,Aniek Van alphen,aniek van alphen,7,2,,,4.0,1.0,253.82742385553,237.59746670727
20251025_exact-cross_internationale-cyclocross-heerderstrand_heerde-ned,Aniek Van alphen,aniek van alphen,2,3,4.333333333333333,,7.0,6.0,255.05541425162,254.85891620697
20251026_telenet-superprestige_overijse_overijse-bel,Aniek Van alphen,aniek van alphen,3,4,4.333333333333333,,2.0,1.0,255.05541425162,200.95441966417
20251102_x-o-badkamers-trofee_rapencross_lokeren-bel,Aniek Van alphen,aniek van alphen,4,5,4.0,2.0,3.0,7.0,253.79977265275,217.08025523352
20251109_uec-cyclocross_european-championships_middelkerke-bel,Aniek Van alphen,aniek van alphen,3,6,3.0,2.0,4.0,7.0,250.8204863781,224.17223193994
20251111_telenet-superprestige_niel_niel-bel,Aniek Van alphen,aniek van alphen,3,7,3.3333333333333335,2.0,3.0,2.0,249.93221123016,213.02481317849
20251109_uec-cyclocross_european-championships_middelkerke-bel,Ann-dorthe Lisbygd,ann-dorthe lisbygd,22,0,,,,,,
20251019_telenet-superprestige_ruddervoorde_ruddervoorde-bel,Anna Kay,anna kay,16,0,,,,,,
20251026_telenet-superprestige_overijse_overijse-bel,Anna Kay,anna kay,15,1,,,16.0,7.0,299.05257924965,333.46622184527
20251101_x-o-badkamers-trofee_koppenbergcross_oudenaarde-bel,Anna Kay,anna kay,35,2,,,15.0,6.0,298.36373846211,321.88837651257
20251109_uec-cyclocross_european-championships_middelkerke-bel,Anna Kay,anna kay,20,3,22.0,,35.0,8.0,298.36373846211,498.4487941752
20251111_telenet-superprestige_niel_niel-bel,Anna Kay,anna kay,13,4,23.333333333333332,,20.0,2.0,307.38265691712,327.84606579328
20251111_telenet-superprestige_niel_niel-bel,Anna Panušová,anna panušova,12,0,,,,,,
20251018_exact-cross_robotland-cyclocross-essen_essen-bel,Anniek Mos,anniek mos,9,0,,,,,,
20251025_exact-cross_internationale-cyclocross-heerderstrand_heerde-ned,Anniek Mos,anniek mos,16,1,,,9.0,7.0,454.28983271728,293.56621864763
20251019_telenet-superprestige_ruddervoorde_ruddervoorde-bel,Antoine Ingelaere,antoine ingelaere,12,0,,,,,,
20251111_telenet-superprestige_niel_niel-bel,Antoine Ingelaere,antoine ingelaere,21,1,,,12.0,23.0,322.91462845455,284.09359573998
20251026_telenet-superprestige_overijse_overijse-bel,Antoine Jamin,antoine jamin,30,0,,,,,,
20251101_x-o-badkamers-trofee_koppenbergcross_oudenaarde-bel,Antoine Jamin,antoine jamin,11,1,,,30.0,6.0,194.52515221624,194.725382244
20251102_x-o-badkamers-trofee_rapencross_lokeren-bel,Antoine Jamin,antoine jamin,8,2,,,11.0,1.0,194.52515221624,183.08015815661
20251111_telenet-superprestige_niel_niel-bel,Antoine Jamin,antoine jamin,20,3,16.333333333333332,,8.0,9.0,191.75846732825,166.41366799872
20251102_x-o-badkamers-trofee_rapencross_lokeren-bel,Anton Ferdinande,anton ferdinande,21,0,,,,,,
