Category Name,Place,RacerID,First Name,Last Name,Team Name,Time,License,Carried Points,Scored Points,
Men Elite,1,76053,Mathieu,Van der poel,,1:02:44,,102.17625728836,102.17625728836,
Men Elite,2,76073,Wout,Van aert,,1:03:29,,111.10045785287,106.19604331851,
Men Elite,3,174015,Thibau,Nys,,1:03:50,,143.70451992155,109.02078569255,
Men Elite,4,91571,Joris,Nieuwenhuis,,1:03:59,,119.08319875182,111.84552806659,
Men Elite,5,174023,Emiel,Verstrynge,,1:04:37,,134.6562290817,114.67027044063,
Men Elite,6,76111,Toon,Aerts,,1:04:40,,136.93908590409,117.49501281467,
Men Elite,7,36284,Michael,Vanthourenhout,,1:04:44,,136.1799438563,120.3197551887,
Men Elite,8,161704,Joran,Wyseure,,1:04:47,,137.4904796498,123.14449756274,
Men Elite,9,22180,Lars,Van der haar,,1:04:53,,128.00607459402,125.96923993678,
Men Elite,10,36277,Laurens,Sweeck,,1:05:12,,139.10214201852,128.79398231082,
Men Elite,11,146962,Ryan,Kamp,,1:05:28,,165.51563317331,131.61872468486,
Men Elite,12,155096,Felipe,Orts lloret,,1:05:29,,148.20831012706,134.44346705889,
Men Elite,13,100271,Eli,Iserbyt,,1:06:16,,143.63089264306,137.26820943293,
Men Elite,14,144667,Niels,Vandeputte,,1:06:24,,128.20270878341,140.09295180697,
Men Elite,15,60662,Fabien,Doubey,,1:06:31,,148.62548288768,142.91769418101,
Men Elite,16,116009,Kevin,Kuhn,,1:06:54,,148.01751938666,145.74243655505,
Men Elite,17,42395,Clement,Venturini,,1:07:06,,155.73365839356,148.56717892908,
Men Elite,18,149584,Thomas,Mein,,1:07:33,,174.08549273414,151.39192130312,
Men Elite,19,17478,Scott,Funston,,1:07:44,,191.39437345194,154.21666367716,
Men Elite,20,146964,Mees,Hendrikx,,1:07:59,,152.91872503038,157.0414060512,
Men Elite,21,159496,Pim,Ronhaar,,1:08:15,,144.80091197426,159.86614842523,
Men Elite,22,76450,Gioele,Bertolini,,1:08:19,,175.71216040859,162.69089079927,
Men Elite,23,25979,David,Menut,,1:08:38,,167.64861332566,165.51563317331,
