Category Name,Place,RacerID,First Name,Last Name,Team Name,Time,License,Carried Points,Scored Points,
Men Elite,1,174015,Thibau,Nys,BALOISE GLOWI LIONS,01:03:05,,137.13921719206,118.22573785751,
Men Elite,2,36277,Laurens,Sweeck,CRELAN-CORENDON,00:00:09,,138.19620532011,120.69788244935,
Men Elite,3,76111,Toon,Aerts,DESCHACHT- HENS-FSP,00:00:11,,141.93188757314,123.17002704119,
Men Elite,4,144667,Niels,Vandeputte,,00:00:14,,128.13995186792,125.64217163303,
Men Elite,5,174023,Emiel,Verstrynge,CRELAN-CORENDON,00:00:39,,144.041498546,128.11431622487,
Men Elite,6,161704,Joran,Wyseure,CRELAN-CORENDON,00:00:48,,139.18666138008,130.58646081671,
Men Elite,7,100271,Eli,Iserbyt,PAUWELS SAUZEN - CIBEL CLEMENTINES,00:01:15,,141.42374030943,133.05860540855,
Men Elite,8,21155,Jens,Adams,,00:01:32,,155.25236178445,135.53075000039,
Men Elite,9,36284,Michael,Vanthourenhout,PAUWELS SAUZEN - CIBEL CLEMENTINES,00:01:41,,135.71101368599,138.00289459223,
Men Elite,10,76074,Daan,Soete,RIDLEY  RACING  TEAM,00:01:43,,165.07268536856,140.47503918407,
Men Elite,11,174032,Victor,Van de putte,DESCHACHT- HENS-FSP,00:01:44,,170.7099822936,142.94718377591,
Men Elite,12,81236,Thijs,Aerts,CHARLES LIÉGEOIS ROASTERY CX,00:01:49,,166.62739978304,145.41932836775,
Men Elite,13,174017,Arne,Baers,,00:01:52,,165.13064040203,147.89147295959,
Men Elite,14,194005,Clement,Horny,,00:01:56,,174.04782852152,150.36361755143,
Men Elite,15,22212,Tom,Meeusen,,00:02:08,,181.11872553171,152.83576214327,
Men Elite,16,159497,Witse,Meeussen,CRELAN-CORENDON,00:03:01,,177.08317030411,155.30790673511,
Men Elite,17,129684,Toon,Vandebosch,CRELAN-CORENDON,00:03:08,,147.49235239477,157.78005132695,
Men Elite,18,25615,Gianni,Vermeersch,,00:03:55,,162.83954315094,160.25219591879,
Men Elite,19,121596,Mathijs,Wuyts,,00:03:40,,185.26536681882,162.72434051063,
Men Elite,20,147010,Sander,De vet,,00:03:42,,182.50149724535,165.19648510247,
Men Elite,21,144674,Anton,Ferdinande,,00:04:16,,189.74706662372,167.66862969431,
Men Elite,22,108478,Robin,Alderweireld,,00:04:36,,198.77027968519,170.14077428615,
Men Elite,23,25710,Ingmar,Uytdewilligen,,00:04:39,,206.28580386375,172.61291887799,
Men Elite,24,162717,Stef,Janse,,00:06:05,,230.67793554578,175.08506346983,
Men Elite,25,22179,Wietse,Bosmans,,00:06:14,,186.22424566752,177.55720806167,
Men Elite,26,115023,Seppe,Rombouts,,00:06:15,,191.28055814641,180.02935265351,
Men Elite,27,174014,Ward,Huybs,BALOISE GLOWI LIONS,00:06:37,,169.0579947087,182.50149724535,
Men Elite,28,108210,Thomas,Verheyen,,00:07:16,,174.47784117166,184.97364183719,
Men Elite,29,178508,Toon,Sluydts,,00:07:28,,231.44699512536,187.44578642903,
Men Elite,30,175202,Senne,D´hollander,,00:07:45,,233.48213619131,189.91793102087,
Men Elite,31,175196,Elio,Clarysse,,00:07:59,,218.68781510214,192.39007561271,
Men Elite,32,129817,Arne,Vrachten,,00:08:10,,191.15767407222,194.86222020455,
Men Elite,33,180600,Ruben,Meeusen,,00:08:45,,229.82495573236,197.33436479639,
Men Elite,34,89410,Yelle,Leaerts,,00:08:56,,246.91594565672,199.80650938823,
Men Elite,35,108094,Han,Devos,,00:09:02,,206.77758345355,202.27865398007,
Men Elite,36,81250,Senne,De meyer,,00:09:18,,242.51943313528,204.75079857191,
Men Elite,37,180523,Ruben,Lembrechts,,LAP,,238.2232485845,207.22294316375,
Men Elite,38,81240,Jens,Teirlinck,,LAP,,258.70954609608,209.69508775559,
Men Elite,39,159519,Ydris,Salomez,,LAP,,236.38721218063,212.16723234743,
Men Elite,40,180521,Jonas,Mertens,,LAP,,261.22544741761,214.63937693927,
Men Elite,41,181557,Philippe,Fievez,,LAP,,234.34974989132,217.11152153112,
Men Elite,42,155572,Guillian,Demeyer,,LAP,,269.79883088354,219.58366612296,
Men Elite,43,153646,Maarten,Clauwaert,,LAP,,221.6152870657,222.0558107148,
Men Elite,44,136849,Lenn,Verdijck,,LAP,,264.9852602819,227.00009989848,
Men Elite,44,138608,Maxime,Van wynsberghe,,DNF,,220,224.52795530664,
Men Elite,45,121597,Maarten,Van staeyen,,DNF,,247.1503237929,229.47224449032,
Men Elite,46,174019,Yorben,Lauryssen,PAUWELS SAUZEN - CIBEL CLEMENTINES,DNF,,177.8231217137,231.94438908216,
Men Elite,47,138544,Julian,Siemons,,DNF,,176.62488857091,234.416533674,
Men Elite,48,181210,Wout,Janssen,,DNF,,179.14470827594,236.88867826584,
Men Elite,49,139054,Rune,Smits,,DNF,,238.62658018075,239.36082285768,
Men Elite,50,108208,Lander,Loockx,,DNS,,151.3902880002,241.83296744952,
Men Elite,51,147015,Arno,Van den broeck,,DNS,,167.82390485279,244.30511204136,
Men Elite,52,159500,Wout,Vervoort,,DNS,,165.97389852013,246.7772566332,
Men Junior,1,220838,Arthur,Van den boer,,00:37:44,,235.13358126561,210.71132698486,
Men Junior,2,227529,Giel,Lejeune,,00:00:06,,246.26662325431,214.28183351942,
Men Junior,3,218295,Mats,Vanden eynde,,00:00:15,,236.93399416653,217.85234005399,
Men Junior,4,223287,Ryan,Laenen,,00:00:27,,288.66742777552,221.42284658855,
Men Junior,5,218286,Lennes,Jacobs,,00:00:30,,260.4864189963,224.99335312312,
Men Junior,6,218910,Keano,Geens,,00:00:37,,271.37197756609,228.56385965768,
Men Junior,7,222123,Lars,Daelmans,,00:01:15,,257.894352608,232.13436619225,
Men Junior,8,227532,Jari,Van lee,,00:01:19,,268.85941837899,235.70487272681,
Men Junior,9,220818,Lennert,Meeusen,,00:01:30,,279.24250475864,239.27537926138,
Men Junior,10,219171,Fausto,DELMÉ,,00:01:36,,310.85688238457,242.84588579594,
Men Junior,11,226832,Lars,Corsus,,00:01:45,,291.82299306488,246.41639233051,
Men Junior,12,227535,Dima,Roels,,00:01:52,,312.09366803952,249.98689886507,
Men Junior,13,219176,Lars,De nys,,00:02:00,,331.57479404661,253.55740539964,
Men Junior,14,227556,Luca,Renders,,00:02:21,,356.78358384968,257.1279119342,
Men Junior,15,225762,Seff,Van kerckhove,,00:02:43,,278.15013688932,260.69841846877,
Men Junior,16,218287,Xander,Danckaarts,,00:02:49,,293.95976664826,264.26892500333,
Men Junior,17,222124,Dries,Heirbaut,,00:02:51,,341.94597327642,267.8394315379,
Men Junior,18,226856,Brent,Lippens,,00:02:57,,343.08799253351,271.40993807246,
Men Junior,19,222170,Stan,Deram,,00:03:01,,307.43839431775,274.98044460703,
Men Junior,20,225563,Yoram,Knaepen,,00:03:02,,385.77592904682,278.55095114159,
Men Junior,21,232792,Dani,Maenen,,00:03:07,,328.49773016428,282.12145767616,
Men Junior,22,228601,Toon,De peuter,,00:03:07,,319.75742785608,285.69196421072,
Men Junior,23,218922,Vince,Ivens,,00:03:08,,360.86658494741,289.26247074529,
Men Junior,24,218290,Gust,Depraetere,,00:03:14,,270.31045241353,292.83297727985,
Men Junior,25,227530,Arthur,Janssens,,00:03:21,,315.24597593238,296.40348381442,
Men Junior,26,226847,Jules,Delcommune,,00:03:23,,380.9795452691,299.97399034898,
Men Junior,27,227536,Len,Geerts,,00:03:33,,328.28246985691,303.54449688355,
Men Junior,28,230095,Sebastiaan,Goossenaerts,,00:03:36,,352.53258234857,307.11500341811,
Men Junior,29,230090,Stan,Cuypers,,00:03:49,,371.38412104028,310.68550995268,
Men Junior,30,218948,Miel,Oreel,,00:03:50,,353.26845425061,314.25601648724,
Men Junior,31,227379,Matteo,Declercq,,00:03:57,,354.43445548584,317.82652302181,
Men Junior,32,218310,Naud,De clercq,,00:03:59,,335.6088187097,321.39702955637,
Men Junior,33,220819,Ferre,Erpels,,00:03:59,,349.08902568787,324.96753609094,
Men Junior,34,234988,Cédric,Lambert,,00:04:06,,370,328.5380426255,
Men Junior,35,222176,Josse,Jacobs,,00:04:13,,361.72850740549,332.10854916007,
Men Junior,36,230606,Seppe,Martens,,00:04:15,,369.7511029586,335.67905569463,
Men Junior,37,220820,Mathias,Bleux,,00:04:17,,426.75860281833,339.2495622292,
Men Junior,38,230471,Lorenz,Ivens,,00:04:23,,365.67849029922,342.82006876376,
Men Junior,39,231690,Myrddin,De corte,,00:04:28,,365.53576080445,346.39057529833,
Men Junior,40,224286,Adrien,Anciaux,,00:04:47,,351.50179820372,349.96108183289,
Men Junior,41,230092,Emilien,Verheughe,,00:04:53,,380.23247996892,353.53158836746,
Men Junior,42,233376,Dario,Ingels,,00:04:56,,381.33024752768,357.10209490202,
Men Junior,43,225893,Martin,Aubier,,00:05:01,,423.43965818938,360.67260143659,
Men Junior,44,223289,Kobe,Van elsen,,00:05:03,,394.39185725549,364.24310797115,
Men Junior,45,222174,Jasper,Vlaeminck,,00:05:10,,366.04369428492,367.81361450572,
Men Junior,46,230093,Daan,Urkens,,00:05:10,,375.14564215623,371.38412104028,
Men Junior,47,230091,Roan,Dresselaers,,00:05:19,,371.258349462,374.95462757485,
Men Junior,48,230470,Torben,Aerts,,00:05:30,,395.38623562547,378.52513410941,
Men Junior,49,233416,Rune,De zutter,,00:05:30,,386.36364307036,382.09564064398,
Men Junior,50,218919,Quinte,Geldhof,,00:05:33,,385.75792200641,385.66614717854,
Men Junior,51,230020,Matse,Leys,,00:05:41,,340.84259457729,389.23665371311,
Men Junior,52,223290,Senne,Aerts,,00:05:41,,406.03805986615,392.80716024767,
Men Junior,53,234762,Bo,Meirhaeghe,,00:05:46,,434.66923392007,396.37766678224,
Men Junior,54,225719,Jorit,Goovaerts,,00:05:59,,428.61020967137,399.9481733168,
Men Junior,55,229489,Kobe,Vanhoudt,,00:06:12,,396.85934680267,403.51867985137,
Men Junior,56,222173,Mick,De keyser,,00:06:26,,368.52906151067,407.08918638593,
Men Junior,57,223893,Briek,Adams,,00:06:32,,434.71399076468,410.6596929205,
Men Junior,58,230098,Lander,Hulsmans,,00:06:35,,437.51540489084,414.23019945506,
Men Junior,59,223892,Timo,De baets,,00:06:41,,427.52111593202,417.80070598963,
Men Junior,60,231691,Joppe,Goovaerts,,00:07:03,,434.39429236041,421.37121252419,
Men Junior,61,232795,Danté,Flamez,,00:07:24,,402.62343538193,424.94171905876,
Men Junior,62,227558,Jonas,Vermiert,,00:07:52,,397.47370348963,428.51222559332,
Men Junior,63,232798,Briek,Debacquer,,00:08:02,,476.18904727263,432.08273212789,
Men Junior,64,227543,Grégoire,Wautelet,,00:08:07,,421.96601335416,435.65323866245,
Men Junior,65,232796,Clément,Dispa,,00:08:17,,445.01857146694,439.22374519702,
Men Junior,66,227557,Stan,Nijs,,00:08:31,,470.19078551498,442.79425173158,
Men Junior,67,218318,Milan,Van der veken,,00:08:39,,465.1911248871,446.36475826615,
Men Junior,68,231693,Rune,Claes,,00:08:45,,475.34609531193,449.93526480071,
Men Junior,69,231700,Mathis,Richez,,00:08:45,,389.65375989743,453.50577133528,
Men Junior,70,234142,Hannes,Reynders,,00:08:59,,445.7419562443,457.07627786984,
Men Junior,71,222183,Tibo,Cop,,00:09:15,,462.53703456827,460.64678440441,
Men Junior,72,233374,Thibau,Stevens,,00:09:33,,445.22096652535,464.21729093897,
Men Junior,73,234989,Quinten,Muys,,00:09:58,,370,467.78779747354,
Men Junior,74,223291,Jolan,Casier,,00:10:15,,444.95697454539,471.3583040081,
Men Junior,75,234990,Liliam,Boulanger,,00:10:36,,370,474.92881054267,
