Category Name,Place,RacerID,First Name,Last Name,Team Name,Time,License,Carried Points,Scored Points,
Men Elite,1,76053,Mathieu,Van der poel,,0:58:11,,101.69184206441,101.69184206441,
Men Elite,2,174015,Thibau,Nys,BALOISE TREK LIONS,0:58:25,,153.06620187873,107.67046160096,
Men Elite,3,36277,Laurens,Sweeck,CRELAN-CORENDON,0:58:26,,137.39244299734,110.69216473818,
Men Elite,4,76073,Wout,Van aert,,0:58:47,,104.69213160298,113.7138678754,
Men Elite,5,144667,Niels,Vandeputte,,0:59:20,,127.26398468346,116.73557101262,
Men Elite,6,21155,Jens,Adams,,0:59:26,,154.71115825801,119.75727414985,
Men Elite,7,149584,Thomas,Mein,HOPE FACTORY RACING,0:59:38,,173.47255327633,122.77897728707,
Men Elite,8,108208,Lander,Loockx,,0:59:45,,149.04086237751,125.80068042429,
Men Elite,9,21164,Tim,Merlier,,1:00:05,,142.9516769554,128.82238356151,
Men Elite,10,81236,Thijs,Aerts,CHARLES LIÉGEOIS ROASTERY CX,1:00:15,,164.22603685183,131.84408669873,
Men Elite,11,129684,Toon,Vandebosch,CRELAN-CORENDON,1:00:21,,142.59736014708,134.86578983595,
Men Elite,12,76074,Daan,Soete,RIDLEY  RACING  TEAM,1:00:23,,176.02216746944,137.88749297318,
Men Elite,13,153653,Cameron,Mason,CYCLOCROSS REDS,1:00:28,,165.96359065988,140.9091961104,
Men Elite,14,22212,Tom,Meeusen,,1:00:36,,180.47198637155,143.93089924762,
Men Elite,15,22194,Corne,Van kessel,DESCHACHT- HENS-FSP,1:00:55,,191.47162184685,146.95260238484,
Men Elite,16,25615,Gianni,Vermeersch,,1:00:59,,149.13183432753,149.97430552206,
Men Elite,17,194005,Clement,Horny,,1:01:07,,178.21335577531,152.99600865929,
Men Elite,18,174017,Arne,Baers,,1:01:31,,165.28281567444,156.01771179651,
Men Elite,19,203394,Stan,Van grieken,,1:01:41,,202.94327624554,159.03941493373,
Men Elite,20,147015,Arno,Van den broeck,,1:01:57,,175.07769500904,162.06111807095,
Men Elite,21,213267,Stefano,Viezzi,,1:01:58,,214.91836140953,165.08282120817,
Men Elite,22,174019,Yorben,Lauryssen,PAUWELS SAUZEN - BINGOAL,1:02:11,,175.00220314334,168.10452434539,
Men Elite,23,147010,Sander,De vet,,1:02:14,,175.37708235097,171.12622748262,
Men Elite,24,196599,Kenay,De moyer,PAUWELS SAUZEN - BINGOAL,1:02:19,,196.91333402779,174.14793061984,
Men Elite,25,138544,Julian,Siemons,,1:02:29,,170.11581774351,177.16963375706,
Men Elite,26,160632,Remon,Delnoije,,1:03:02,,208.56163167817,180.19133689428,
Men Elite,27,174014,Ward,Huybs,BALOISE TREK LIONS,1:03:04,,151.54795818086,183.2130400315,
Men Elite,28,103718,Alexis,David,,1:03:06,,216.45177454094,186.23474316872,
Men Elite,29,212863,Senn,Bossaerts,,1:03:08,,246.1111444275,189.25644630595,
Men Elite,30,203945,Hannes,Degenkolb,HEIZOMAT RADTEAM P/B HERRMANN,1:03:31,,197.54858105357,192.27814944317,
Men Elite,31,192472,Ferre,Geeraerts,,1:03:33,,188.9164175336,195.29985258039,
Men Elite,32,186737,Finn,Treudler,HEIZOMAT RADTEAM P/B HERRMANN,1:04:05,,207.57647634342,198.32155571761,
Men Elite,33,180621,Lukas,Herrmann,HEIZOMAT RADTEAM P/B HERRMANN,1:04:21,,213.90554596032,201.34325885483,
Men Elite,34,212557,Max,Rijvers,,1:04:25,,243.3676672209,204.36496199206,
Men Elite,35,139631,Hijiri,Oda,,1:04:29,,214.07946722271,207.38666512928,
Men Elite,36,162819,Florian,Gaillard,,1:04:35,,247.59074434683,210.4083682665,
Men Elite,37,196442,Mathieu,Kockelmann,,-1 LAP,,235.68118694085,213.43007140372,
