Category Name,Place,RacerID,First Name,Last Name,Team Name,Time,License,Carried Points,Scored Points,
Men Elite,1,91571,Joris,Nieuwenhuis,,57:14,,119.6933103664,116.86104357281,
Men Elite,2,159496,Pim,Ronhaar,,57:23,,146.69919039453,119.98646649484,
Men Elite,3,202062,Yordi,Corsus,,57:30,,159.0992101463,123.11188941688,
Men Elite,4,36277,Laurens,Sweeck,,57:42,,135.26361533503,126.23731233891,
Men Elite,5,144667,Niels,Vandeputte,,57:47,,130.48793629211,129.36273526095,
Men Elite,6,129684,Toon,Vandebosch,,57:53,,152.10329363638,132.48815818299,
Men Elite,7,155096,Felipe,Orts lloret,,58:03,,148.15020552607,135.61358110502,
Men Elite,8,146964,Mees,Hendrikx,,58:28,,148.96236300087,138.73900402706,
Men Elite,9,202059,David,Haverdings,,58:35,,176.91289189426,141.86442694909,
Men Elite,10,196597,Kay,De bruyckere,,58:43,,172.21311439021,144.98984987113,
Men Elite,11,144676,Gerben,Kuypers,,58:53,,199.07271918498,148.11527279317,
Men Elite,12,146962,Ryan,Kamp,,59:05,,161.80029425599,151.2406957152,
Men Elite,13,202064,Guus,Van den eijnden,,59:11,,163.91083073975,154.36611863724,
Men Elite,14,181210,Wout,Janssen,,59:18,,177.11720055112,157.49154155928,
Men Elite,15,149584,Thomas,Mein,,1:00:05,,171.03531336373,160.61696448131,
Men Elite,16,196599,Kenay,De moyer,,1:00:11,,181.1179610718,163.74238740335,
Men Elite,17,203393,Bengt,Daelmans,,1:00:24,,223.0794636657,166.86781032538,
Men Elite,18,203394,Stan,Van grieken,,1:00:40,,186.1519776923,169.99323324742,
Men Elite,19,184962,Bailey,Groenendaal,,1:00:51,,201.61059610683,173.11865616946,
Men Elite,20,212863,Senn,Bossaerts,,1:00:59,,206.88758950285,176.24407909149,
Men Elite,21,223287,Ryan,Laenen,,1:01:07,,263.03453259488,179.36950201353,
Men Elite,22,22212,Tom,Meeusen,,1:01:16,,180.46023829058,182.49492493557,
Men Elite,23,202067,Jelte,Jochems,,1:01:36,,199.38957016833,185.6203478576,
Men Elite,24,211462,Max heiner,Oertzen,,1:01:36,,205.84978664362,188.74577077964,
Men Elite,25,202528,Bram,Sprangers,,1:01:38,,201.6156271091,191.87119370167,
Men Elite,26,160632,Remon,Delnoije,,1:01:39,,198.39638504327,194.99661662371,
