Category Name,Place,RacerID,First Name,Last Name,Team Name,Time,License,Carried Points,Scored Points,
Men Junior,1,226833,Cas,Timmermans,,40:46,,290.2952041932,255.61790420687,
Men Junior,2,218290,Gust,Depraetere,,+0:00:08,,305.02770818959,258.40771142134,
Men Junior,3,226832,Lars,Corsus,,+0:00:13,,317.7209648213,261.19751863581,
Men Junior,4,227533,Finn,Bastiaanssen,,+0:00:19,,306.8579259944,263.98732585027,
Men Junior,5,222123,Lars,Daelmans,,+0:00:32,,286.99414993386,266.77713306474,
Men Junior,6,218910,Keano,Geens,,+0:00:38,,280.31601930325,269.5669402792,
Men Junior,7,227531,Mads Pé,Teunissen van manen,,+0:00:50,,279.30277617384,272.35674749367,
Men Junior,8,218915,Rick,Versloot,,+0:00:55,,293.59268495048,275.14655470814,
Men Junior,9,230089,Noël,Goijert,,+0:01:01,,293.44761771253,277.9363619226,
Men Junior,10,218916,Stan,Van looy,,+0:01:06,,346.6794787089,280.72616913707,
Men Junior,11,225591,Matteo,Vanden wijngaert,,+0:01:29,,339.8841796604,283.51597635154,
Men Junior,12,227534,Joachim,Luijendijk,,+0:01:37,,394.20696218072,286.305783566,
Men Junior,13,218920,Bas,Van heeswijk,,+0:01:47,,329.71979044776,289.09559078047,
Men Junior,14,218924,Daan,Dijkman,,+0:01:52,,339.91452414837,291.88539799494,
Men Junior,15,222124,Dries,Heirbaut,,+0:01:55,,367.53773191321,294.6752052094,
Men Junior,16,218913,Nick,Wisse,,+0:02:01,,307.58957663431,297.46501242387,
Men Junior,17,220657,Thomas,Huitema,,+0:02:08,,308.28317782502,300.25481963834,
Men Junior,18,226843,Levi,Van dijk,,+0:02:08,,387.91947730172,303.0446268528,
Men Junior,19,226838,Koen,Sonnemans,,+0:02:17,,332.96954119814,305.83443406727,
Men Junior,20,226839,Matt,Roijackers,,+0:02:36,,359.70078269659,308.62424128174,
Men Junior,21,218921,Twan,Maarleveld,,+0:02:42,,328.40634336616,311.4140484962,
Men Junior,22,227544,Maike,Tazelaar,,+0:02:53,,395.01992381411,314.20385571067,
