Category Name,Place,RacerID,First Name,Last Name,Team Name,Time,License,Carried Points,Scored Points,
Men Elite,1,129684,Toon,Vandebosch,CRELAN-CORENDON,1:04:00,,151.57215185112,135.87522944197,
Men Elite,2,174032,Victor,Van de putte,DESCHACHT-HENS CX TEAM,1:04:01,,170.05478883487,140.5488278063,
Men Elite,3,144667,Niels,Vandeputte,,1:04:01,,130.39856031235,145.22242617064,
Men Elite,4,181210,Wout,Janssen,,1:04:02,,181.52261565494,149.89602453497,
Men Elite,5,153653,Cameron,Mason,SEVEN RACING,1:04:02,,157.9326926386,154.56962289931,
Men Elite,6,36277,Laurens,Sweeck,CRELAN-CORENDON,1:04:04,,135.26361533503,159.24322126364,
Men Elite,7,76451,Kevin,Suarez fernandez,NESTA - MMR CYLING TEAM,1:04:43,,188.37942354081,163.91681962798,
Men Elite,8,196599,Kenay,De moyer,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW CYCLING TEAM ,1:05:03,,184.21971893627,168.59041799231,
Men Elite,9,22212,Tom,Meeusen,,1:05:05,,183.16432863473,173.26401635665,
Men Elite,10,218295,Mats,Vanden eynde,BALOISE GLOWI LIONS,1:05:09,,229.29123857195,177.93761472098,
Men Elite,11,203393,Bengt,Daelmans,,1:05:16,,223.0794636657,182.61121308532,
Men Elite,12,108478,Robin,Alderweireld,,1:05:27,,204.49581403359,187.28481144965,
Men Elite,13,149486,Cyprien,Gilles,,1:05:40,,180.7820634895,191.95840981399,
Men Elite,14,219171,Fausto,DELMÉ,,1:05:51,,308.03823595095,196.63200817832,
Men Elite,15,222123,Lars,Daelmans,,1:05:58,,251.4095546191,201.30560654266,
Men Elite,16,202395,Wies,Nuyens,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW CYCLING TEAM ,1:06:05,,217.85677147754,205.97920490699,
Men Elite,17,218910,Keano,Geens,,1:06:10,,262.30319187504,210.65280327133,
Men Elite,18,217763,Oscar,Amey,,1:06:28,,226.46053301317,215.32640163566,
Men Elite,19,147010,Sander,De vet,,1:06:54,,176.73362784176,220,
Men Elite,20,202528,Bram,Sprangers,,1:06:58,,201.80494831054,224.67359836434,
Men Elite,21,178643,Luca,Harter,,1:07:16,,205.27486222801,229.34719672867,
Men Elite,22,219176,Lars,De nys,,1:07:24,,301.76015568314,234.02079509301,
Men Elite,23,218287,Xander,Danckaarts,,1:07:32,,279.35135696017,238.69439345734,
Men Elite,24,179528,Luke,Walter,PURE ENERGY DRINK / HARO BIKES BY COREGO,1:07:56,,211.35203096342,243.36799182168,
Men Elite,25,181174,Filippo,Cecchi,,1:08:07,,259.62507150099,248.04159018601,
Men Elite,26,136629,Florian,Trigo,,1:08:14,,220,252.71518855035,
Men Elite,27,112988,Emiel,Jansman,,1:08:23,,221.39730318649,257.38878691468,
Men Elite,28,212556,Tjalle,Dries,,1:08:28,,245.73437687043,262.06238527902,
