Category Name,Place,RacerID,First Name,Last Name,Team Name,Time,License,Carried Points,Scored Points,
Men Elite,1,36277,Laurens,Sweeck,CRELAN-CORENDON,1:01:59,519294,142.64062856002,125.67674176659,
Men Elite,2,144667,Niels,Vandeputte,,1:01:59,,131.37804767399,130.53934983146,
Men Elite,3,21155,Jens,Adams,,1:02:03,,147.85224130937,135.40195789634,
Men Elite,4,108208,Lander,Loockx,,1:02:03,588418,153.07210107154,140.26456596121,
Men Elite,5,76111,Toon,Aerts,DESCHACHT- HENS-FSP,1:02:07,515458,273.96400262125,145.12717402608,
Men Elite,6,129684,Toon,Vandebosch,CRELAN-CORENDON,1:02:10,,143.12336494952,149.98978209095,
Men Elite,7,174014,Ward,Huybs,BALOISE TREK LIONS,1:02:11,,155.93443731734,154.85239015582,
Men Elite,8,22194,Corne,Van kessel,DESCHACHT- HENS-FSP,1:02:24,542728,176.76276045752,159.71499822069,
Men Elite,9,81236,Thijs,Aerts,CHARLES LIÉGEOIS ROASTERY CX,1:02:49,542729,162.11254141127,164.57760628556,
Men Elite,10,184970,Lucas,Janssen,,1:02:57,,187.91643777763,169.44021435043,
Men Elite,11,202394,Viktor,Vandenberghe,PAUWELS SAUZEN - BINGOAL,1:03:03,,193.34722428381,174.3028224153,
Men Elite,12,212552,Keije,Solen,CHARLES LIÉGEOIS ROASTERY CX,1:03:03,,240.35654868749,179.16543048017,
Men Elite,13,22212,Tom,Meeusen,,1:03:12,515460,175.14157770935,184.02803854504,
Men Elite,14,147010,Sander,De vet,,1:03:36,,177.15726650363,188.89064660991,
Men Elite,15,194005,Clement,Horny,,1:03:45,,176.94982090126,193.75325467478,
Men Elite,16,146962,Ryan,Kamp,,1:03:54,,149.09274999298,198.61586273965,
Men Elite,17,202395,Wies,Nuyens,PAUWELS SAUZEN - BINGOAL,1:04:21,,197.68032144703,203.47847080452,
Men Elite,18,202528,Bram,Sprangers,,1:04:23,,222.71434252869,208.34107886939,
Men Elite,19,181210,Wout,Janssen,,1:04:40,,188.89064660991,213.20368693426,
Men Elite,20,25710,Ingmar,Uytdewilligen,,1:04:43,,199.98483021652,218.06629499913,
Men Elite,21,202067,Jelte,Jochems,,1:05:01,,223.29907198216,222.928903064,
Men Elite,22,212143,Ieben,Jacobs,,1:07:04,,278.76802009501,227.79151112887,
Men Elite,23,196609,Toon,Van den bergh,,1:07:04,,321.5671245439,232.65411919374,
Men Elite,24,121597,Maarten,Van staeyen,,1:07:09,,239.42889614279,237.51672725861,
Men Elite,25,181174,Filippo,Cecchi,,-2 LAPS,,266.25120168417,242.37933532348,
Men Elite,26,213261,Toon,Deckers,,-2 LAPS,,325.79243671478,247.24194338835,
Men Elite,27,117885,Nicola,Parenti,,-2 LAPS,,269.50108874647,252.10455145322,
Men Elite,DNF,149584,Thomas,Mein,HOPE FACTORY RACING,DNF,,171.72522194113,261.82976758296,
Men Elite,DNF,202513,Seppe,Van den boer,BALOISE TREK LIONS,DNF,,190.59213042882,261.82976758296,
Men Elite,DNF,212393,Alfie,Amey,,DNF,,276.85137465141,261.82976758296,
Men Elite,DNF,212863,Senn,Bossaerts,,DNF,,281.60808412477,261.82976758296,
Men Junior,1,219722,Kryštof,BAŽANT,,0:40:51,,252.45336244708,235.81818939169,
Men Junior,2,222123,Lars,Daelmans,,0:40:52,,287.91474557128,241.53523971618,
Men Junior,3,218295,Mats,Vanden eynde,,0:40:53,,261.40824331132,247.25229004066,
Men Junior,4,219171,Fausto,DELMÉ,,0:41:01,,302.3097175633,252.96934036514,
Men Junior,5,217763,Oscar,Amey,,0:41:08,,282.97650308808,258.68639068962,
Men Junior,6,218915,Rick,Versloot,,0:41:12,,293.83721256959,264.4034410141,
Men Junior,7,226835,Thomas,Verdonck,,0:41:28,,300.99780592961,270.12049133858,
Men Junior,8,227533,Finn,Bastiaanssen,,0:41:29,,318.96081077873,275.83754166306,
Men Junior,9,221695,Leander,De gendt,,0:41:31,,341.66583190064,281.55459198755,
Men Junior,10,220838,Arthur,Van den boer,,0:41:55,,240.40335609517,287.27164231203,
Men Junior,11,227531,Mads Pé,Teunissen van manen,,0:41:57,,279.30277617384,292.98869263651,
Men Junior,12,227375,Milo,Wills,,0:42:03,,273.04050236665,298.70574296099,
Men Junior,13,220818,Lennert,Meeusen,,0:42:06,,310.30533011021,304.42279328547,
Men Junior,14,230089,Noël,Goijert,,0:42:06,,370,310.13984360995,
Men Junior,15,222176,Josse,Jacobs,,0:42:15,,393.20138235033,315.85689393443,
Men Junior,16,222170,Stan,Deram,,0:42:17,,324.30747853964,321.57394425892,
Men Junior,17,227536,Len,Geerts,,0:42:19,,338.72509523236,327.2909945834,
Men Junior,18,218304,Lennox,Papi,,0:42:23,,367.89555035005,333.00804490788,
Men Junior,19,226856,Brent,Lippens,,0:42:33,,355.99630337187,338.72509523236,
Men Junior,20,218435,Mak,Larkin,,0:43:05,,324.96365222377,344.44214555684,
Men Junior,21,217767,Jamie,Stewart,,0:43:07,,294.42012138711,350.15919588132,
Men Junior,22,222795,Yoran,Ampoorter,,0:43:07,,348.5275069067,355.8762462058,
Men Junior,23,218916,Stan,Van looy,,0:43:11,,350.72325628003,361.59329653029,
Men Junior,24,217765,Innes,Mcdonald,,0:43:24,,290.01846460382,367.31034685477,
Men Junior,25,226843,Levi,Van dijk,,0:43:40,,374.43771067828,373.02739717925,
Men Junior,26,230470,Torben,Aerts,,0:44:09,,370,378.74444750373,
Men Junior,27,227556,Luca,Renders,,0:44:14,,411.47580092927,384.46149782821,
Men Junior,28,227558,Jonas,Vermiert,,0:44:15,,498.22710954733,390.17854815269,
Men Junior,29,230471,Lorenz,Ivens,,0:44:35,,370,395.89559847717,
Men Junior,30,217764,Declan,Oldham,,0:44:56,,310.28420183972,401.61264880166,
Men Junior,31,220853,Jonah,Flammang-lies,,0:45:00,,336.96365286232,407.32969912614,
Men Junior,32,218914,Arjen,Decroo,,0:45:20,,340.30395204329,413.04674945062,
Men Junior,33,226840,Senna,Scholten,,0:45:31,,405.42388866814,418.7637997751,
Men Junior,34,225142,Lenn,Schmitz,,0:46:01,,353.3371117705,424.48085009958,
Men Junior,35,218436,Charlie,Hoyle,,0:46:37,,369.05428774106,430.19790042406,
Men Junior,36,222173,Mick,De keyser,,-2 LAPS,,371.63082027224,435.91495074854,
Men Junior,37,230472,Bernd,Van bouwel,,-2 LAPS,,370,441.63200107302,
Men Junior,DNF,223892,Timo,De baets,,DNF,,382.8605048589,453.06610172199,
Men Junior,DNF,226841,Seppe,Sprangers,,DNF,,413.00702109676,453.06610172199,
Women Elite,1,154856,Marion,Norbert riberolle,CRELAN-CORENDON,0:44:31,,251.19028367765,209.54736696612,
Women Elite,2,132483,Sara,Casasola,,0:44:39,,241.5422971087,223.88512694764,
Women Elite,3,91351,Laura,Verdonschot,DE CEUSTER - BOUWPUNT,0:44:42,,239.00151269173,238.22288692915,
Women Elite,4,139698,Alicia,Franck,DE CEUSTER - BOUWPUNT,0:44:45,567466,294.52370964365,252.56064691067,
Women Elite,5,150479,Aniek,Van alphen,CYCLOCROSS REDS,0:44:46,,246.84636144702,266.89840689218,
Women Elite,6,112961,Manon,Bakker,CRELAN-CORENDON,0:44:58,562506,251.33268794602,281.2361668737,
Women Elite,7,195092,Femke,Gort,PROXIMUS - CYCLIS - ALPHAMOTORHOMES CT,0:45:58,,355.48893523869,295.57392685521,
Women Elite,8,221710,Mae,Cabaca,,0:45:58,,363.23050657724,309.91168683673,
Women Elite,9,24098,Loes,Sels,PROXIMUS - CYCLIS - ALPHAMOTORHOMES CT,0:46:07,542731,363.97041307242,324.24944681824,
Women Elite,10,132626,Anna,Kay,PROXIMUS - CYCLIS - ALPHAMOTORHOMES CT,0:46:31,,305.52527488258,338.58720679976,
Women Elite,11,227563,Jamie,De beer,,0:46:37,,587.4333608894,352.92496678127,
Women Elite,12,189853,Sterre,Vervloet,,0:46:45,,382.26869352638,367.26272676279,
Women Elite,13,189956,Iris,Offerein,DESCHACHT- HENS-FSP,0:46:53,,323.4621368498,381.6004867443,
Women Elite,14,168739,Kiona,Crabbé,,0:47:01,,319.99729201999,395.93824672582,
Women Elite,15,218950,Sanne,Laurijssen,,0:48:06,,412.92011793466,410.27600670733,
Women Elite,16,159494,Nele,De vos,,0:48:16,,456.28266163503,424.61376668885,
Women Elite,17,212439,Alice,Colling,,0:48:24,,407.63189548,438.95152667036,
Women Elite,18,212584,Roxanne,Takken,,0:48:31,,435.61913685454,453.28928665188,
Women Elite,19,159491,Tessa,Zwaenepoel,PROXIMUS - CYCLIS - ALPHAMOTORHOMES CT,0:48:39,,430.66007728933,467.62704663339,
Women Elite,20,206288,Floor,Van elsacker,,0:48:53,,428.12239835026,481.96480661491,
Women Elite,21,161706,Amy,Perryman,,0:49:16,,442.23186597508,496.30256659642,
Women Elite,22,212442,Rebecca,Woodvine,,0:49:37,,456.87961721188,510.64032657794,
Women Elite,23,202425,Alana,Polfliet,,0:49:45,,524.38265277999,524.97808655945,
Women Elite,24,139635,Tine,Rombouts,,0:49:45,,459.06717924502,539.31584654097,
Women Elite,25,218955,Isere,Koster,,0:50:33,,523.80869448723,553.65360652249,
Women Elite,26,218952,Selena,Bas,,-1 LAP,,490.29690503599,567.991366504,
Women Elite,27,89415,Meg,De bruyne,PROXIMUS - CYCLIS - ALPHAMOTORHOMES CT,-1 LAP,,441.72532157476,582.32912648552,
Women Elite,28,201910,Phoebe,Skinner,,-3 LAPS,,528.90364962772,596.66688646703,
