Category Name,Place,RacerID,First Name,Last Name,Team Name,Time,License,Carried Points,Scored Points,
Men Junior,1,218295,Mats,Vanden eynde,,0:40:38,,240.08433906582,240.08433906582,
Men Junior,2,218915,Rick,Versloot,,0:40:44,,278.02065742938,257.40046690158,
Men Junior,3,218290,Gust,Depraetere,,0:40:56,,293.97013465768,264.63857886446,
Men Junior,4,218916,Stan,Van looy,,0:41:16,,326.74845163021,271.87669082735,
Men Junior,5,222170,Stan,Deram,,0:41:39,,310.93516652008,279.11480279024,
Men Junior,6,220657,Thomas,Huitema,,0:41:43,,308.84093033597,286.35291475313,
Men Junior,7,218920,Bas,Van heeswijk,,0:41:45,,314.003560207,293.59102671601,
Men Junior,8,227532,Jari,Van lee,,0:41:47,,294.94022855766,300.8291386789,
Men Junior,9,225591,Matteo,Vanden wijngaert,,0:41:47,,338.8115254695,308.06725064179,
Men Junior,10,222795,Yoran,Ampoorter,,0:42:06,,356.74918491061,315.30536260467,
Men Junior,11,228601,Toon,De peuter,,0:42:19,,325.27002430603,322.54347456756,
Men Junior,12,222175,Samuel,Greenwell,,0:42:39,,356.19543538452,329.78158653045,
Men Junior,13,225563,Yoram,Knaepen,,0:42:42,,397.63542113294,337.01969849334,
Men Junior,14,226841,Seppe,Sprangers,,0:42:56,,399.34895658205,344.25781045622,
Men Junior,15,234141,Mathis,Cassaert,,0:43:04,,370,351.49592241911,
Men Junior,16,220819,Ferre,Erpels,,0:43:11,,350.19954039098,358.734034382,
Men Junior,17,218304,Lennox,Papi,,0:43:16,,359.18960235051,365.97214634489,
Men Junior,18,228613,Jarne,Evens,,0:43:33,,406.71513763722,373.21025830777,
Men Junior,19,232795,Danté,Flamez,,0:43:37,,429.34093818177,380.44837027066,
Men Junior,20,231700,Mathis,Richez,,0:43:45,,417.41581555976,387.68648223355,
Men Junior,21,229756,Jack,Morgan,,0:43:52,,427.37927807586,394.92459419644,
Men Junior,22,218948,Miel,Oreel,,0:44:09,,364.37217626963,402.16270615932,
Men Junior,23,227545,Thyn,Jacobs,,0:44:19,,375.9630365176,409.40081812221,
Men Junior,24,220839,Gabriel,Sainthuile,,0:44:28,,365.97214634489,416.6389300851,
Men Junior,25,224431,Yannis,Lang,,0:44:35,,335.37578481173,423.87704204798,
Men Junior,26,145566,James,Martin,,0:44:38,,503.0654629459,431.11515401087,
Men Junior,27,169291,Sam,Budd,,0:44:42,,383.9929363529,438.35326597376,
Men Junior,28,231694,Sjoerd,Vander bracht,,0:46:00,,447.3183792724,445.59137793665,
Men Junior,29,224288,Esteban,Jauregui,,0:46:07,,432.29870520992,452.82948989953,
Men Junior,30,222789,Oliver,Agombar,,0:46:07,,397.2188637028,460.06760186242,
Men Junior,31,234142,Hannes,Reynders,,0:46:43,,370,467.30571382531,
Men Junior,32,234143,Korneel,Vandenheede,,0:47:17,,370,474.5438257882,
Men Junior,33,229757,Daniel,Grace,,0:47:32,,419.90125012179,481.78193775108,
Women Elite,1,190720,Fem,Van empel,,0:41:57,,179.09756463054,179.09756463054,
Women Elite,2,154856,Marion,Norbert riberolle,CRELAN-CORENDON,0:42:44,,249.19804913161,221.12411875247,
Women Elite,3,112964,Inge,Van der heijden,CRELAN-CORENDON,0:42:56,,218.89595635193,234.98865521843,
Women Elite,4,18883,Sanne,Cant,CRELAN-CORENDON,0:44:09,,263.41040258655,248.85319168438,
Women Elite,5,139698,Alicia,Franck,DE CEUSTER - BOUWPUNT,0:44:10,,289.55472443976,262.71772815033,
Women Elite,6,212179,Imogen,Wolff,,0:44:32,,312.51633463106,276.58226461628,
Women Elite,7,129810,Jinse,Peeters,DE CEUSTER - BOUWPUNT,0:44:41,,313.12105359728,290.44680108223,
Women Elite,8,132626,Anna,Kay,PROXIMUS - CYCLIS - ALPHAMOTORHOMES CT,0:44:50,,304.67371207592,304.31133754818,
Women Elite,9,132484,Francesca,Baroni,PROXIMUS - CYCLIS - ALPHAMOTORHOMES CT,0:45:13,,301.27691681194,318.17587401413,
Women Elite,10,201565,Xaydee,Van sinaey,CRELAN-CORENDON,0:45:24,,312.69771880708,332.04041048008,
Women Elite,11,212583,Bloeme,Kalis,PROXIMUS - CYCLIS - ALPHAMOTORHOMES CT,0:45:34,,401.36309280983,345.90494694603,
Women Elite,12,212172,Sara,Sonnemans,,0:46:11,,403.90761176545,359.76948341198,
Women Elite,13,149561,Xan,Crees,,0:46:12,,356.57737387478,373.63401987793,
Women Elite,14,121946,Perrine,Clauzel,SEBMOTOBIKES CX TEAM,0:46:16,,343.88239830468,387.49855634388,
Women Elite,15,201916,Elena,Day,,0:46:26,,364.27547366118,401.36309280983,
Women Elite,16,212169,Ilken,Seynave,,0:46:51,,450.1058363803,415.22762927578,
Women Elite,17,161706,Amy,Perryman,,0:47:01,,449.47656945527,429.09216574173,
Women Elite,18,202036,Xenna,De bruyckere,,0:47:07,,417.99867017053,442.95670220768,
Women Elite,19,24098,Loes,Sels,PROXIMUS - CYCLIS - ALPHAMOTORHOMES CT,0:47:14,,367.22072536675,456.82123867363,
Women Elite,20,202425,Alana,Polfliet,,0:47:46,,517.82340242535,470.68577513958,
Women Elite,21,206288,Floor,Van elsacker,,0:47:52,,428.06974728506,484.55031160554,
Women Elite,22,222757,Katrine,Frederiksen,,0:48:31,,481.60165358713,498.41484807149,
Women Elite,23,207039,Giorgia,Secchi,,0:48:38,,492.56251294039,512.27938453744,
Women Elite,24,190895,Lies´l,Schevenels,,0:48:52,,452.97571594103,526.14392100339,
Women Elite,25,138542,Lara,Defour,,-2 LAPS,,435.29398608205,540.00845746934,
Women Elite,26,195214,Emily,De cuyper,,-2 LAPS,,558.50388984564,553.87299393529,
Women Elite,27,22960,Jo,Blanchaert,,-3 LAPS,,558.44558013835,567.73753040124,
Women Elite,28,212178,Evi,Slosse,,-3 LAPS,,596.52172396194,581.60206686719,
Women Elite,29,212454,Eleanor,Whalley,,-4 LAPS,,440,595.46660333314,
