Category Name,Place,RacerID,First Name,Last Name,Team Name,Time,License,Carried Points,Scored Points,
Men Elite,1,144667,Niels,Vandeputte,,1:01:48,,128.65564046308,110.13197370544,
Men Elite,2,22180,Lars,Van der haar,BALOISE GLOWI LIONS,1:02:13,,127.84861234823,113.18674073291,
Men Elite,3,36284,Michael,Vanthourenhout,PAUWELS SAUZEN - CIBEL CLEMENTINES,1:02:20,,132.19683085496,116.24150776037,
Men Elite,4,76111,Toon,Aerts,DESCHACHT- HENS-FSP,1:02:24,,135.51919322494,119.29627478784,
Men Elite,5,91571,Joris,Nieuwenhuis,RIDLEY  RACING  TEAM,1:02:26,,118.04924579678,122.3510418153,
Men Elite,6,100271,Eli,Iserbyt,PAUWELS SAUZEN - CIBEL CLEMENTINES,1:02:29,,143.5845809193,125.40580884276,
Men Elite,7,155096,Felipe,Orts lloret,RIDLEY  RACING  TEAM,1:02:39,,149.7423929229,128.46057587023,
Men Elite,8,36277,Laurens,Sweeck,CRELAN-CORENDON,1:02:54,,137.14149881796,131.51534289769,
Men Elite,9,159497,Witse,Meeussen,CRELAN-CORENDON,1:02:55,,165.39940501125,134.57010992516,
Men Elite,10,146964,Mees,Hendrikx,HEIZOMAT RADTEAM P/B HERRMANN,1:03:01,,151.97633123472,137.62487695262,
Men Elite,11,184957,Jente,Michels,,1:03:05,,153.18066855751,140.67964398009,
Men Elite,12,144674,Anton,Ferdinande,,1:03:41,,165.95196327056,143.73441100755,
Men Elite,13,116009,Kevin,Kuhn,CHARLES LIÉGEOIS ROASTERY CX,1:04:02,,145.47516311048,146.78917803502,
Men Elite,14,81236,Thijs,Aerts,CHARLES LIÉGEOIS ROASTERY CX,1:04:36,,165.42402085236,149.84394506248,
Men Elite,15,202062,Yordi,Corsus,PAUWELS SAUZEN - CIBEL CLEMENTINES,1:04:51,,174.28208128219,152.89871208994,
Men Elite,16,202064,Guus,Van den eijnden,SEVEN RACING,1:05:00,,167.70174744029,155.95347911741,
Men Elite,17,174032,Victor,Van de putte,DESCHACHT- HENS-FSP,1:05:06,,169.46996828416,159.00824614487,
Men Elite,18,22194,Corne,Van kessel,DESCHACHT- HENS-FSP,1:05:23,,169.57190068856,162.06301317234,
Men Elite,19,147010,Sander,De vet,,1:05:30,,179.62225114087,165.1177801998,
Men Elite,20,202513,Seppe,Van den boer,BALOISE GLOWI LIONS,1:05:41,,189.67964051965,168.17254722727,
Men Elite,21,121596,Mathijs,Wuyts,,1:05:43,,182.97148049257,171.22731425473,
Men Elite,22,129684,Toon,Vandebosch,CRELAN-CORENDON,1:05:50,,154.6646034925,174.28208128219,
Men Elite,23,196599,Kenay,De moyer,PAUWELS SAUZEN - CIBEL CLEMENTINES,1:05:53,,192.18307891493,177.33684830966,
Men Elite,24,196614,Miles,Gevaert,,1:06:32,,207.75617774842,180.39161533712,
Men Elite,25,174014,Ward,Huybs,BALOISE GLOWI LIONS,1:07:03,,173.39640932062,183.44638236459,
Men Elite,26,203394,Stan,Van grieken,,1:07:31,,194.78976122061,186.50114939205,
Men Elite,27,202528,Bram,Sprangers,,1:07:54,,207.66246812833,189.55591641952,
Men Elite,28,162717,Stef,Janse,,1:08:44,,212.14697818713,192.61068344698,
Men Elite,29,202398,Toon,Heirbaut,,-2 LAPS,,229.77302119755,195.66545047445,
Men Elite,30,175196,Elio,Clarysse,,-2 LAPS,,215.77358281674,198.72021750191,
Men Elite,31,159515,Matteo,Oberteicher,PETER PANE NAGEL CX TEAM,-3 LAPS,,240.13672841931,201.77498452937,
Men Elite,32,180523,Ruben,Lembrechts,,-4 LAPS,,231.25630029518,204.82975155684,
Men Elite,33,202531,Brent,Op de beeck,,-4 LAPS,,255.35664571456,207.8845185843,
Men Elite,34,202419,Jarne,Goovaerts,,-4 LAPS,,281.40976985138,210.93928561177,
Men Elite,35,225145,François,Jacoby,,-4 LAPS,,361.16274626338,213.99405263923,
Men Elite,36,222752,Kévin,Blanpain,,-5 LAPS,,214.74024009021,217.0488196667,
Men Elite,37,196630,Milan,Lenaers,,-5 LAPS,,290.04662841674,220.10358669416,
Men Elite,37,153653,Cameron,Mason,SEVEN RACING,DNF,,158.6555405276,223.15835372162,
Men Elite,38,146962,Ryan,Kamp,,DNF,,163.42084746913,226.21312074909,
Men Elite,39,196500,Silas,Kuschla,,DNF,,212.8589172423,229.26788777655,
Men Elite,40,22212,Tom,Meeusen,,DNF,,182.39330535754,232.32265480402,
Men Elite,41,202395,Wies,Nuyens,PAUWELS SAUZEN - CIBEL CLEMENTINES,DNF,,215.11456154017,235.37742183148,
Men Elite,42,178508,Toon,Sluydts,,DNF,,223.30603779322,238.43218885895,
Men Junior,1,219925,Mattia,Agostinacchio,,0:36:40,,224.55943984351,224.55943984351,
