Position,Name,Age,Team,Time
1,Niels Vandeputte,25,Alpecin-Deceuninck Development Team,58:40
2,Cameron Mason,25,Seven Racing,+00:03
3,Ryan Kamp,25,Fenix,+00:07
4,Anton Ferdinande,25,Team Shifting Gears,+00:15
5,Yorben Lauryssen,23,Pauwels Sauzen - Altez Industriebouw,+00:19
6,Viktor Vandenberghe,20,Pauwels Sauzen - Altez Industriebouw,+00:43
7,Joran Wyseure,24,Crelan - Corendon,+00:57
8,Thomas Mein,26,Hope Factory Racing,+ 01:17
9,Kenay De Moyer,21,Pauwels Sauzen - Altez Industriebouw,+ 01:22
10,Arne Baers,23,Lotto Development Team,+ 01:32
11,Gerben Kuypers,25,Charles Liégeois Roastery CX,+ 01:33
12,Senn Bossaerts,19,Cyclis - Van Den Plas Cycling Team,+ 01:43
13,Fabian Maes,19,Cyclis - Van Den Plas Cycling Team,+ 01:49
14,Stan Van Grieken,20,Stageco Cycling Team,+ 02:03
15,Michael Vanthourenhout,32,Pauwels Sauzen - Altez Industriebouw,+ 02:06
16,Stefano Viezzi,19,Alpecin-Deceuninck Development Team,+ 02:11
17,Arthur Soontjens,22,Cyclis - Van Den Plas Cycling Team,+ 02:13
18,Loïc Vanlaere,18,Starbikes - Vista Build,+ 02:14
19,Daan Soete,30,Ridley Racing Team,+ 02:22
20,Max Rijvers,19,RB Zelfbouw UCT,+ 02:23
21,Sander De Vet,25,CC Chevigny,+ 02:25
22,Lorenzo Marasco,27,Team Marni-N'side,+ 02:28
23,Jelte Jochems,20,Volharding Cycling Team,+ 02:34
24,Bram Sprangers,20,Van Gorp Projects - CT Zandhoven,+ 02:38
25,Robbe Marchand,20,Deschacht - Hens - CX Team,+ 02:58
26,Lars De Nys,18,A.S Construct-Castaar Cycling Team,+ 03:10
27,Yarne Vrolix,19,Van Gorp Projects - CT Zandhoven,+ 03:18
28,Senne D'Hollander,20,Cyclis - Van Den Plas Cycling Team,+ 03:35
29,Elio Clarysse,23,,+ 03:44
30,Miles Gevaert,21,,+ 03:52
31,Lennert Meeusen,18,WAC Team,+ 03:56
32,Milan De Nys,21,Cyclis - Van Den Plas Cycling Team,+ 03:58
33,Rune Smits,26,Cyclis - Van Den Plas Cycling Team,+ 03:58
34,Toon Deckers,19,VP Consulting Cycling Team,+ 04:00
35,Xander Danckaarts,18,WAC Team,+ 04:47
36,Salvador Alvarado,23,,+ 04:51
37,Nick Wisse,18,Goudenbod-Parkhotel Development Team,+ 04:52
38,Ruben Lembrechts,23,,+ 04:52
39,Jacob Turner,22,,+ 05:27
40,Rhett Bates,19,,+ 05:36
41,Keano Geens,18,Starbikes - Vista Build,+ 05:50
42,Jorre Cardijn,19,,+ 06:21
43,Morgan Guérin,21,,+ 06:21
44,Scott Chalmers,38,,+ 06:21
45,Thomas Crapper,22,Cyclis - Van Den Plas Cycling Team,+ 06:21
46,Kévin Blanpain,39,,+ 06:21
47,William Lezard,24,,+ 06:21
DNF,Liam Sargent,21,,
DNF,Vilmar Aastrup,18,Svealand Cycling Team,
