Position,Name,Age,Time
1,Inge van der Heijden,26,50:44
2,Marion Norbert Riberolle,26,+ 00:18
3,Julie Brouwers,22,+ 01:11
4,Hélène Clauzel,27,+ 01:42
5,Jinse Peeters,26,+ 02:04
6,Xan Crees,25,+ 02:26
7,Lotte Baele,18,+ 02:31
8,Mae Cabaca,18,+ 02:32
9,Sara Sonnemans,19,+ 02:38
10,Sara Cueto Vega,31,+ 03:21
11,Ann-Dorthe Lisbygd,41,+ 03:31
12,Ellie Mitchinson,18,+ 03:39
13,Lien Schampaert,18,+ 04:08
14,Nette Coppens,20,+ 04:21
15,Tine Rombouts,24,+ 04:24
16,Alana Polfliet,21,+ 04:28
17,Amy Perryman,23,+ 05:26
18,Nele De Vos,27,+ 05:36
19,Floor Van Elsacker,22,+ 05:42
20,Meg De Bruyne,29,+ 05:49
21,Emily De Cuyper,25,+ 06:01
22,Alexe De Raedemaeker,19,+ 06:22
23,Laure Huybrechts,18,+ 06:26
24,Giorgia Secchi,21,+ 07:04
25,Tessa Zwaenepoel,24,0
26,Luna Carrio Hernandez,18,0
