Position,Name,Team,Time,,
1,DEL GROSSO Tibor,ALPECIN-DECEUNINCK,1:00:18,,
2,WYSEURE Joran,CRELAN-CORENDON,+0:03,,
3,NYS Thibau,BALOISE GLOWI LIONS,+0:21,,
4,HENDRIKX Mees,HEIZOMAT - CUBE,+0:22,,
5,VANDEPUTTE Niels,ALPECIN-DECEUNINCK DEVELOPMENT,+0:26,,
6,VANTHOURENHOUT Michael,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW,+0:34,,
7,KUYPERS Gerben,CHARLES-LIÉGEOIS ROASTERY CX,+0:34,,
8,ORTS LLORET Felipe,RIDLEY RACING TEAM,+0:42,,
9,FONTANA Filippo,C.S. CARABINIERI,+0:48,,
10,MICHELS Jente,ALPECIN-DECEUNINCK DEVELOPMENT,+0:50,,
11,CORSUS Yordi,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW,+1:09,,
12,KUHN Kevin,HEIZOMAT - CUBE,+1:22,,
13,LOOCKX Lander,UNIBET TIETEMA ROCKETS,+1:37,,
14,FERDINANDE Anton,SHIFTING GEARS,+1:43,,
15,BERTOLINI Gioele,ALE COLNAGO TEAM,+1:46,,
16,LAURYSSEN Yorben,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW,+1:49,,
17,AGOSTINACCHIO Filippo,EF EDUCATION - EASYPOST OATLY,+1:50,,
18,HORNY Clement,BH-WALLONIE MTB TEAM,+2:07,,
19,BOROŠ Michael,ELKOV KASPER,+2:16,,
20,REMIJN Senna,ALPECIN- DECEUNINCK,+2:21,,
21,GROSLAMBERT Martin,SEBMOTOBIKES CX TEAM,+2:23,,
22,MASON Cameron,SEVEN RACING,+2:28,,
23,JAMIN Antoine,BH-WALLONIE MTB TEAM,+2:40,,
24,ANANIE Ugo,ARQUES CX TEAM,+2:59,,
25,OERTZEN Max Heiner,RADSPORT NAGEL CX TEAM,+3:09,,
26,AMEY Oscar,TRINITY RACING,+3:44,,
27,BERCKMOES Jenno,LOTTO,+3:45,,
28,SCAPPINI Samuele,TEAM CINGOLANI-SPECIALIZED,+3:51,,
29,FERY Florian,VTT FUN CLUB,+4:01,,
30,LIENERT Patrik,ČEZ CYKLO TEAM TÁBOR,+4:15,,
31,VILLAR THIERY Aubin,EC CHATEAU THIERRY,+4:18,,
32,BARD Nicolas,LA PÉDALE BULLOISE,+4:19,,
33,MARASCO Lorenzo,SEBMOTOBIKES CX TEAM,+4:24,,
34,REMONDET Valentin,A.S. BIKE CROSSTEAM,+4:28,,
35,BETON Damien,UNION CYCLISTE PÉLUSSIN,+4:43,,
36,NUYENS Wies,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW,+4:52,,
37,ASKEY Ben,BACKSTEDT BIKE PERFORMANCE,+5:02,,
38,LEMARDELE Maxence,VC ST LO,+6:46,,
39,GEVAERT Miles,TOMABEL-INOFEC CYCLINGTEAM,-1 LAP,,
40,CAFUERI Tommaso,ASD DP66,-1 LAP,,
41,VOLLMUTH Aidan,EUROCROSSACADEMY,-1 LAP,,
42,SIMON Jules,AS BIKE RACING / FRANCE LITERI,-1 LAP,,
43,TANGUY Louis,ACT CYCLING,-1 LAP,,
44,FERRI Tommaso,FAS AIRPORT SERVICES GUERCIOTTI,-1 LAP,,
45,JANSE Stef,YOUNG CYCLING TALENT D&D,-2 LAP,,
46,GAILLARD Florian,ISSOIRE CYCLISME,-2 LAP,,
47,CLARK Tyler,CALEDON HILLS ARMADA,-2 LAP,,
48,BOLZAN Edoardo,G.S. WINNERBIKE,-2 LAP,,
49,VAN DEN BROEK Axel,CHARLES-LIÉGEOIS ROASTERY CX,-2 LAP,,
50,CONAWAY Calvin,IGNITION P/B RIGD-LEITNER,-2 LAP,,
51,GAMBORG Jonas Posselt,AARHUS MTB,-3 LAP,,
52,AMEY Alfie,TRINITY RACING,-3 LAP,,
