Position,Name,Team,Time,,
1,PIETERSE Puck,ALPECIN-FENIX,45:07,,
2,SCHREIBER Marie,TEAM SDWORX - PROTIME,+0:12,,
3,ALVARADO Ceylin Del Carmen,FENIX-DECEUNINCK,+0:47,,
4,VAS Kata Blanka,TEAM SD WORX - PROTIME,+1:16,,
5,NEFF Jolanda,CANNONDALE FACTORY RACING,+1:42,,
6,GARIBOLDI Rebecca,ALE COLNAGO TEAM,+1:50,,
7,VAN ALPHEN Aniek,SEVEN RACING,+2:07,,
8,BURQUIER Line,A.S BIKE CROSSTEAM,+2:12,,
9,BORGHESI Letizia,AROMITALIA - BASSO BIKES - VAIANO,+2:16,,
10,HARTOG Larissa,ORANGE BABIES CYCLING TEAM,+2:16,,
11,CLAUZEL Hélène,INDIVIDUEEL,+2:25,,
12,ASELTINE Mia,COMPETITIVE EDGE RACING,+2:27,,
13,SARKISOV Alyssa,USA NATIONAL TEAM,+2:32,,
14,ESTERMANN Rebekka,VC SURSEE / GRÜTER HANS AG,+2:35,,
15,FERRI Elisa,FAS AIRPORT SERVICES GUERCIOTTI,+2:41,,
16,CARRIER Rafaelle,PIVOT CYCLE OTE,+2:43,,
17,GUNSALUS Elizabeth,CCB P/B LEVINE LAW GROUP,+3:06,,
18,KNOLL Nico,CYCLEMEISTERS / BOW CYCLE,+3:16,,
19,BORELLO Carlotta,TEAM CINGOLANI-SPECIALIZED,+3:16,,
20,CABACA Mae,HEIZOMAT CUBE,+3:17,,
21,SARKISOV Katherine,CXD TREK BIKES,+3:24,,
22,BRAMATI Lucia,FAS AIRPORT SERVICES - GUERCIOTTI,+3:28,,
23,CUSACK Lidia,USA NATIONAL TEAM,+3:38,,
24,WENZEL Liv,SEBMOTOBIKES CX TEAM,+3:42,,
25,INGLIS Grace,N/A,+4:01,,
26,HLADÍKOVÁ Kateřina,BRILON RACING TEAM,+4:13,,
27,DETILLEUX Emeline,SCOTT CREUSE OXYGÈNE GUERET,+4:32,,
28,CLAUZEL Perrine,SEBMOTOBIKES CX TEAM,+4:43,,
29,HEIGL Nadja,KTM ALCHEMIST RACING TEAM,+4:47,,
30,ZOERNER Lauren,COMPETITIVE EDGE RACING,+4:49,,
31,BRUCHNER Regina,VESZPREMI EGYETEMI SPORT CLUB,+4:50,,
32,HURTELOUP Adèle,PROXIMUS - CYCLIS - ALPHAMOTORHOMES,+4:53,,
33,MOORE Elly,CYCLING CANADA,+5:01,,
34,BARTHELS Layla,CT ATERTDAUL,+5:06,,
35,BAELE Lotte,DE CEUSTER - BOUWPUNT,+5:06,,
36,SONNEMANN Lyllie,USA NATIONAL TEAM,+5:19,,
37,PANUŠOVÁ Anna,BRILON RACING TEAM MB,+5:20,,
38,DAY Elena,SPECTRA RACING P/B DAS,+5:29,,
39,COLLING Alice,SMURFIT WESTROCK CYCLING TEAM,+5:34,,
40,DE BRUYCKERE Xenna,DE CEUSTER-ACROG,+5:51,,
41,GLAUS Jana,VC ESCHENBACH/ ROSE BIKE SCHWEIZ,+5:53,,
42,DELCOMMUNE Juline,TEAM WILINK BRUSSELS CYCLING,+6:01,,
43,WHITESIDE Freya,NOUVELLES CYCLING X PRENDAS,+6:12,,
44,HAVILAND Alexa,CYCLING CANADA,+6:16,,
45,COPPENS Nette,DE CEUSTER-ACROG,+6:25,,
46,NIELSEN Mille,WILLING ABLE RACING,+6:26,,
47,MULLINS Kira,BEAR NATIONAL TEAM,+6:33,,
48,CORABOEUF Lea,AC LANESTER 56,+6:41,,
49,INGLIS Hope,SPECTRA RACING P/B DAS,+6:41,,
50,DAUME Graden,EUROCROSSACADEMY,+6:46,,
51,PETITGIRARD Marlène,VC ORNANS,+7:01,,
52,BEEBE Tessa,USA CYCLING ADP,+7:03,,
53,HAUBER Clare,CYCLING CANADA,+7:05,,
54,COOPER Madeline,MONTEZUMA´S RT,+7:16,,
55,VIKOVÁ Hanka,TEAM DUKLA PRAHA,-1 LAP,,
56,PERSSON Thea,KVÄNUM IF,-1 LAP,,
