Position,Name,Club,Time,,
1,Tibor Del Grosso,ALPECIN-DECEUNINCK,00:58:48,,
2,Wout van Aert,TEAM VISMA - LEASE A BIKE,00:58:48,,
3,Michael Vanthourenhout,PAUWELS SAUZEN - ALTEZ INDUSTR,00:59:00,,
4,Niels Vandeputte,ALPECIN-DECEUNINCK DEVELOPMENT,00:59:01,,
5,Joran Wyseure,CRELAN-CORENDON,00:59:02,,
6,Felipe Orts Lloret,RIDLEY RACING TEAM,00:59:05,,
7,Kevin Kuhn,HEIZOMAT-CUBE,00:59:08,,
8,Mees Hendrikx,HEIZOMAT - CUBE,00:59:18,,
9,Filippo Fontana,C.S. CARABINIERI,00:59:23,,
10,Gerben Kuypers,CHARLES-LIÉGEOIS ROASTERY CX,00:59:27,,
11,Aaron Dockx,CRELAN-CORENDON,00:59:40,,
12,Antoine Jamin,BH-WALLONIE MTB TEAM,01:00:08,,
13,Wout Janssen,CYCLIS - VAN DEN PLAS CYCLING,01:00:34,,
14,Thibau Nys,BALOISE GLOWI LIONS,01:00:49,,
15,Gioele Bertolini,GUERCIOTTI,01:00:52,,
16,Anton Ferdinande,SHIFTING GEARS,01:00:55,,
17,Léo Bisiaux,VELO CLUB RIOMOIS/DECATHLON,01:00:59,,
18,Mattia Agostinacchio,EF EDUCATION - EASYPOST OATLY,01:01:03,,
19,Cameron Mason,SEVEN RACING,01:01:29,,
20,Thomas Mein,HOPE FACTORY RACING,01:01:56,,
21,Tom Meeusen,CYCLIS-VAN DEN PLAS CYCLING,01:02:01,,
22,Yorben Lauryssen,PAUWELS SAUZEN - ALTEZ INDUSTR,01:02:09,,
23,Yoren Vanhoudt,CYCLIS-VAN DEN PLAS CYCLING,01:02:19,,
24,Daan Soete,RIDLEY RACING TEAM,01:02:30,,
25,Lorenzo Marasco,SEBMOTOBIKES CX TEAM,01:02:30,,
26,Raul Mira Bonastre,SAX CC,01:03:04,,
27,Clement Horny,BH-WALLONIE MTB TEAM,01:03:13,,
28,Lorenzo De Longhi,SOCIETÀ SPORTIVA SANFIORESE,01:03:14,,
29,Noah Shelton,BEAR CX,01:03:15,,
30,Max Rijvers,RB ZELFBOUW UCT,01:03:21,,
31,Tyler Clark,CALEDON HILLS ARMADA,01:03:24,,
32,Arne Baers,LOTTO DEVELOPMENT TEAM,01:03:48,,
33,Samuele Scappini,BELTRAMI TSA TRE COLLI,01:03:54,,
34,Aidan Vollmuth,EUROCROSSACADEMY,01:03:57,,
35,Loïc Bettendorff,LEOPARD PRO CYCLING,01:04:08,,
36,Remon Delnoije,TWC DE KEMPEN,01:04:09,,
37,Tommaso Cafueri,ASD DP66,01:04:11,,
38,Aubin Villar Thiery,EC CHATEAU THIERRY,01:04:12,,
39,Miles Gevaert,TOMABEL-INOFEC CYCLINGTEAM,01:04:17,,
40,Timothé Gabriel,TPM CX TEAM,01:04:25,,
41,Lukas Herrmann,HEIZOMAT RADTEAM,01:04:25,,
42,Rune Smits,CYCLIS - VAN DEN PLAS CYCLING,01:04:26,,
43,Naud De Clercq,STARBIKES - VISTABUILD,01:04:32,,
44,Alexis David,AMICAL CYCLISTE BISONTINE,01:04:41,,
45,Florian Hamm,RSV GARCHING,01:05:02,,
46,Rhett Bates,BROAD STREET OFF ROAD,01:05:07,,
47,Hijiri Oda,YOWAMUSHI.PADEL.CT,01:05:08,,
48,Maxime Croket,DESCHACHT-HENS CX TEAM,01:05:11,,
49,Mael Savignard,VELO SPRINT ANOULD,01:05:24,,
50,Patrik Lienert,EZ CYKLO TEAM TÁBOR,01:05:25,,
51,Liam Sargent,BROAD STREET,01:05:26,,
52,Calvin Conaway,IGNITION P/B RIGD-LEITNER,01:05:58,,
53,Florian Fery,VTT FUN CLUB,01:06:31,,
54,Keano Geens,WOUTIM-DEXTERS SPORT,2 Laps,,
55,Finn Westover,TEAM BOOGER,2 Laps,,
56,Alan Zanolini,ALE COLNAGO TEAM,2 Laps,,
57,Emilien Romain,ROUSSY BIKE CLUB,2 Laps,,
58,Michael Gassner,RSV MOOSBURG,2 Laps,,
59,Morgan Guérin,PSP INTERNATIONAL SUPERIOR CYC,2 Laps,,
60,Hippolyte Loete,ES ARQUES CYCLISME,2 Laps,,
61,Philipp Heigl,SU BIKESTORE.CC TEAM,3 Laps,,
62,Ruben Lembrechts,DLS INVIGO,3 Laps,,
63,Vince Ivens,KZLWC - AE,3 Laps,,
64,Jorre Cardijn,GMS CYCLING TEAM GLABBEEK,3 Laps,,
65,Beñat Fernandez de la Peña Aguirre,ZIKLOKROSEROAK TXIRRINDULARITZ,3 Laps,,
66,Ayato Tajima,SNEI,3 Laps,,
67,Jonas Mertens,T&T MTB RACING TEAM,4 Laps,,
68,Léo Garnier,TEAM PROF RAIFFEISEN CCL,4 Laps,,
69,Simon Maillefer,VÉLO CLUB VEVEY,4 Laps,,
70,Marcos Gómez Vega,BIERZO LACIANO CDC,4 Laps,,
71,Remi Brisebois,CYCLING CANADA,4 Laps,,
72,Benjamin Sydlik,SC WEGBERG,4 Laps,,
73,Dovydas Lukšas,LITHUANIAN CX NATIONAL TEAM,5 Laps,,
—,Joris Nieuwenhuis,RIDLEY RACING TEAM,DNF,,
—,Laurens Sweeck,CRELAN-CORENDON,DNF,,
—,Pim Ronhaar,BALOISE GLOWI LIONS,DNF,,
—,Andrew Strohmeyer,CXD TREK BIKES,DNF,,
—,Gonzalo Inguanzo Macho,DELIKIA-GINESTAR,DNF,,
—,Cody Scott,COMPETITIVE EDGE RACING,DNF,,
—,Henry Coote,USA NATIONAL TEAM,DNF,,
—,Filippo Agostinacchio,EF EDUCATION - EASYPOST OATLY,DNF,,
—,Jonas Posselt Gamborg,AARHUS MTB,DNF,,
—,Arthur Soontjens,CYCLIS-VAN DEN PLAS CYCLING,DNF,,
