Position,Name,Club,Time,,
1,Amandine Fouquenet,ARKEA - B&B HOTELS WOMAN,00:51:03,,
2,Kata Blanka Vas,TEAM SD WORX - PROTIME,00:51:11,,
3,Aniek van Alphen,SEVEN RACING,00:51:12,,
4,Inge van der Heijden,CRELAN-CORENDON,00:51:17,,
5,Marion Norbert Riberolle,CRELAN-CORENDON,00:51:35,,
6,Fleur Moors,BALOISE GLOWI LIONS,00:51:48,,
7,Marie Schreiber,TEAM SDWORX - PROTIME,00:52:15,,
8,Jolanda Neff,CANNONDALE FACTORY RACING,00:52:49,,
9,Julie Brouwers,CHARLES-LIÉGEOIS ROASTERY CX,00:52:53,,
10,Rafaelle Carrier,PIVOT CYCLE OTE,00:52:54,,
11,Line Burquier,A.S BIKE CROSSTEAM,00:53:04,,
12,Bloeme Kalis,VELOPRO-EGS GROUP-ALPHAMOTORHO,00:53:04,,
13,Annemarie Worst,SEVEN RACING,00:53:27,,
14,Jinse Peeters,DE CEUSTER - BOUWPUNT,00:53:46,,
15,Elizabeth Gunsalus,CCB P/B LEVINE LAW GROUP,00:53:46,,
16,Rebekka Estermann,VC Sursee / Grüter Hans AG,00:53:47,,
17,Judith Krahl,HEIZOMAT RADTEAM P/B HERRMANN,00:54:06,,
18,Letizia Borghesi,AROMITALIA - BASSO BIKES - VAI,00:54:19,,
19,Rebecca Gariboldi,ALE COLNAGO TEAM,00:54:28,,
20,Marthe Truyen,FENIX-DECEUNINCK,00:54:35,,
21,Mae Cabaca,Heizomat Cube,00:54:37,,
22,Sofia Rodriguez Revert,SOPELA WOMEN'S TEAM,00:54:39,,
23,Liv Wenzel,HESS CYCLING TEAM,00:54:43,,
24,Lauren Molengraaf,CHARLES-LIÉGEOIS ROASTERY CX,00:54:53,,
25,Carlotta Borello,ASD DP66,00:55:24,,
26,Nadja Heigl,KTM ALCHEMIST RACING TEAM,00:55:38,,
27,Anniek Mos,BANKHUIS,00:55:50,,
28,Sara Sonnemans,WV SCHIJNDEL,00:56:18,,
29,Lotte Baele,DE CEUSTER - BOUWPUNT,00:56:23,,
30,Grace Inglis,n/a,00:56:31,,
31,Maïté Barthels,CT ATERTDAUL,00:56:32,,
32,Julia van der Meulen,AWV DE ZWALUWEN,00:56:56,,
33,Layla Barthels,CT ATERTDAUL,00:57:08,,
34,Pem Hoefmans,DE CEUSTER-ACROG,00:57:10,,
35,Lauren Zoerner,COMPETITIVE EDGE RACING,00:57:21,,
36,Nico Knoll,Cyclemeisters / Bow Cycle,00:57:26,,
37,Nette Coppens,DE CEUSTER-ACROG,00:57:35,,
38,Alicia Gonzalez Blanco,MOVISTAR TEAM WOMEN,00:57:47,,
39,Xaydee van Sinaey,CRELAN-CORENDON,00:58:08,,
40,Hanka Viková,Team Dukla Praha,00:58:22,,
41,Katja Verkerk,CYNISCA CYCLING,00:58:33,,
42,Sera Gademan,TEAM BIKE EMOTIONS,00:58:37,,
43,Adèle Hurteloup,VELOPRO-ALPHAMOTORHOMES,00:58:46,,
44,Ana Lopez Burgos,OSCENSE C.C.,00:58:52,,
45,Jorja Bond,CCB P/B LEVINE LAW GROUP,00:59:05,,
46,Meadow Willems,OLANDA BASE/WATERSLEY,00:59:14,,
47,Ilaria Tambosco,S.S.SanFiorese,00:59:34,,
48,Dorothee Perron,OTTAWA BICYCLE CLUB,01:00:03,,
49,Veronika Sedláková,Brilon Racing Team MB,01:00:07,,
50,Femke Lenferink,AWV DE ZWALUWEN,01:00:24,,
51,Lies 'L Schevenels,ESSEC CYCLING TEAM,01:01:41,,
52,Gaia Santin,VELO CLUB SAN VENDEMIΑΝΟ,1 Lap,,
53,Laure Huybrechts,ESSEC CYCLING TEAM,2 Laps,,
54,Nele de Vos,NEVER GIVE UP BY JOLIEN VERSCH,2 Laps,,
55,Diana Steffenhagen,RSV SEEHEIM 1971,2 Laps,,
56,Lucie Adam,TEAM JMCX,2 Laps,,
57,Maja Jozkowicz,K.S. KLIF CHLAPOWO,2 Laps,,
58,Michelle Schatti,VC WÄDENSWIL,3 Laps,,
59,Carla Jimenez Vera y Frias,CDF LAS LINDES,3 Laps,,
—,Lucia Gonzalez Blanco,NESTA - SKODA ALECAR CX TEAM,DNF,,
—,Regina Bruchner,VESZPREMI EGYETEMI SPORT CLUB,DNF,,
—,Jamie de Beer,TWC HET SNELLE WIEL BESTRONICS,DNF,,
—,Nadia Casasola,Bandiziol Cycling Team,DNF,,
