Position,Name,Team,NAT,YOB,Time
1,VAN DER POEL Mathieu,ALPECINDECEUNINCK-,NED,1995,1:01:24
2,SWEECK Laurens,CRELAN-CORENDON,BEL,1993,1:01:48
3,VERSTRYNGE Emiel,CRELAN-CORENDON,BEL,2002,1:01:57
4,RONHAAR Pim,BALOISE GLOWI LIONS,NED,2001,1:01:59
5,VANDEPUTTE Niels,ALPECINDECEUNINCK -DEVELOPMENT TEAM,BEL,2000,1:02:00
6,DEL GROSSO Tibor,ALPECIN-DECEUNINCK,NED,2003,1:02:03
7,VAN AERT Wout,TEAM VISMA | LEASE A BIKE,BEL,1994,1:02:15
8,VANTHOURENHOUT Michael,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW,BEL,1993,1:02:43
9,HENDRIKX Mees,HEIZOMAT-CUBE,NED,2000,1:02:54
10,WYSEURE Joran,CRELAN-CORENDON,BEL,2001,1:03:08
11,AERTS Toon,DESCHACHT-HENS CX,BEL,1993,1:03:16
12,ORTS LLORET Felipe,RIDLEY RACING TEAM,ESP,1995,1:03:18
13,KAMP Ryan,,NED,2000,1:03:19
14,MEEUSSEN Witse,CRELAN-CORENDON,BEL,2001,1:03:19
15,VANDEBOSCH Toon,CRELAN-CORENDON,BEL,1999,1:03:30
16,NIEUWENHUIS Joris,RIDLEY RACING TEAM,NED,1996,1:03:47
17,FONTANA Filippo,CS CARABINIERI - CICLI OLYMPIA,ITA,2000,1:03:58
18,VAN DE PUTTE Victor,DESCHACHT-HENS CX TEAM,BEL,2002,1:04:06
19,AGOSTINACCHIO Filippo,EF EDUCATION - EASYPOST - OATLY,ITA,2003,1:04:18
20,BOROŠ Michael,ELKOV-KASPER,CZE,1992,1:04:19
21,MEIN Thomas,HOPE FACTORY RACING,GBR,1999,1:04:25
22,BOMMENEL Nathan,ACT CYCLING,FRA,2003,1:04:28
23,NYS Thibau,BALOISE GLOWI LIONS,BEL,2002,1:04:47
24,JEŽEK Václav,BRILON RACING TEAM MB,CZE,2005,1:04:56
25,GROSLAMBERT Martin,SEBMOTOBIKES CX TEAM,FRA,2002,1:04:58
26,VAN GRIEKEN Stan,,BEL,2005,1:05:22
27,SUAREZ FERNANDEZ Kevin,NESTA - MMR CYLING TEAM,ESP,1994,1:05:29
28,LELANDAIS Rémi,ARKEA-B&B HOTELS CONTINENTALE,FRA,2002,1:05:37
29,FIALA Matyáš,ATT INVESTMENTS,CZE,2003,1:05:45
30,VAN LIEROP Danny,,NED,2003,1:05:50
31,TAKÁCS Zsombor,MBH BANK BALLAN CSB,HUN,2006,1:06:01
32,HALTER Nicolas,THOMUS AKROS-YOUNGSTARS,SUI,2006,1:06:05
33,JOT Matéo,,FRA,2003,1:06:11
34,GROENENDAAL Bailey,,DEN,2003,1:06:16
35,BERTOLINI Gioele,ALE COLNAGO TEAM,ITA,1995,1:06:32
36,SOMMER Lars,,SUI,2002,1:06:33
37,CLARK Tyler,,CAN,2000,1:06:33
38,MIRA BONASTRE Raul,,ESP,2004,1:06:33
39,MAES Fabian,,BEL,2006,1:06:42
40,OERTZEN Max Heiner,RADSPORT NAGEL CX TEAM,GER,2006,1:07:02
41,BARD Nicolas,,SUI,2000,1:07:06
42,DELNOIJE Remon,,NED,2001,1:07:19
43,HARTER Luca,,GER,2002,1:07:33
44,RIJVERS Max,,NED,2006,1:07:38
45,ZAKRAJSEK Dylan,COMPETITIVE EDGE RACING,USA,2003,1:07:50
46,STROHMEYER Andrew,CXD TREK BIKES,USA,2002,1:08:14
47,JUNQUERA SAN MILLAN Mario,UNICAJA-GIJON,ESP,1997,-1 LAP
