Position,Name,Team,NAT,YOB,Time
1,BRAND Lucinda,BALOISE GLOWI LIONS,NED,1989,53:48
2,ALVARADO Ceylin,FENIX-DECEUNINCK,NED,1998,53:50
3,VAN ALPHEN Aniek,SEVEN RACING,NED,1999,54:04
4,PIETERSE Puck,FENIX-DECEUNINCK,NED,2002,54:11
5,ZEMANOVÁ Kristýna,,CZE,2003,54:12
6,VAN ANROOIJ Shirin,BALOISE GLOWI LIONS,NED,2002,54:12
7,CASASOLA Sara,CRELAN-CORENDON,ITA,1999,54:18
8,VAN DER HEIJDEN Inge,CRELAN-CORENDON,NED,1999,54:49
9,BAKKER Manon,CRELAN-CORENDON,NED,1999,55:01
10,BENTVELD Leonie,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW CYCLING TEAM,NED,2004,55:13
11,BETSEMA Denise,DE CEUSTER - BOUWPUNT,NED,1993,55:18
12,NORBERT RIBEROLLE Marion,CRELAN-CORENDON,BEL,1999,55:25
13,FOUQUENET Amandine,ARKEA-B&B HOTELS WOMAN,FRA,2001,55:33
14,MOORS Fleur,BALOISE GLOWI LIONS,BEL,2005,55:35
15,GERY Célia,AS BIKE RACING/FRANCE LITERIE,FRA,2006,55:52
16,BROUWERS Julie,CHARLES LIÉGEOIS ROASTERY CX,BEL,2002,55:58
17,BRAMATI Lucia,FAS AIRPORT SERVICES - GUERCIOTTI,ITA,2003,56:23
18,SCHREIBER Marie,TEAM SD WORX - PROTIME,LUX,2003,56:36
19,CLAUZEL Hélène,,FRA,1998,56:43
20,MULLER Amandine,AS BIKE RACING/FRANCE LITERIE,FRA,2006,56:57
21,NEFF Jolanda,CANNONDALE FACTORY RACING,SUI,1993,57:07
22,HARTOG Larissa,,NED,2001,57:13
23,KALIS Bloeme,VELOPRO-EGS GROUP-ALPHAMOTORHOMES,NED,2006,57:22
24,VERDONSCHOT Laura,DE CEUSTER - BOUWPUNT,BEL,1996,57:23
25,CARRIER Rafaelle,,CAN,2007,57:23
26,BORELLO Carlotta,,ITA,2002,57:26
27,ESTERMANN Rebekka,,SUI,1999,57:32
28,CLAUZEL Perrine,SEBMOTOBIKES CX TEAM,FRA,1994,57:34
29,MOLENGRAAF Lauren,CHARLES LIEGEOIS ROASTERY CX,NED,2005,57:40
30,MCGILL Sidney,,CAN,1999,57:48
31,GUNSALUS Elizabeth,,USA,2003,57:58
32,PEETERS Jinse,DE CEUSTER - BOUWPUNT,BEL,1999,58:06
33,SARKISOV Alyssa,CXD TREK BIKES,USA,2007,58:11
34,RODRIGUEZ REVERT Sofia,NESTA-MMR CYLING TEAM,ESP,1999,58:16
35,GONZALEZ BLANCO Lucia,NESTA-MMR CYLING TEAM,ESP,1990,58:18
36,GARIBOLDI Rebecca,ALE COLNAGO TEAM,ITA,1996,58:24
37,VERVLOET Sterre,DESCHACHT-HENS CX TEAM,BEL,2003,58:29
38,CRABBÉ Kiona,,BEL,2001,58:35
39,ASELTINE Mia,COMPETITIVE EDGE RACING,USA,2004,58:36
40,ROCHETTE Maghalie,,CAN,1993,58:39
41,WORST Annemarie,SEVEN RACING,NED,1995,58:53
42,LAURIJSSEN Sanne,CRELAN-CORENDON,BEL,2007,58:57
43,HLADÍKOVÁ Katerina,BRILON RACING TEAM MB,CZE,2004,59:23
44,GALLEZOT Electa,SEBMOTOBIKES CX TEAM,FRA,2004,59:41
45,WENZEL Liv,SEBMOTOBIKES CX TEAM,LUX,2004,59:50
46,CREES Xan,,GBR,2000,1:00:14
47,DE SCHOESITTER Shanyl,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW CYCLING TEAM,BEL,2006,1:00:33
48,HEIGL Nadja,KTM SPADA POWERED BY BRENTA BRAKES,AUT,1996,1:01:09
49,CUSACK Lidia,CXD TREK BIKES,USA,2007,1:01:12
50,BARTHELS Maïté,,LUX,2001,1:01:13
51,ZOERNER Lauren,COMPETITIVE EDGE RACING,USA,2003,1:01:18
52,CUETO VEGA Sara,UNICAJA-GIJON,ESP,1994,1:01:34
53,BARTHELS Layla,,LUX,2004,1:01:46
54,BAELE Lotte,DE CEUSTER - BOUWPUNT,BEL,2003,1:02:00
55,GONZALEZ BLANCO Alicia,NESTA-MMR CYLING TEAM,ESP,1995,1:02:08
56,LOPEZ BURGOS Ana,,ESP,2007,1:02:19
57,SEYNAVE Ilken,DESCHACHT-HENS CX TEAM,BEL,2006,1:02:23
58,STERN Léa,,SUI,2001,1:02:28
59,SONNEMANN Lyllie,CXD TREK BIKES,USA,2007,1:02:32
60,COPPENS Nette,,BEL,2004,1:02:42
61,PANUŠOVÁ Anna,BRILON RACING TEAM MB,CZE,2006,1:02:42
62,BERTON Nina,EF EDUCATION - EASYPOST-OATLY,LUX,2001,1:02:54
63,GLAUS Jana,,SUI,2005,1:03:03
64,NIELSEN Mille,,DEN,2007,1:03:03
65,BRUCHNER Regina,,HUN,2006,1:03:18
66,KNOLL Nico,,CAN,2007,-1 LAP
67,VERKERK Katja,CYNISCA CYCLING,CAN,2003,-1 LAP
68,PERRON Dorothee,,CAN,2006,-1 LAP
69,SANTIN Gaia,,ITA,2005,-2 LAP
70,TAMBOSCO Ilaria,,ITA,2007,-2 LAP
71,HINZ Katharina,,GER,1997,-2 LAP
72,JOZKOWICZ Maja,,POL,2006,-2 LAP
73,STEFFENHAGEN Diana,,GER,1985,-2 LAP
74,SEDLÁCKOVÁ Veronika,BRILON RACING TEAM MB,CZE,2007,-2 LAP
75,BOND Jorja,CXD TREK BIKES,USA,2006,-2 LAP
76,SECCHI Giorgia,,ITA,2004,-2 LAP
77,CASASOLA Nadia,,ITA,2007,-2 LAP
78,MICHELS Friederike,RADSPORT NAGEL CX TEAM,GER,2006,-3 LAP
79,CARRIO HERNANDEZ Luna,UNICAJA-GIJON,ESP,2007,-3 LAP
80,PFEIL Julia-Katharina,,GER,1988,-3 LAP
DNS,VALADE Alexandra,,FRA,2005,DNS
