Position,Name,Team,NAT,YOB,Time
1,NYS Thibau,BALOISE GLOWI LIONS,BEL,2002,1:01:29
2,DEL GROSSO Tibor,ALPECIN-DECEUNINCK,NED,2003,1:01:31
3,SWEECK Laurens,CRELAN-CORENDON,BEL,1993,1:01:34
4,VERSTRYNGE Emiel,CRELAN-CORENDON,BEL,2002,1:01:35
5,VANDEPUTTE Niels,ALPECIN-DECEUNINCK DEVELOPMENT TEAM,BEL,2000,1:01:37
6,VAN AERT Wout,TEAM VISMA | LEASE A BIKE,BEL,1994,1:01:37
7,VANTHOURENHOUT Michael,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW CYCLING TEAM,BEL,1993,1:01:41
8,ORTS LLORET Felipe,RIDLEY RACING TEAM,ESP,1995,1:01:44
9,HENDRIKX Mees,HEIZOMAT - CUBE,NED,2000,1:01:54
10,AERTS Toon,DESCHACHT-HENS CX TEAM,BEL,1993,1:02:03
11,MICHELS Jente,ALPECIN-DECEUNINCK DEVELOPMENT TEAM,BEL,2003,1:02:06
12,WYSEURE Joran,CRELAN-CORENDON,BEL,2001,1:02:15
13,KUHN Kevin,HEIZOMAT - CUBE,SUI,1998,1:02:22
14,KAMP Ryan,-,NED,2000,1:02:34
15,GROSLAMBERT Martin,SEBMOTOBIKES CX TEAM,FRA,2002,1:02:38
16,KUYPERS Gerben,CHARLES LIÉGEOIS ROASTERY CX,BEL,2000,1:02:59
17,VAN DER HAAR Lars,BALOISE GLOWI LIONS,NED,1991,1:03:06
18,MENUT David,AS BIKE RACING / FRANCE LITERIE,FRA,1992,1:03:15
19,LELANDAIS Rémi,ARKEA-B&B HOTELS CONTINENTALE,FRA,2002,1:03:29
20,MASON Cameron,SEVEN RACING,GBR,2000,1:03:33
21,INGUANZO MACHO Gonzalo,-,ESP,2001,1:03:38
22,VANDEBOSCH Toon,CRELAN-CORENDON,BEL,1999,1:03:39
23,BOMMENEL Nathan,ACT CYCLING,FRA,2003,1:03:40
24,JUNQUERA SAN MILLAN Mario,UNICAJA - GIJON,ESP,1997,1:03:41
25,VAN LIEROP Danny,-,NED,2003,1:03:44
26,GABRIEL Timothé,-,FRA,2002,1:04:15
27,GROENENDAAL Bailey,-,DEN,2003,1:04:23
28,CLARK Tyler,-,CAN,2000,1:04:32
29,VAN KEMPEN Jules,-,USA,2002,1:04:44
30,MEIN Thomas,HOPE FACTORY RACING,GBR,1999,1:04:52
31,AGOSTINACCHIO Filippo,EF EDUCATION - EASYPOST - OATLY,ITA,2003,1:05:18
32,RONHAAR Pim,BALOISE GLOWI LIONS,NED,2001,1:05:21
33,ZAKRAJSEK Dylan,COMPETITIVE EDGE RACING,USA,2003,1:05:38
34,SOMMER Lars,-,SUI,2002,1:05:48
35,BETTENDORFF Loïc,HRINKOW ADVARICS,LUX,2001,1:06:02
36,ODA Hijiri,MATRIX POWERTAG,JPN,1998,-1 LAP
37,BOROŠ Michael,ELKOV - KASPER,CZE,1992,-1 LAP
38,HARTER Luca,-,GER,2002,-2 LAP
39,ROSENDAHL Karl-Erik,-,DEN,2001,-2 LAP
40,BARD Nicolas,-,SUI,2000,-2 LAP
41,RISBERG David,-,SWE,1999,-3 LAP
42,TURNER Jacob,-,NZL,2003,-3 LAP
43,KÖPSEL Jonas,RADSPORT NAGEL CX TEAM,GER,2002,-3 LAP
44,SCOTT Cody,COMPETITIVE EDGE RACING,CAN,2002,-4 LAP
45,HEIGL Philipp,-,AUT,1993,-5 LAP
46,FRANK Patrick,-,USA,2001,-6 LAP
47,GOMEZ VEGA Marcos,-,ESP,2003,-6 LAP
48,VICINI Tito,-,ITA,2002,-7 LAP
49,JUNGE Frederick,-,USA,1996,-7 LAP
50,OKAYAMA Yuta,OLANDA BASE/WATERSLEY,JPN,2001,-7 LAP
51,LUKŠAS Dovydas,-,LTU,2002,-7 LAP
52,KAJI Tetsuki,OLANDA BASE/WATERSLEY,JPN,1999,-8 LAP
DNF,THOMAS Théo,SEBMOTOBIKES CX TEAM,FRA,2001,DNF
DNF,BERTOLINI Gioele,ALE COLNAGO TEAM,ITA,1995,DNF
DNF,HERRMANN Lukas,-,GER,2001,DNF
