Position,Name,Team,NAT,YOB,Time
1,BRAND Lucinda,BALOISE GLOWI LIONS,NED,1989,51:06
2,PIETERSE Puck,FENIX-DECEUNINCK,NED,2002,51:17
3,FOUQUENET Amandine,ARKEA - B&B HOTELS WOMAN,FRA,2001,51:29
4,ALVARADO Ceylin,FENIX-DECEUNINCK,NED,1998,51:41
5,NORBERT RIBEROLLE Marion,CRELAN-CORENDON,BEL,1999,51:53
6,BENTVELD Leonie,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW CYCLING TEAM,NED,2004,52:04
7,VAN ALPHEN Aniek,SEVEN RACING,NED,1999,52:09
8,ZEMANOVÁ Kristýna,-,CZE,2003,52:15
9,BAKKER Manon,CRELAN-CORENDON,NED,1999,52:20
10,GERY Célia,-,FRA,2006,52:34
11,VAN ANROOIJ Shirin,BALOISE GLOWI LIONS,NED,2002,52:52
12,SCHREIBER Marie,TEAM SD WORX - PROTIME,LUX,2003,53:24
13,VAN DER HEIJDEN Inge,CRELAN-CORENDON,NED,1999,53:36
14,CARRIER Rafaelle,-,CAN,2007,53:39
15,NEFF Jolanda,CANNONDALE FACTORY RACING,SUI,1993,53:39
16,BETSEMA Denise,DE CEUSTER - BOUWPUNT,NED,1993,53:41
17,WORST Annemarie,SEVEN RACING,NED,1995,53:47
18,GARIBOLDI Rebecca,ALE COLNAGO TEAM,ITA,1996,53:55
19,SARKISOV Alyssa,CXD TREK BIKES,USA,2007,53:59
20,GUNSALUS Elizabeth,-,USA,2003,54:01
21,BROUWERS Julie,CHARLES LIÉGEOIS ROASTERY CX,BEL,2002,54:02
22,BORELLO Carlotta,-,ITA,2002,54:17
23,CLAUZEL Hélène,-,FRA,1998,54:19
24,HLADÍKOVÁ Katerina,BRILON RACING TEAM MB,CZE,2004,54:21
25,LOPEZ DE SAN ROMAN Vida,TRINITY RACING,USA,2006,54:24
26,BRAMATI Lucia,FAS AIRPORT SERVICES - GUERCIOTTI,ITA,2003,54:47
27,BACKSTEDT Zoe,CANYON//SRAM ZONDACRYPTO,GBR,2004,54:51
28,KALIS Bloeme,VELOPRO-EGS GROUP-ALPHAMOTORHOMES,NED,2006,54:51
