Position,Name,Team,Time,,
1,VAN DER POEL Mathieu,NED,1:03:15,,
2,NYS Thibau,BEL,1:03:36,,
3,DEL GROSSO Tibor,NED,1:03:38,,
4,AERTS Toon,BEL,1:03:38,,
5,VERSTRYNGE Emiel,BEL,1:03:38,,
6,VANTHOURENHOUT Michael,BEL,1:03:47,,
7,WYSEURE Joran,BEL,1:04:09,,
8,HENDRIKX Mees,NED,1:04:25,,
9,VAN DER HAAR Lars,NED,1:04:36,,
10,MASON Cameron,GBR,1:04:41,,
11,SWEECK Laurens,BEL,1:04:57,,
12,FONTANA Filippo,ITA,1:05:04,,
13,JANSSEN Wout,BEL,1:05:13,,
14,VANDEBOSCH Toon,BEL,1:05:14,,
15,LELANDAIS Rémi,FRA,1:05:21,,
16,BOMMENEL Nathan,FRA,1:05:28,,
17,BOROŠ Michael,CZE,1:05:39,,
18,VANDEPUTTE Niels,BEL,1:05:47,,
19,MENUT David,FRA,1:05:55,,
20,DE BRAUWERE Sil,BEL,1:05:58,,
21,VANDENBERGHE Viktor,BEL,1:06:04,,
22,DEBORD Romain,FRA,1:06:04,,
23,MEIN Thomas,GBR,1:06:23,,
24,SCAPPINI Samuele,ITA,1:06:30,,
25,RONHAAR Pim,NED,1:06:33,,
26,NIELSEN Daniel,DEN,1:06:35,,
27,BERTOLINI Gioele,ITA,1:06:46,,
28,VAN LIEROP Danny,NED,1:07:13,,
29,ORTS LLORET Felipe,ESP,1:07:24,,
30,JUNQUERA SAN MILLAN Mario,ESP,1:07:38,,
31,GROENENDAAL Bailey,DEN,1:07:53,,
32,RIJVERS Max,NED,1:08:31,,
33,CAFUERI Tommaso,ITA,1:08:35,,
34,LEQUET Corentin,FRA,1:08:44,,
35,DELNOIJE Remon,NED,1:08:57,,
36,MIRA BONASTRE Raul,ESP,1:09:04,,
37,THOMAS Théo,FRA,1:09:15,,
38,INGUANZO MACHO Gonzalo,ESP,Lapped,,
39,BARD Nicolas,SUI,Lapped,,
40,ZAKRAJSEK Dylan,USA,Lapped,,
41,CLARK Tyler,CAN,Lapped,,
42,DRUMMOND Ryan,USA,Lapped,,
43,SHELTON Noah,USA,Lapped,,
44,RISBERG David,SWE,Lapped,,
45,VAN KEMPEN Jules,USA,Lapped,,
46,TURNER Jacob,NZL,Lapped,,
47,VOLLMUTH Aidan,USA,Lapped,,
48,ZANOLINI Alan,ITA,Lapped,,
49,SARGENT Liam,CAN,Lapped,,
50,KING Carden,USA,Lapped,,
51,DE LONGHI Lorenzo,ITA,Lapped,,
52,BOLZAN Edoardo,ITA,Lapped,,
53,BRISEBOIS Remi,CAN,Lapped,,
54,HEIGL Philipp,AUT,Lapped,,
55,BATES Rhett,CAN,Lapped,,
56,BERNHARD Jack,USA,Lapped,,
57,JUNGE Frederick,USA,Lapped,,
58,GOMEZ VEGA Marcos,ESP,Lapped,,
59,OKAYAMA Yuta,JPN,Lapped,,
60,ENDO Kosuke,JPN,Lapped,,
61,LUKŠAS Dovydas,LTU,Lapped,,
62,NICHVOLODOV Artur,UKR,Lapped,,
63,KAJI Tetsuki,JPN,Lapped,,
-,KUHN Kevin,SUI,DNF,,
-,KAMP Ryan,NED,DNF,,
-,VAN DE PUTTE Victor,BEL,DNF,,
-,STROHMEYER Andrew,USA,DNF,,
-,NIEUWENHUIS Joris,NED,DNF,,
-,MICHELS Jente,BEL,DNF,,
-,ODA Hijiri,JPN,DNF,,
