Position,Name,Team,Time,,
1,BRAND Lucinda,NED,0:48:26,,
2,FOUQUENET Amandine,FRA,0:48:41,,
3,PIETERSE Puck,NED,0:48:45,,
4,VAS Blanka,HUN,0:49:04,,
5,VAN ALPHEN Aniek,NED,0:49:15,,
6,GERY Célia,FRA,0:49:20,,
7,VAN ANROOIJ Shirin,NED,0:49:38,,
8,ALVARADO Ceylin,NED,0:50:09,,
9,VAN DER HEIJDEN Inge,NED,0:50:18,,
10,CHLADONOVÁ Viktória,SVK,0:50:23,,
11,MULLER Amandine,FRA,0:50:30,,
12,NORBERT RIBEROLLE Marion,BEL,0:50:36,,
13,LOPEZ DE SAN ROMAN Vida,USA,0:50:37,,
14,CRABBÉ Kiona,BEL,0:50:45,,
15,BENTVELD Leonie,NED,0:50:50,,
16,CLAUZEL Hélène,FRA,0:50:51,,
17,BETSEMA Denise,NED,0:50:52,,
18,HARTOG Larissa,NED,0:50:53,,
19,CUSACK Lidia,USA,0:50:55,,
20,BROUWERS Julie,BEL,0:51:16,,
21,SARKISOV Katherine,USA,0:51:21,,
22,BAKKER Manon,NED,0:51:23,,
23,CABACA Mae,NED,0:51:27,,
24,NEFF Jolanda,SUI,0:51:33,,
25,MOORS Fleur,BEL,0:51:41,,
26,ESTERMANN Rebekka,SUI,0:51:46,,
27,GARIBOLDI Rebecca,ITA,0:52:17,,
28,VERDONSCHOT Laura,BEL,0:52:22,,
29,VAN SINAEY Xaydee,BEL,0:52:25,,
30,ASELTINE Mia,USA,0:52:30,,
31,BORGHESI Letizia,ITA,0:52:46,,
32,DURAFFOURG Lauriane,FRA,0:53:11,,
33,BORELLO Carlotta,ITA,0:53:24,,
34,RODRIGUEZ REVERT Sofia,ESP,0:53:30,,
35,PEETERS Jinse,BEL,0:53:31,,
36,KNOLL Nico,CAN,0:53:32,,
37,VERVLOET Sterre,BEL,0:53:54,,
38,HEIGL Nadja,AUT,0:54:02,,
39,SONNEMANS Sara,NED,0:54:09,,
40,BRUCHNER Regina,HUN,0:54:12,,
41,MEGALE Anna,USA,0:54:17,,
42,SEYNAVE Ilken,BEL,0:54:20,,
43,DETILLEUX Emeline,BEL,0:54:21,,
44,VAN DE STEENE Kim,BEL,0:54:27,,
45,STERN Léa,SUI,0:54:36,,
46,BARTHELS Layla,LUX,0:54:43,,
47,GONZALEZ BLANCO Alicia,ESP,0:54:52,,
48,BARTHELS Maïté,LUX,0:54:57,,
49,MOES Noi,NED,0:55:05,,
50,DE BRUYCKERE Xenna,BEL,0:55:39,,
51,CUETO VEGA Sara,ESP,0:55:52,,
52,GLAUS Jana,SUI,0:55:54,,
53,LISBYGD Ann-Dorthe,DEN,0:55:54,,
54,SONNEMANN Lyllie,USA,0:56:15,,
55,HURTELOUP Adèle,FRA,0:56:30,,
56,PERRON Dorothee,CAN,Lapped,,
57,KELLY Siobhan,CAN,Lapped,,
58,SHIELDS Emily,USA,Lapped,,
59,CARRIO HERNANDEZ Luna,ESP,Lapped,,
60,JIMENEZ VERA Y FRIAS Carla,ESP,Lapped,,
61,REYNOLDS Alicia,AUS,Lapped,,
-,SARKISOV Alyssa,USA,DNF,,
-,NIELSEN Mille,DEN,DNF,,
-,GONZALEZ BLANCO Lucia,ESP,DNF,,
-,KAY Anna,GBR,DNF,,
-,CREES Xan,GBR,DNF,,
-,GALLEZOT Electa,FRA,DNS,,
-,SECCHI Giorgia,ITA,DNS,,
