Position,Name,Team,Nat,YOB,Time,
1,VAN DER POEL Mathieu,ALPECINDECEUNINCK-,NED,1995,56:36,
2,SWEECK Laurens,CRELAN-CORENDON,BEL,1993,56:43,
3,VANDEPUTTE Niels,ALPECIN-DECEUNINCK DEVELOPMENT TEAM,BEL,2000,56:49,
4,DEL GROSSO Tibor,ALPECINDECEUNINCK-,NED,2003,56:59,
5,AERTS Toon,DESCHACHT-HENS CX TEAM,BEL,1993,57:40,
6,VANDEBOSCH Toon,CRELAN-CORENDON,BEL,1999,57:53,
7,WYSEURE Joran,CRELAN-CORENDON,BEL,2001,57:56,
8,MASON Cameron,SEVEN RACING,GBR,2000,58:02,
9,VANTHOURENHOUT Michael,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW,BEL,1993,58:13,
10,HENDRIKX Mees,HEIZOMAT - CUBE,NED,2000,58:14,
11,VAN DER HAAR Lars,BALOISE GLOWI LIONS,NED,1991,58:15,
12,RONHAAR Pim,BALOISE GLOWI LIONS,NED,2001,58:44,
13,VERSTRYNGE Emiel,CRELAN-CORENDON,BEL,2002,58:45,
14,KUHN Kevin,HEIZOMAT - CUBE,SUI,1998,58:45,
15,MEEUSSEN Witse,CRELAN-CORENDON,BEL,2001,59:00,
16,KAMP Ryan,—,NED,2000,59:08,
17,FONTANA Filippo,CS CARABINIERI - CICLI OLYMPIA,ITA,2000,59:39,
18,VAN DE PUTTE Victor,DESCHACHT-HENS CX TEAM,BEL,2002,1:00:13,
19,THOMAS Théo,SEBMOTOBIKES CX TEAM,FRA,2001,1:00:21,
20,BOROŠ Michael,ELKOV-KASPER,CZE,1992,1:00:39,
21,ORTS LLORET Felipe,RIDLEY RACING TEAM,ESP,1995,1:00:57,
22,BOMMENEL Nathan,ACT CYCLING,FRA,2003,1:01:07,
23,VERRIER Tristan,—,FRA,2003,1:01:13,
24,AGOSTINACCHIO Filippo,EF EDUCATION-EASYPOST-OATLY,ITA,2003,1:01:23,
25,GROENENDAAL Bailey,—,DEN,2003,1:01:41,
26,SUAREZ FERNANDEZ Kevin,NESTA-MMR CYLING TEAM,ESP,1994,1:01:55,
27,VAN LIEROP Danny,—,NED,2003,1:02:13,
28,FERDINANDE Anton,—,BEL,2000,1:02:45,
29,MENUT David,AS BIKE RACING/FRANCE LITERIE,FRA,1992,1:02:54,
30,INGUANZO MACHO Gonzalo,—,ESP,2001,1:03:18,
31,GROSLAMBERT Martin,SEBMOTOBIKES CX TEAM,FRA,2002,1:03:31,
32,GABRIEL Timothé,—,FRA,2002,1:03:45,
33,CEOLIN Federico,FAS AIRPORT SERVICES - GUERCIOTTI,ITA,2000,1:03:46,
34,SOMMER Lars,—,SUI,2002,1:03:49,
35,JUNQUERA SAN MILLAN Mario,UNICAJAGIJON,ESP,1997,1:03:58,
36,CLARK Tyler,—,CAN,2000,1:04:35,
37,FIALA Matyáš,ATT INVESTMENTS,CZE,2003,-1 LAP,
38,STROHMEYER Andrew,CXD TREK BIKES,USA,2002,-1 LAP,
39,GABNER Michael,—,GER,1999,-2 LAP,
40,RISBERG David,—,SWE,1999,-2 LAP,
41,HERRMANN Lukas,—,GER,2001,-2 LAP,
42,ZAKRAJSEK Dylan,COMPETITIVE EDGE RACING,USA,2003,-2 LAP,
43,BARD Nicolas,—,SUI,2000,-2 LAP,
44,HAMM Florian,—,GER,1999,-2 LAP,
45,HARTER Luca,—,GER,2002,-2 LAP,
46,TURNER Jacob,—,NZL,2003,-3 LAP,
47,SCOTT Cody,COMPETITIVE EDGE RACING,CAN,2002,-3 LAP,
48,ZAERA GISBERT Javier,—,ESP,2003,-3 LAP,
49,HEIGL Philipp,—,AUT,1993,-4 LAP,
50,RAUTZENBERG Robin,—,GER,2000,-4 LAP,
51,JUNGE Frederick,—,USA,1996,-4 LAP,
52,GOMEZ VEGA Marcos,—,ESP,2003,-4 LAP,
53,BRUYNSEELS Dries,BRUVO DUKLA BRATISLAVA,SVK,2001,-5 LAP,
54,KAJI Tetsuki,OLANDA BASE/WATERSLEY,JPN,1999,-5 LAP,
55,LUKŠAS Dovydas,—,LTU,2002,-5 LAP,
56,OKAYAMA Yuta,OLANDA BASE/WATERSLEY,JPN,2001,-5 LAP,
DNF,MEIN Thomas,HOPE FACTORY RACING,GBR,1999,—,
DNS,VAN KEMPEN Jules,—,USA,2002,—,
