Position,Name,Team,Nat,YOB,Time,
1,BRAND Lucinda,BALOISE GLOWI LIONS,NED,1989,48:08,
2,VAN ANROOIJ Shirin,BALOISE GLOWI LIONS,NED,2002,48:44,
3,ALVARADO Ceylin,FENIX-DECEUNINCK,NED,1998,49:11,
4,VAN ALPHEN Aniek,SEVEN RACING,NED,1999,49:15,
5,PIETERSE Puck,FENIX-DECEUNINCK,NED,2002,49:19,
6,VAN DER HEIJDEN Inge,CRELAN-CORENDON,NED,1999,50:21,
7,BETSEMA Denise,DE CEUSTER - BOUWPUNT,NED,1993,50:24,
8,BENTVELD Leonie,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW,NED,2004,50:33,
9,ZEMANOVÁ Kristýna,—,CZE,2003,50:34,
10,FOUQUENET Amandine,ARKEA-B&B HOTELS WOMAN,FRA,2001,50:45,
11,BAKKER Manon,CRELAN-CORENDON,NED,1999,50:48,
12,BRAMATI Lucia,FAS AIRPORT SERVICES - GUERCIOTTI,ITA,2003,51:02,
13,GERY Célia,AS BIKE RACING/FRANCE LITERIE,FRA,2006,51:22,
14,BROUWERS Julie,CHARLES LIÉGEOIS ROASTERY CX,BEL,2002,51:56,
15,VERDONSCHOT Laura,DE CEUSTER - BOUWPUNT,BEL,1996,52:15,
16,CLAUZEL Hélène,—,FRA,1998,52:21,
17,MOORS Fleur,BALOISE GLOWI LIONS,BEL,2005,52:24,
18,MOLENGRAAF Lauren,CHARLES LIÉGEOIS ROASTERY CX,NED,2005,52:51,
19,MULLER Amandine,AS BIKE RACING/FRANCE LITERIE,FRA,2006,52:57,
20,GUNSALUS Elizabeth,—,USA,2003,53:11,
21,GALLEZOT Electa,SEBMOTOBIKES CX TEAM,FRA,2004,53:15,
22,NORBERT RIBEROLLE Marion,CRELAN-CORENDON,BEL,1999,53:17,
23,HARTOG Larissa,—,NED,2001,53:23,
24,KALIS Bloeme,VELOPRO-EGS GROUP-ALPHAMOTORHOMES,NED,2006,53:51,
25,DESPREZ Lison,—,FRA,2007,54:03,
26,CLAUZEL Perrine,SEBMOTOBIKES CX TEAM,FRA,1994,54:04,
27,PEETERS Jinse,DE CEUSTER - BOUWPUNT,BEL,1999,54:08,
28,WORST Annemarie,SEVEN RACING,NED,1995,54:09,
29,SARKISOV Alyssa,CXD TREK BIKES,USA,2007,54:09,
30,RODRIGUEZ REVERT Sofia,NESTA - MMR CYLING TEAM,ESP,1999,54:15,
31,BORELLO Carlotta,—,ITA,2002,55:07,
32,VERVLOET Sterre,DESCHACHT-HENS CX TEAM,BEL,2003,55:10,
33,MCGILL Sidney,—,CAN,1999,55:11,
34,CUSACK Lidia,CXD TREK BIKES,USA,2007,55:11,
35,ESTERMANN Rebekka,—,SUI,1999,55:25,
36,CRABBÉ Kiona,—,BEL,2001,55:41,
37,GONZALEZ BLANCO Lucia,NESTA-MMR CYLING TEAM,ESP,1990,55:50,
38,ASELTINE Mia,COMPETITIVE EDGE RACING,USA,2004,56:17,
39,DOUDEROVÁ Katerina,—,CZE,2006,56:21,
40,CREES Xan,—,GBR,2000,56:41,
41,CUETO VEGA Sara,UNICAJA - GIJON,ESP,1994,57:01,
42,HEIGL Nadja,KTM SPADA POWERED BY BRENTA BRAKES,AUT,1996,57:13,
43,SEYNAVE Ilken,DESCHACHT-HENS CX TEAM,BEL,2006,57:19,
44,PANUŠOVÁ Anna,BRILON RACING TEAM MB,CZE,2006,57:39,
45,VAN DE STEENE Kim,—,BEL,1986,58:02,
46,GLAUS Jana,—,SUI,2005,-1 LAP,
47,DE BRUYCKERE Xenna,—,BEL,2005,-1 LAP,
48,ZOERNER Lauren,COMPETITIVE EDGE RACING,USA,2003,-1 LAP,
49,BAELE Lotte,DE CEUSTER-BOUWPUNT,BEL,2003,-1 LAP,
50,PAUL Stefanie,—,GER,1986,-1 LAP,
51,GONZALEZ BLANCO Alicia,NESTA - MMR CYLING TEAM,ESP,1995,-1 LAP,
52,NIELSEN Mille,—,DEN,2007,-1 LAP,
53,LOPEZ BURGOS Ana,—,ESP,2007,-2 LAP,
54,STERN Léa,—,SUI,2001,-2 LAP,
55,SONNEMANN Lyllie,CXD TREK BIKES,USA,2007,-2 LAP,
56,WINDELBAND Tomke,—,GER,2006,-2 LAP,
57,DE RAEDEMAEKER Alexe,—,BEL,2006,-2 LAP,
58,SHIELDS Emily,—,USA,1993,-3 LAP,
59,JOZKOWICZ Maja,—,POL,2006,-3 LAP,
60,HINZ Katharina,—,GER,1997,-3 LAP,
61,CARRIO HERNANDEZ Luna,UNICAJA-GIJON,ESP,2007,-3 LAP,
62,MICHELS Friederike,RADSPORT NAGEL CX TEAM,GER,2006,-3 LAP,
63,SECCHI Giorgia,—,ITA,2004,-3 LAP,
64,VERKERK Katja,CYNISCA CYCLING,CAN,2003,-3 LAP,
65,JIMENEZ VERA Y FRIAS Carla,—,ESP,2007,-3 LAP,
DNF,SCHREIBER Marie,TEAM SD WORX - PROTIME,LUX,2003,—,
DNF,WENZEL Liv,SEBMOTOBIKES CX TEAM,LUX,2004,—,
DNF,CASASOLA Sara,CRELAN-CORENDON,ITA,1999,—,
DNS,CARRIER Rafaelle,—,CAN,2007,—,
DNS,KNOLL Nico,—,CAN,2007,—,
DNS,GARNIER Noemie,SCOTT CREUSE OXYGENE GUERET,FRA,2001,—,
