Category Name,Place,RacerID,First Name,Last Name,Team Name,Time,License,Carried Points,Scored Points,Name,NAT,YOB
Men Elite,1,,Thibau,NYS,,1:03:01,,0,0,NYS Thibau,BEL,2002
Men Elite,2,,DER HAAR Lars,VAN,,1:03:04,,0,0,VAN DER HAAR Lars,NED,1993
Men Elite,3,,Cameron,MASON,,1:03:06,,0,0,MASON Cameron,GBR,2000
Men Elite,4,,Niels,VANPUTTE,,1:03:24,,0,0,VANPUTTE Niels,BEL,2000
Men Elite,5,,Laurens,SWEECK,,1:03:27,,0,0,SWEECK Laurens,BEL,1993
Men Elite,6,,Joris,NIEUWENHUIS,,1:03:33,,0,0,NIEUWENHUIS Joris,NED,1996
Men Elite,7,,Michael,VANHOURENHOUT,,1:03:39,,0,0,VANHOURENHOUT Michael,BEL,1993
Men Elite,8,,Jente,MICHELS,,1:03:50,,0,0,MICHELS Jente,BEL,2003
Men Elite,9,,Emiel,VERSTRYNGE,,1:04:12,,0,0,VERSTRYNGE Emiel,BEL,2002
Men Elite,10,,DE PUTTE Victor,VAN,,1:04:24,,0,0,VAN DE PUTTE Victor,BEL,2002
Men Elite,11,,Mees,HENDRIXX,,1:04:25,,0,0,HENDRIXX Mees,NED,2000
Men Elite,12,,Toon,AERTS,,1:04:27,,0,0,AERTS Toon,BEL,1993
Men Elite,13,,Ryan,KAMP,,1:04:32,,0,0,KAMP Ryan,NED,2000
Men Elite,14,,Toon,VANDEBOSCH,,1:04:39,,0,0,VANDEBOSCH Toon,BEL,1999
Men Elite,15,,Kevin,KUHN,,1:04:50,,0,0,KUHN Kevin,SUI,1998
Men Elite,16,,Andrew,STROHMEYER,,1:04:52,,0,0,STROHMEYER Andrew,USA,2002
Men Elite,17,,Witse,MEUSSEN,,1:04:58,,0,0,MEUSSEN Witse,BEL,2001
Men Elite,18,,Nathan,BOMMEL,,1:05:12,,0,0,BOMMEL Nathan,FRA,2003
Men Elite,19,,Michael,BOROŠ,,1:05:17,,0,0,BOROŠ Michael,CZE,1992
Men Elite,20,,Thomas,MEIN,,1:05:29,,0,0,MEIN Thomas,GBR,1999
Men Elite,21,,Remi,LELANNAIS,,1:05:45,,0,0,LELANNAIS Remi,FRA,2002
Men Elite,22,,Martin,GROSLAMBERT,,1:06:00,,0,0,GROSLAMBERT Martin,FRA,2002
Men Elite,23,,FERNANDEZ Kevin,SUAREZ,,1:06:05,,0,0,SUAREZ FERNANDEZ Kevin,ESP,1994
Men Elite,24,,Bailey,GROENENDAAL,,1:06:09,,0,0,GROENENDAAL Bailey,DEN,2003
Men Elite,25,,Tristan,VERRIER,,1:06:14,,0,0,VERRIER Tristan,FRA,2003
Men Elite,26,,Joran,WYSEURE,,1:06:20,,0,0,WYSEURE Joran,BEL,2001
Men Elite,27,,SAN MILLAN Mario,JUNQUERA,,1:06:26,,0,0,JUNQUERA SAN MILLAN Mario,ESP,1997
Men Elite,28,,Quentin,NAVARRO,,1:06:30,,0,0,NAVARRO Quentin,FRA,1998
Men Elite,29,,Pim,RONHAAR,,1:06:44,,0,0,RONHAAR Pim,NED,2001
Men Elite,30,,David,MENUT,,1:06:49,,0,0,MENUT David,FRA,1992
Men Elite,31,,Hugo,JOT,,1:06:53,,0,0,JOT Hugo,FRA,2001
Men Elite,32,,Matéo,JOT,,1:07:05,,0,0,JOT Matéo,FRA,2003
Men Elite,33,,LIEROP Danny,VAN,,1:07:17,,0,0,VAN LIEROP Danny,NED,2003
Men Elite,34,,Cyprien,GILLES,,1:07:32,,0,0,GILLES Cyprien,FRA,2000
Men Elite,35,,Damien,BETON,,1:07:55,,0,0,BETON Damien,FRA,2001
Men Elite,36,,Lucas,DUBAU,,1:08:13,,0,0,DUBAU Lucas,FRA,1996
Men Elite,37,,Timothé,GABRIEL,,1:08:57,,0,0,GABRIEL Timothé,FRA,2002
Men Elite,38,,Loris,ROUILLER,,-1 LAP,,0,0,ROUILLER Loris,SUI,2000
Men Elite,39,,GISBERT Javier,ZAERA,,-3 LAP,,0,0,ZAERA GISBERT Javier,ESP,2003
Men Elite,40,,Frederick,JUNGE,,-4 LAP,,0,0,JUNGE Frederick,USA,1996
