Category Name,Place,RacerID,First Name,Last Name,Team Name,Time,License,Carried Points,Scored Points,Name,NAT,YOB
Women Elite,1.0,,ALPHEN Aniek,VAN,,47:26,,0,0,VAN ALPHEN Aniek,NED,1999
Women Elite,2.0,,Amandine,FOUQUENET,,47:42,,0,0,FOUQUENET Amandine,FRA,2001
Women Elite,3.0,,Ceylin del Carmen,ALVARADO,,47:48,,0,0,ALVARADO Ceylin del Carmen,NED,1998
Women Elite,4.0,,DER HEIJDEN Inge,VAN,,48:10,,0,0,VAN DER HEIJDEN Inge,NED,1999
Women Elite,5.0,,Leonie,BENTVELD,,48:16,,0,0,BENTVELD Leonie,NED,2004
Women Elite,6.0,,ANROOIJ Shirin,VAN,,48:29,,0,0,VAN ANROOIJ Shirin,NED,2002
Women Elite,7.0,,RIBEROLLE Marion,NORBERT,,48:33,,0,0,NORBERT RIBEROLLE Marion,BEL,1999
Women Elite,8.0,,Hélène,CLAUZEL,,48:45,,0,0,CLAUZEL Hélène,FRA,1998
Women Elite,9.0,,Manon,BAKKER,,48:47,,0,0,BAKKER Manon,NED,1999
Women Elite,10.0,,Fleur,MOORS,,49:11,,0,0,MOORS Fleur,BEL,2005
Women Elite,11.0,,Julie,BROUWERS,,49:37,,0,0,BROUWERS Julie,BEL,2002
Women Elite,12.0,,Denise,BETSEMA,,49:39,,0,0,BETSEMA Denise,NED,1993
Women Elite,13.0,,Laura,VERDONSCHOT,,49:44,,0,0,VERDONSCHOT Laura,BEL,1996
Women Elite,14.0,,Célia,GERY,,49:49,,0,0,GERY Célia,FRA,2006
Women Elite,15.0,,Lidia,CUSACK,,49:59,,0,0,CUSACK Lidia,USA,2007
Women Elite,16.0,,Perrine,CLAUZEL,,50:07,,0,0,CLAUZEL Perrine,FRA,1994
Women Elite,17.0,,Amandine,MULLER,,50:14,,0,0,MULLER Amandine,FRA,2006
Women Elite,18.0,,Haf Ann Ffion,DRAKE,,50:15,,0,0,DRAKE Haf Ann Ffion,GBR,1999
Women Elite,19.0,,Anna,KAY,,50:16,,0,0,KAY Anna,GBR,1999
Women Elite,20.0,,Katherine,SARKISOV,,50:17,,0,0,SARKISOV Katherine,USA,2004
Women Elite,21.0,,Kaya,MUSGRAVE,,50:18,,0,0,MUSGRAVE Kaya,USA,2005
Women Elite,22.0,,Sterre,VERVLOET,,50:51,,0,0,VERVLOET Sterre,BEL,2003
Women Elite,23.0,,Electa,GALLEZOT,,51:01,,0,0,GALLEZOT Electa,FRA,2004
Women Elite,24.0,,REVERT Sofia,RODRIGUEZ,,51:01,,0,0,RODRIGUEZ REVERT Sofia,ESP,1999
Women Elite,25.0,,Lison,DESPREZ,,51:03,,0,0,DESPREZ Lison,FRA,2007
Women Elite,26.0,,Kiona,CRABBÉ,,51:08,,0,0,CRABBÉ Kiona,BEL,2001
Women Elite,27.0,,Anna,MEGALE,,51:19,,0,0,MEGALE Anna,USA,1991
Women Elite,28.0,,Xan,CREES,,51:22,,0,0,CREES Xan,GBR,2000
Women Elite,29.0,,SCHOESITTER Shanyl,DE,,51:30,,0,0,DE SCHOESITTER Shanyl,BEL,2006
Women Elite,30.0,,Camille,DEVIGNE,,51:40,,0,0,DEVIGNE Camille,FRA,2002
Women Elite,31.0,,Elena,DAY,,51:43,,0,0,DAY Elena,GBR,2004
Women Elite,32.0,,Sidney,MCGILL,,51:46,,0,0,MCGILL Sidney,CAN,1999
Women Elite,33.0,,Mia,ASELTINE,,52:01,,0,0,ASELTINE Mia,USA,2004
Women Elite,34.0,,Liv,WENZEL,,52:06,,0,0,WENZEL Liv,LUX,2004
Women Elite,35.0,,Noï,MOES,,52:13,,0,0,MOES Noï,NED,2007
Women Elite,36.0,,Jinse,PEETERS,,52:22,,0,0,PEETERS Jinse,BEL,1999
Women Elite,37.0,,Anaïs,MORICHON,,52:26,,0,0,MORICHON Anaïs,FRA,1999
Women Elite,38.0,,Alexandra,VALADE,,52:31,,0,0,VALADE Alexandra,FRA,2005
Women Elite,39.0,,Lise,KLAES,,52:43,,0,0,KLAES Lise,FRA,2005
Women Elite,40.0,,Anaïs,MOULIN,,52:44,,0,0,MOULIN Anaïs,FRA,2006
Women Elite,41.0,,Hope,INGLIS,,52:56,,0,0,INGLIS Hope,GBR,2005
Women Elite,42.0,,Kacey,EYEINGTON,,53:09,,0,0,EYEINGTON Kacey,GBR,2005
Women Elite,43.0,,Sara,SONNEMANS,,54:26,,0,0,SONNEMANS Sara,NED,2006
Women Elite,44.0,,BURGOS Ana,LOPEZ,,54:37,,0,0,LOPEZ BURGOS Ana,ESP,2007
Women Elite,45.0,,Lyllie,SONNEMANN,,-1 LAP,,0,0,SONNEMANN Lyllie,USA,2007
Women Elite,,,Annemarie,WORST,,DNF,,0,0,WORST Annemarie,NED,1995
