Place,Name,NAT,YOB,Time
1,VAN ALPHEN Aniek,NED,1999,47:26
2,FOUQUENET Amandine,FRA,2001,47:42
3,ALVARADO Ceylin del Carmen,NED,1998,47:48
4,VAN DER HEIJDEN Inge,NED,1999,48:10
5,BENTVELD Leonie,NED,2004,48:16
6,VAN ANROOIJ Shirin,NED,2002,48:29
7,NORBERT RIBEROLLE Marion,BEL,1999,48:33
8,CLAUZEL Hélène,FRA,1998,48:45
9,BAKKER Manon,NED,1999,48:47
10,MOORS Fleur,BEL,2005,49:11
11,BROUWERS Julie,BEL,2002,49:37
12,BETSEMA Denise,NED,1993,49:39
13,VERDONSCHOT Laura,BEL,1996,49:44
14,GERY Célia,FRA,2006,49:49
15,CUSACK Lidia,USA,2007,49:59
16,CLAUZEL Perrine,FRA,1994,50:07
17,MULLER Amandine,FRA,2006,50:14
18,DRAKE Haf Ann Ffion,GBR,1999,50:15
19,KAY Anna,GBR,1999,50:16
20,SARKISOV Katherine,USA,2004,50:17
21,MUSGRAVE Kaya,USA,2005,50:18
22,VERVLOET Sterre,BEL,2003,50:51
23,GALLEZOT Electa,FRA,2004,51:01
24,RODRIGUEZ REVERT Sofia,ESP,1999,51:01
25,DESPREZ Lison,FRA,2007,51:03
26,CRABBÉ Kiona,BEL,2001,51:08
27,MEGALE Anna,USA,1991,51:19
28,CREES Xan,GBR,2000,51:22
29,DE SCHOESITTER Shanyl,BEL,2006,51:30
30,DEVIGNE Camille,FRA,2002,51:40
31,DAY Elena,GBR,2004,51:43
32,MCGILL Sidney,CAN,1999,51:46
33,ASELTINE Mia,USA,2004,52:01
34,WENZEL Liv,LUX,2004,52:06
35,MOES Noï,NED,2007,52:13
36,PEETERS Jinse,BEL,1999,52:22
37,MORICHON Anaïs,FRA,1999,52:26
38,VALADE Alexandra,FRA,2005,52:31
39,KLAES Lise,FRA,2005,52:43
40,MOULIN Anaïs,FRA,2006,52:44
41,INGLIS Hope,GBR,2005,52:56
42,EYEINGTON Kacey,GBR,2005,53:09
43,SONNEMANS Sara,NED,2006,54:26
44,LOPEZ BURGOS Ana,ESP,2007,54:37
45,SONNEMANN Lyllie,USA,2007,-1 LAP
,WORST Annemarie,NED,1995,DNF
