Position,Name,Nationality,YOB,Time
1,VANTHOURENHOUT Michael,BEL,1993,1:03:17
2,NIEUWENHUIS Joris,NED,1996,1:03:18
3,SWEECK Laurens,BEL,1993,1:03:18
4,KAMP Ryan,NED,2000,1:03:24
5,VANDEPUTTE Niels,BEL,2000,1:03:25
6,VAN DE PUTTE Victor,BEL,2002,1:03:28
7,VANDEBOSCH Toon,BEL,1999,1:03:30
8,AGOSTINACCHIO Filippo,ITA,2003,1:03:40
9,HENDRIKX Mees,NED,2000,1:03:50
10,RONHAAR Pim,NED,2001,1:04:16
11,WYSEURE Joran,BEL,2001,1:04:30
12,MEEUSSEN Witse,BEL,2001,1:04:54
13,JANSSEN Wout,BEL,2002,1:05:08
14,CEOLIN Federico,ITA,2000,1:05:13
15,VANDEN EYNDE Mats,BEL,2007,1:05:29
16,BERTOLINI Gioele,ITA,1995,1:05:48
17,CORSUS Yordi,BEL,2005,1:06:29
18,HAVERDINGS David,NED,2004,1:06:45
19,FERRI Tommaso,ITA,2004,1:06:51
20,GAILLARD Florian,FRA,2001,1:07:18
21,SCAPPINI Samuele,ITA,2005,1:07:45
22,HAVERDINGS Floris,NED,2006,1:07:53
23,COURCIER Thomas,FRA,2005,1:07:57
24,FOLCARELLI Antonio,ITA,1998,1:08:03
25,DE LONGHI Lorenzo,ITA,2006,1:08:36
26,HARTER Luca,GER,2002,-1 LAP
27,KING Carden,USA,2005,-1 LAP
28,ZANOLINI Alan,ITA,2005,-1 LAP
29,FREDERICK Ben,USA,1989,-2 LAP
30,CECCHI Filippo,ITA,2002,-2 LAP
31,CAO Pietro,ITA,2007,-2 LAP
