Position,Name,Nationality,YOB,Time
1,BRAND Lucinda,NED,1989,47:14
2,VAN ALPHEN Aniek,NED,1999,47:34
3,VAN ANROOIJ Shirin,NED,2002,47:47
4,BENTVELD Leonie,NED,2004,48:16
5,CASASOLA Sara,ITA,1999,48:16
6,BAKKER Manon,NED,1999,48:25
7,BETSEMA Denise,NED,1993,48:40
8,GARIBOLDI Rebecca,ITA,1996,49:02
9,BRAMATI Lucia,ITA,2003,49:06
10,WORST Annemarie,NED,1995,49:12
11,BROUWERS Julie,BEL,2002,49:39
12,MOLENGRAAF Lauren,NED,2005,49:42
13,BORELLO Carlotta,ITA,2002,49:52
14,VERDONSCHOT Laura,BEL,1996,50:11
15,MCGILL Sidney,CAN,1999,50:24
16,PELLIZOTTI Giorgia,ITA,2008,50:33
17,DE SCHOESITTER Shanyl,BEL,2006,51:01
18,VERVLOET Sterre,BEL,2003,51:18
19,PEETERS Jinse,BEL,1999,51:25
20,MEGALE Anna,USA,1991,51:30
21,FERRI Elisa,ITA,2007,51:35
22,AZZETTI Nicole,ITA,2008,52:00
23,BIANCHI Elisa,ITA,2008,52:51
24,HURTELOUP Adèle,FRA,2004,53:23
25,TAMBOSCO Ilaria,ITA,2007,53:35
26,PERUTA Sara,ITA,2009,53:55
27,SECCHI Giorgia,ITA,2004,-2 LAP
28,FRANCESCHINI Emma,ITA,2007,-2 LAP
,ALVARADO Ceylin,NED,1998,DNF
