Place,Name,AGE,NAT,RESULT,PTS
1,"THIBAU
NYS",23,BEL,1:03:39,200
2,"LAURENS
SWEECK",32,BEL,1:03:47,160
3,"JORIS
NIEUWENHUIS",29,NED,1:03:49,140
4,"JENTE
MICHELS",22,BEL,1:03:51,120
5,"EMIEL
VERSTRYNGE",23,BEL,1:04:06,110
6,"RYAN
KAMP",25,NED,1:04:07,100
7,"LARS
VAN DER HAAR",34,NED,1:04:14,90
8,"TOON
AERTS",32,BEL,1:04:16,80
9,"CAMERON
MASON",25,GBR,1:04:16,70
10,"NIELS
VANDEPUTTE",25,BEL,1:04:20,60
11,"KEVIN
KUHN",27,SUI,1:04:26,58
12,"ANDREW
STROHMEYER",23,USA,1:04:29,56
13,"PIM
RONHAAR",24,NED,1:04:43,54
14,"TOON
VANDEBOSCH",26,BEL,1:05:07,52
15,"FELIPE
ORTS LLORET",30,ESP,1:05:19,50
16,"MEES
HENDRIKX",25,NED,1:05:28,48
17,"MICHAEL
VANTHOURENHOUT",32,BEL,1:05:33,46
18,"MICHAEL
BOROŠ",33,CZE,1:05:34,44
19,"WITSE
MEEUSSEN",24,BEL,1:05:52,42
20,"NATHAN
BOMMENEL",22,FRA,1:05:55,40
21,"DANNY
VAN LIEROP",22,NED,1:06:10,39
22,"JORAN
WYSEURE",24,BEL,1:06:18,38
23,"VICTOR
VAN DE PUTTE",23,BEL,1:06:26,37
24,"RÉMI
LELANDAIS",23,FRA,1:06:28,36
25,"BAILEY
GROENENDAAL",22,DEN,1:06:44,35
26,"MAREK
KONWA",35,POL,1:06:46,34
27,"JAKUB
ŘÍMAN",25,CZE,1:06:46,33
28,"VALENTIN
REMONDET",26,FRA,1:06:50,32
29,"LORENZO
MARASCO",27,FRA,1:07:01,31
30,"FABIAN
EDER",22,GER,1:07:02,30
31,"MATYÁŠ
FIALA",22,CZE,1:07:08,29
32,"FEDERICO
CEOLIN",25,ITA,1:07:14,28
33,"THÉO
THOMAS",24,FRA,1:07:46,27
34,"PAVEL
JINDŘICH",22,CZE,1:07:55,26
35,"LARS
SOMMER",23,SUI,1:08:30,25
36,"KEVIN
SUAREZ FERNANDEZ",31,ESP,1:09:43,24
37,"LENNART
LEIN",23,GER,1:10:01,23
38,"FLORIAN
HAMM",26,GER,1:10:17,22
39,"LOUIS
SPARFEL",22,FRA,1:10:27,21
40,"BEN
FREDERICK",36,USA,1:10:35,20
41,"KARL-ERIK
ROSENDAHL",24,DEN,1:10:44,19
42,"PHILIPP
HEIGL",32,AUT,1:11:09,18
43,"CAMERON
JETTE",38,CAN,,17
44,"MATTEO
OBERTEICHER",24,GER,,16
45,"ROBIN
RAUTZENBERG",25,GER,,15
46,"DRIES
BRUYNSEELS",24,SVK,,14
47,"FREDERICK
JUNGE",29,USA,,13
48,"LORIS
ROUILLER",25,SUI,DNF,
49,"MICHAEL
GASSNER",26,GER,DNF,
