Place,Name,AGE,NAT,RESULT,PTS
1,LUCINDA BRAND,36,NED,0:45:13,200
2,SARA CASASOLA,26,ITA,0:45:14,160
3,INGE VAN DER HEIJDEN,26,NED,0:45:26,140
4,LEONIE BENTVELD,21,NED,0:45:38,120
5,ANIEK VAN ALPHEN,26,NED,0:45:43,110
6,KRISTÝNA ZEMANOVÁ,22,CZE,0:45:45,100
7,AMANDINE FOUQUENET,24,FRA,0:46:05,90
8,MARION NORBERT RIBEROLLE,26,BEL,0:46:27,80
9,HÉLÈNE CLAUZEL,27,FRA,0:46:38,70
10,DENISE BETSEMA,32,NED,0:46:40,60
11,MANON BAKKER,26,NED,0:46:42,58
12,LUCIA BRAMATI,22,ITA,0:46:48,56
13,ANNEMARIE WORST,30,NED,0:46:54,54
14,JULIE BROUWERS,23,BEL,0:46:54,52
15,FLEUR MOORS,20,BEL,0:47:00,50
16,SHIRIN VAN ANROOIJ,23,NED,0:47:01,48
17,MAGHALIE ROCHETTE,32,CAN,0:47:01,46
18,VIKTÓRIA CHLADOŇOVÁ,19,SVK,0:47:25,44
19,SIDNEY MCGILL,26,CAN,0:47:29,42
20,AMANDINE MULLER,19,FRA,0:47:29,40
21,LAUREN MOLENGRAAF,20,NED,0:47:29,39
22,KAYA MUSGRAVE,20,USA,0:47:40,38
23,KATEŘINA HLADÍKOVÁ,21,CZE,0:48:00,37
24,LIDIA CUSACK,18,USA,0:48:10,36
25,XAN CREES,25,GBR,0:48:13,35
26,BLOEME KALIS,19,NED,0:48:16,34
27,KIONA CRABBÉ,24,BEL,0:48:17,33
28,ALEXANDRA VALADE,20,FRA,0:48:17,32
29,SHANYL DE SCHOESITTER,19,BEL,0:48:26,31
30,AMÁLIE GOTTWALDOVÁ,18,CZE,0:48:31,30
31,SOFIA UNGEROVÁ,19,SVK,0:48:39,29
32,NADJA HEIGL,29,AUT,0:48:41,28
33,LAURA VERDONSCHOT,29,BEL,0:48:42,27
34,ANNA KAY,26,GBR,0:48:44,26
35,KATHERINE SARKISOV,21,USA,0:48:45,25
36,KATEŘINA DOUDĚROVÁ,19,CZE,0:48:47,24
37,ANNA PANUŠOVÁ,19,CZE,0:48:52,23
38,PERRINE CLAUZEL,31,FRA,0:48:53,22
39,STERRE VERVLOET,22,BEL,0:49:11,21
40,ANNA MEGALE,34,USA,0:49:27,20
41,ANNA HRDINOVÁ,18,CZE,0:49:32,19
42,ELIŠKA DRBOHLAVOVÁ,22,CZE,0:49:45,18
43,LIV WENZEL,21,LUX,0:50:03,17
44,MILLE NIELSEN,18,DEN,0:50:18,16
45,ADÈLE HURTELOUP,21,FRA,0:50:23,15
46,ZUZANNA KRZYSTALA,35,POL,0:50:32,14
47,MIA ASELTINE,21,USA,0:50:50,13
48,JINSE PEETERS,26,BEL,0:51:12,12
49,TOMKE WINDELBAND,19,GER,0:51:24,11
50,LYLLIE SONNEMANN,18,USA,0:51:58,10
51,ROSALIE DENK,18,AUT,0:52:56,5
52,MAJA JOZKOWICZ,19,POL,0:53:27,5
53,ANTONINA BIALEK,27,POL,0:53:55,5
54,NADIA CASASOLA,18,ITA,0:54:20,5
,MARIE SCHREIBER,22,LUX,DNF,
,JUDITH KRAHL,24,GER,DNF,
