Position,Name,Team,Nationality,YOB,Time
1,VAN DER POEL Mathieu,ALPECIN-DECEUNINCK,NED,1995,58:29
2,NYS Thibau,BALOISE GLOWI LIONS,BEL,2002,58:38
3,VANTHOURENHOUT Michael,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW CYCLING TEAM,BEL,1993,58:40
4,VAN DER HAAR Lars,BALOISE GLOWI LIONS,NED,1991,58:41
5,VERSTRYNGE Emiel,CRELAN-CORENDON,BEL,2002,59:11
6,VANDEPUTTE Niels,ALPECIN-DECEUNINCK DEVELOPMENT TEAM,BEL,2000,59:22
7,RONHAAR Pim,BALOISE GLOWI LIONS,NED,2001,59:24
8,NIEUWENHUIS Joris,RIDLEY RACING TEAM,NED,1996,59:26
9,MEEUSSEN Witse,CRELAN-CORENDON,BEL,2001,59:43
10,VANDEBOSCH Toon,CRELAN-CORENDON,BEL,1999,59:58
11,MICHELS Jente,ALPECIN-DECEUNINCK DEVELOPMENT TEAM,BEL,2003,1:00:07
12,AERTS Toon,DESCHACHT-HENS CX TEAM,BEL,1993,1:00:13
13,AGOSTINACCHIO Mattia,EF EDUCATION - EASYPOST - OATLY,ITA,2007,1:00:15
14,DEL GROSSO Tibor,ALPECIN-DECEUNINCK,NED,2003,1:00:22
15,ORTS LLORET Felipe,RIDLEY RACING TEAM,ESP,1995,1:00:34
16,SWEECK Laurens,CRELAN-CORENDON,BEL,1993,1:00:40
17,WYSEURE Joran,CRELAN-CORENDON,BEL,2001,1:00:44
18,KUHN Kevin,HEIZOMAT-CUBE,SUI,1998,1:00:47
19,VAN DE PUTTE Victor,DESCHACHT-HENS CX TEAM,BEL,2002,1:00:49
20,GROSLAMBERT Martin,SEBMOTOBIKES CX TEAM,FRA,2002,1:00:54
21,HENDRIKX Mees,HEIZOMAT-CUBE,NED,2000,1:01:01
22,VAN LIEROP Danny,,NED,2003,1:01:08
23,THOMAS Théo,SEBMOTOBIKES CX TEAM,FRA,2001,1:01:20
24,BOMMENEL Nathan,ACT CYCLING,FRA,2003,1:01:32
25,DE BRUYCKERE Kay,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW CYCLING TEAM,BEL,2004,1:01:37
26,MEIN Thomas,HOPE FACTORY RACING,GBR,1999,1:01:41
27,LELANDAIS Rémi,ARKEA-B&B HOTELS CONTINENTALE,FRA,2002,1:01:44
28,MENUT David,AS BIKE RACING/FRANCE LITERIE,FRA,1992,1:01:49
29,AGOSTINACCHIO Filippo,EF EDUCATION - EASYPOST - OATLY,ITA,2003,1:01:56
30,BOROŠ Michael,ELKOVKASPER,CZE,1992,1:02:24
31,VIEZZI Stefano,ALPECIN-DECEUNINCK DEVELOPMENT TEAM,ITA,2006,1:02:33
32,JAMIN Antoine,BH-WALLONIE MTB TEAM,BEL,2005,1:02:40
33,JUNQUERA SAN MILLAN Mario,UNICAJA-GIJON,ESP,1997,1:02:46
34,GROENENDAAL Bailey,,DEN,2003,1:02:52
35,KAMP Ryan,,NED,2000,1:03:05
36,SOLEN Keije,CHARLES LIÉGEOIS ROASTERY CX,NED,2006,1:03:28
37,BARD Nicolas,,SUI,2000,1:04:17
38,OERTZEN Max Heiner,RADSPORT NAGEL CX TEAM,GER,2006,1:04:44
39,STROHMEYER Andrew,CXD TREK BIKES,USA,2002,1:04:54
40,SOMMER Lars,,SUI,2002,1:05:05
41,REMIJN Senna,ALPECIN-DECEUNINCK DEVELOPMENT TEAM,NED,2006,-2 LAP
42,KING Carden,,USA,2005,-2 LAP
43,RISBERG David,,SWE,1999,-3 LAP
44,PAPI Lennox,,LUX,2007,-3 LAP
45,KUSCHLA Silas,,GER,2004,-3 LAP
46,HARTER Luca,,GER,2002,-3 LAP
47,TURNER Jacob,,NZL,2003,-4 LAP
48,SARGENT Liam,,CAN,2004,-4 LAP
49,WESTOVER Finn,,USA,2006,-4 LAP
50,BATES Rhett,,CAN,2006,-4 LAP
51,JUNGE Frederick,,USA,1996,-5 LAP
52,HERRMANN Lukas,,GER,2001,-5 LAP
53,NICHVOLODOV Artur,UKRAINE CYCLING TEAM,UKR,2006,-6 LAP
DNF,MASON Cameron,SEVEN RACING,GBR,2000,DNF
DNF,MILANOVIC Nikolas,,USA,2007,DNF
DNF,AASTRUP Vilmar,,SWE,2007,DNF
DNF,ROUILLER Loris,AS BIKE RACING/FRANCE LITERIE,SUI,2000,DNF
DNF,HAVERDINGS David,BALOISE GLOWI LIONS,NED,2004,DNF
