Position,Name,Team,Nationality,YOB,Time
1,BRAND Lucinda,BALOISE GLOWI LIONS,NED,1989,52:23
2,VAN ALPHEN Aniek,SEVEN RACING,NED,1999,53:06
3,FOUQUENET Amandine,ARKEA-B&B HOTELS WOMAN,FRA,2001,53:23
4,PIETERSE Puck,FENIX-DECEUNINCK,NED,2002,53:44
5,NEFF Jolanda,CANNONDALE FACTORY RACING,SUI,1993,54:05
6,VAN DER HEIJDEN Inge,CRELAN-CORENDON,NED,1999,54:30
7,ZEMANOVÁ Kristýna,,CZE,2003,54:39
8,BENTVELD Leonie,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW CYCLING TEAM,NED,2004,54:46
9,MULLER Amandine,AS BIKE RACING/FRANCE LITERIE,FRA,2006,54:57
10,GERY Célia,AS BIKE RACING/FRANCE LITERIE,FRA,2006,55:06
11,CLAUZEL Hélène,,FRA,1998,55:24
12,ALVARADO Ceylin,FENIX-DECEUNINCK,NED,1998,55:34
13,NORBERT RIBEROLLE Marion,CRELAN-CORENDON,BEL,1999,55:46
14,BETSEMA Denise,DE CEUSTER - BOUWPUNT,NED,1993,56:00
15,GALLEZOT Electa,SEBMOTOBIKES CX TEAM,FRA,2004,56:20
16,BAKKER Manon,CRELAN-CORENDON,NED,1999,56:24
17,ESTERMANN Rebekka,,SUI,1999,56:29
18,CLAUZEL Perrine,SEBMOTOBIKES CX TEAM,FRA,1994,56:53
19,HARTOG Larissa,,NED,2001,57:11
20,BROUWERS Julie,CHARLES LIÉGEOIS ROASTERY CX,BEL,2002,57:29
21,MCGILL Sidney,,CAN,1999,57:48
22,KAY Anna,VELOPRO-ALPHAMOTORHOMES,GBR,1999,58:11
23,ROCHETTE Maghalie,,CAN,1993,58:31
24,MOS Anniek,,NED,2001,58:44
25,CUSACK Lidia,CXD TREK BIKES,USA,2007,58:49
26,CREES Xan,,GBR,2000,59:01
27,BRAMATI Lucia,FAS AIRPORT SERVICES - GUERCIOTTI,ITA,2003,59:13
28,MOLENGRAAF Lauren,CHARLES LIÉGEOIS ROASTERY CX,NED,2005,59:30
29,WENZEL Liv,SEBMOTOBIKES CX TEAM,LUX,2004,59:43
30,DETILLEUX Emeline,SCOTT CREUSE OXYGENE GUERET,BEL,1999,59:52
31,VAN DE STEENE Kim,,BEL,1986,1:00:12
32,DAY Elena,,GBR,2004,1:00:20
33,LOPEZ BURGOS Ana,,ESP,2007,1:00:36
34,DE SCHOESITTER Shanyl,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW CYCLING TEAM,BEL,2006,1:01:16
35,DE BRUYCKERE Xenna,,BEL,2005,-2 LAP
36,LISBYGD Ann-Dorthe,,DEN,1984,-2 LAP
37,BARTHELS Maïté,,LUX,2001,-2 LAP
38,CUETO VEGA Sara,UNICAJA GIJON,ESP,1994,-2 LAP
39,SEYNAVE Ilken,DESCHACHT-HENS CX TEAM,BEL,2006,-2 LAP
40,BERTON Nina,EF EDUCATION-EASYPOST-OATLY,LUX,2001,-2 LAP
41,STERN Léa,,SUI,2001,-2 LAP
42,BARTHELS Layla,,LUX,2004,-2 LAP
43,BUDDE Kaija,PURE ENERGY DRINK/HARO BIKES BY COREGO,GER,2006,-3 LAP
44,DELCOMMUNE Juline,,BEL,2004,-3 LAP
45,HOEFMANS Pem,,NED,2004,-3 LAP
46,PERRON Dorothee,,CAN,2006,-3 LAP
47,CARRIO HERNANDEZ Luna,UNICAJA-GIJON,ESP,2007,-4 LAP
48,SECCHI Giorgia,,ITA,2004,-4 LAP
DNF,VERVLOET Sterre,DESCHACHT-HENS CX TEAM,BEL,2003,DNF
DNS,DEHLER Viktoria,,GER,2002,DNS
