Position,Name,Team,Time,,
1,VAN DER POEL Mathieu,ALPECIN - DECEUNINCK,57:48,,
2,VANDEPUTTE Niels,ALPECIN - DECEUNINCK,+0:46,,
3,NIEUWENHUIS Joris,RIDLEY RACING TEAM,+0:57,,
4,KAMP Ryan,-,+0:57,,
5,AERTS Toon,DESCHACHT - HENS CX TEAM,+0:57,,
6,BERTOLINI Gioele,ALE COLNAGO TEAM,+0:59,,
7,FERDINANDE Anton,-,+1:00,,
8,MASON Cameron,SEVEN RACING,+1:03,,
9,LAURYSSEN Yorben,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW,+1:15,,
10,VAN AERT Wout,VISMA - LEASE A BIKE,+1:26,,
11,JANSSEN Wout,-,+1:26,,
12,SOETE Daan,RIDLEY RACING TEAM,+1:28,,
13,VANDEBOSCH Toon,CRELAN - CORENDON,+1:30,,
14,MEIN Thomas,HOPE FACTORY RACING,+1:48,,
15,MEEUSEN Tom,-,+1:58,,
16,BETON Damien,-,+2:24,,
17,FERRI Tommaso,FAS AIRPORT SERVICES - GUERCIOTTI,+2:53,,
18,AGOSTINACCHIO Filippo,EF EDUCATION - EASYPOST - OATLY,+3:06,,
19,DE VET Sander,-,+3:07,,
20,ODA Hijiri,-,+3:15,,
21,BERCKMOES Jenno,-,+3:15,,
22,BARNES Daniel,-,+3:37,,
23,JUTEL Paul François,-,+3:43,,
24,LEMARDELE Maxence,-,+3:45,,
25,SMITS Rune,-,+3:53,,
26,STORMS Miel,-,+3:56,,
27,HORNY Clément,-,+4:04,,
28,ALVARADO Salvador,-,+4:45,,
29,DELNOIJE Rémon,-,+4:45,,
30,ROSENDAHL Karl-Erik,-,+4:54,,
31,GAILLARD Florian,-,+4:56,,
32,BRONSWIJK Mike,-,+5:26,,
33,LEMBRECHTS Ruben,-,+6:38,,
34,VAN DE MORTEL Sjoerd,-,+6:38,,
35,REMONDET Valentin,-,+7:33,,
36,CARDIJN Jorre,-,-,,
37,MAILLEFER Simon,-,-,,
38,CRISPIN Mickaël,BRUVO DUKLA BRATISLAVA,-,,
39,OKAYAMA Yuta,OLANDA BASE/WATERSLEY,-,,
40,GOMEZ VEGA Marcos,-,-,,
41,GARGANTINI Dario,-,-,,
42,VICINI Tito,-,-,,
43,KAJI Tetsuki,OLANDA BASE/WATERSLEY,-,,
44,GARNIER Léo,-,-,,
45,VASNIER Dylan,-,-,,
46,BRUYNSEELS Dries,BRUVO DUKLA BRATISLAVA,-,,
47,OSKAM Maurits,-,-,,
48,LEZARD William,-,-,,
DNF,INGUANZO MACHO Gonzalo,-,DNF,,
DNF,SWEECK Laurens,CRELAN - CORENDON,DNF,,
DNF,VAN DER VEEN Steyn,-,DNF,,
