Position,Name,Team,Time,,
1,BRAND Lucinda,BALOISE GLOWI LIONS,48:34,,
2,ZEMANOVÁ Kristyna,-,+0:05,,
3,BAKKER Manon,CRELAN - CORENDON,+0:12,,
4,BACKSTEDT Zoe,-,+0:22,,
5,NORBERT RIBEROLLE Marion,CRELAN - CORENDON,+0:35,,
6,WORST Annemarie,SEVEN RACING,+0:36,,
7,HARTOG Larissa,-,+0:37,,
8,BROUWERS Julie,CHARLES LIÉGEOIS ROASTERY CX,+0:37,,
9,SCHREIBER Marie,-,+1:20,,
10,GARIBOLDI Rebecca,ALE COLNAGO TEAM,+1:21,,
11,KASTELIJN Yara,FENIX - DECEUNINCK,+1:22,,
12,MOLENGRAAF Lauren,CHARLES LIÉGEOIS ROASTERY CX,+1:26,,
13,VERDONSCHOT Laura,DE CEUSTER - BOUWPUNT,+1:31,,
14,BRAMATI Lucia,FAS AIRPORT SERVICES - GUERCIOTTI,+1:33,,
15,SONNEMANS Sara,-,+1:36,,
16,KALIS Bloeme,VELOPRO - EGS GROUP - ALPHAMOTORHOMES,+1:39,,
17,MOS Anniek,-,+1:40,,
18,MOES Noï,-,+1:50,,
19,CHLADONOVÁ Viktória,-,+2:00,,
20,LAURIJSSEN Sanne,CRELAN - CORENDON,+2:10,,
21,PETITGIRARD Marlene,-,+2:11,,
22,TRUYEN Marthe,FENIX - DECEUNINCK,+2:11,,
23,VAN SINAEY Xaydee,CRELAN - CORENDON,+2:33,,
24,VON BERSWORDT Sophie,-,+2:37,,
25,COLLING Alice,-,+2:41,,
26,CREES Xan,-,+2:52,,
27,INGLIS Grace,-,+2:54,,
28,BAELE Lotte,DE CEUSTER - BOUWPUNT,+2:56,,
29,WHITESIDE Freya,-,+3:12,,
30,BRUCHNER Regina,-,+3:18,,
31,HOEFMANS Pem,-,+3:26,,
32,DEVIGNE Camille,-,+3:33,,
33,HURTELOUP Adèle,VELOPRO - EGS GROUP - ALPHAMOTORHOMES,+3:38,,
34,LENFERINK Femke,-,+3:48,,
35,GADEMAN Sera,-,+3:48,,
36,COPPENS Nette,-,+3:51,,
37,VAN ELSACKER Floor,-,+3:54,,
38,FOLDAGER NIELSEN Mille,-,+3:55,,
39,LISBYGD Ann-Dorthe,-,+4:08,,
40,VAN DER MEULEN Julia,-,+4:09,,
41,INGLIS Hope,-,+4:09,,
42,WILLEMS Meadow,OLANDA BASE/WATERSLEY,+4:34,,
43,DEFOUR Lara,-,+4:38,,
44,EYEINGTON Kacey,-,+4:41,,
45,BOND Jorja,CXD TREK BIKES,+4:47,,
46,BAS Selena,-,+4:48,,
47,VIKOVÁ Hanka,-,+4:52,,
48,TRITZ Mathilde,-,+4:52,,
49,PERSSON Thea,-,+5:00,,
50,CORABOEUF Lea,-,+5:06,,
51,DE RAEDEMAEKER Alexe,-,+5:09,,
52,KELLY Siobhan,-,+5:09,,
53,LAVENS Johanna,-,+5:26,,
54,DE BRUYNE Meg,-,+5:28,,
55,COOPER Madeline,-,+5:31,,
56,SHIELDS Emily,-,+5:32,,
57,LOPEZ BURGOS Ana,-,+5:56,,
58,WINDELBAND Tomke,-,+6:06,,
59,DENK Rosalie,-,+6:14,,
60,ZWAENEPOEL Tessa,-,+6:23,,
61,STEFFENHAGEN Diana,-,+6:55,,
62,KOOREMANS Britt,-,+7:02,,
63,YANNIC Tifenn,-,+7:29,,
64,PATTERSON Anna,-,+7:34,,
65,POLFLIET Alana,-,+7:34,,
66,HUIJBREGTS Hilde,-,+7:36,,
67,PFEIL Julia-Katharina,-,+7:36,,
68,ADAM Lucie,-,+7:38,,
69,WILEY Esme,-,+8:17,,
70,LISSAMAN Florence,-,+8:28,,
71,JIMENEZ VERA Y FRIAS Carla,-,+8:47,,
DNF,MENANT Yulizh,-,DNF,,
DNF,SELS Loes,VELOPRO - EGS GROUP - ALPHAMOTORHOMES,DNF,,
DNF,FERRI Elisa,FAS AIRPORT SERVICES - GUERCIOTTI,DNF,,
DNF,KNIJNENBURG Anne,-,DNF,,
