Position,Name,Team,Age,Nat,Time
1,BRAND Lucinda,BALOISE GLOWI LIONS,36,NED,0:45:47
2,VAN ANROOIJ Shirin,BALOISE GLOWI LIONS,23,NED,0:46:09
3,BAKKER Manon,CRELAN-CORENDON,26,NED,0:46:12
4,VERDONSCHOT Laura,DE CEUSTER - BOUWPUNT,29,BEL,0:47:29
5,BROUWERS Julie,CHARLES LIÉGEOIS ROASTERY CX,23,BEL,0:47:46
6,GARIBOLDI Rebecca,ALE COLNAGO TEAM,29,ITA,0:48:11
7,BURQUIER Line,—,22,FRA,0:48:39
8,HLADÍKOVÁ Kateřina,BRILON RACING TEAM MB,21,CZE,0:48:39
9,DURAFFOURG Lauriane,—,23,FRA,0:48:40
10,LANGENBARG Puck,—,19,NED,0:49:08
11,DESPREZ Lison,ACT CYCLING,18,FRA,0:49:28
12,SELS Loes,VELOPRO-EGS GROUP-ALPHAMOTORHOMES,40,BEL,0:49:36
13,CLAUZEL Perrine,SEBMOTOBIKES CX TEAM,31,FRA,0:49:58
14,KRAHL Judith,—,24,GER,0:50:05
15,VERVLOET Sterre,DESCHACHT-HENS CX TEAM,22,BEL,0:50:23
16,LAURIJSSEN Sanne,CRELAN-CORENDON,18,BEL,0:50:35
17,MOES Noï,—,18,NED,0:50:41
18,SONNEMANS Sara,—,19,NED,0:50:45
19,LENFERINK Femke,—,19,NED,0:51:14
20,DE RAEDEMAEKER Alexe,—,19,BEL,0:51:29
21,HURTELOUP Adèle,VELOPRO-EGS GROUP-ALPHAMOTORHOMES,21,FRA,0:51:35
22,INGLIS Grace,—,29,GBR,0:51:39
23,BRUCHNER Regina,—,19,HUN,0:51:39
24,GADEMAN Sera,—,27,NED,0:52:08
25,DETILLEUX Emeline,—,26,BEL,0:52:10
26,DE BRUYNE Meg,—,29,BEL,0:52:50
27,SANTIN Gaia,—,20,ITA,-1 LAP
28,DELCOMMUNE Juline,—,21,BEL,-1 LAP
29,PAUL Stefanie,—,39,GER,-1 LAP
30,CERMANOVÁ Antonie,—,17,CZE,-1 LAP
31,ROMBOUTS Tine,—,25,BEL,-1 LAP
32,VAN ELSACKER Floor,—,22,BEL,-1 LAP
33,VIKOVÁ Hanka,—,18,CZE,-1 LAP
34,VILLAR THIERY Faustine,—,17,FRA,-1 LAP
35,SCHAMPAERT Lien,—,18,BEL,-2 LAPS
36,SEDLÁČKOVÁ Veronika,BRILON RACING TEAM MB,18,CZE,-2 LAPS
37,SHIELDS Emily,—,32,USA,-2 LAPS
38,BAS Selena,—,18,NED,-2 LAPS
39,TAMBOSCO Ilaria,—,18,ITA,-2 LAPS
40,ZWAENEPOEL Tessa,—,24,BEL,-2 LAPS
41,DEFOUR Lara,—,28,BEL,-2 LAPS
42,POLFLIET Alana,—,21,BEL,-2 LAPS
43,WILLEMS Meadow,OLANDA BASE/WATERSLEY,19,NED,-2 LAPS
44,DEWAELE Yelena,—,16,BEL,-2 LAPS
45,SCHEVENELS Lies'L,—,22,BEL,-2 LAPS
46,HUYBRECHTS Laure,—,18,BEL,-2 LAPS
47,CROUX Bieke,—,16,BEL,-2 LAPS
48,STEFFENHAGEN Diana,—,40,GER,-2 LAPS
49,CASASOLA Nadia,—,18,ITA,-2 LAPS
50,SCHOLLAERT Shanaya Esther,—,18,BEL,-2 LAPS
51,SECCHI Giorgia,—,21,ITA,-2 LAPS
52,JIMENEZ VERA Y FRIAS Carla,—,18,ESP,-2 LAPS
53,PFEIL Julia-Katharina,—,37,GER,-2 LAPS
54,MICHELS Friederike,RADSPORT NAGEL CX TEAM,19,GER,-2 LAPS
55,JOZKOWICZ Maja,—,19,POL,-2 LAPS
56,ROSSNER Larissa,—,29,SUI,-2 LAPS
57,SCHÄTTI Michelle,—,26,SUI,-3 LAPS
58,DALL' ANTONIA Emma,—,16,ITA,-3 LAPS
59,DEBAELE Elena,—,19,BEL,-3 LAPS
—,CRABBÉ Kiona,—,24,BEL,DNF
—,NIEUWENHUIS Rianne,—,17,NED,DNS
—,VAXILLAIRE Nolwenn,—,17,FRA,DNS
