Category Name,Place,RacerID,First Name,Last Name,Team Name,Time,License,Carried Points,Scored Points,
Men Junior,1,227529,Giel,Lejeune,,0:42:50,,271.99402520547,231.51586847445,
Men Junior,2,222123,Lars,Daelmans,,0:42:55,,273.74489240086,237.203859795,
Men Junior,3,218295,Mats,Vanden eynde,,0:42:57,,242.20687136679,242.89185111554,
Men Junior,4,226833,Cas,Timmermans,,0:43:06,,272.09959577485,248.57984243609,
Men Junior,5,218910,Keano,Geens,,0:43:11,,273.02120892951,254.26783375664,
Men Junior,6,219171,Fausto,DELMÉ,,0:43:29,,301.75475873213,259.95582507718,
Men Junior,7,218290,Gust,Depraetere,,0:43:29,,296.28722613388,265.64381639773,
Men Junior,8,227533,Finn,Bastiaanssen,,0:43:36,,298.24864834714,271.33180771828,
Men Junior,9,226835,Thomas,Verdonck,,0:43:46,,280.68844594749,277.01979903882,
Men Junior,10,230089,Noël,Goijert,,0:43:53,,288.36790041639,282.70779035937,
Men Junior,11,218916,Stan,Van looy,,0:44:12,,333.88596460046,288.39578167992,
Men Junior,12,220657,Thomas,Huitema,,0:44:13,,316.81577078203,294.08377300047,
Men Junior,13,218287,Xander,Danckaarts,,0:44:42,,308.00620246397,299.77176432101,
Men Junior,14,225591,Matteo,Vanden wijngaert,,0:44:58,,330.70379199401,305.45975564156,
Men Junior,15,218920,Bas,Van heeswijk,,0:45:06,,317.34074952528,311.14774696211,
Men Junior,16,227556,Luca,Renders,,0:45:09,,371.9661524612,316.83573828265,
Men Junior,17,226858,Daan,Wilmsen,,0:45:13,,423.14779085776,322.5237296032,
Men Junior,18,230020,Matse,Leys,,0:45:33,,342.78646795857,328.21172092375,
Men Junior,19,227536,Len,Geerts,,0:45:41,,351.70511279769,333.89971224429,
Men Junior,20,89618,Finn,Smith,,0:45:43,,387.99513390264,339.58770356484,
Men Junior,21,227541,Gijs,Winters,,0:45:52,,321.20353158472,345.27569488539,
Men Junior,22,227535,Dima,Roels,,0:46:04,,344.57757199425,350.96368620593,
Men Junior,23,218927,Jip,Schouren,,0:46:06,,381.26923915229,356.65167752648,
Men Junior,24,225563,Yoram,Knaepen,,0:46:12,,380.85451797223,362.33966884703,
Men Junior,25,222176,Josse,Jacobs,,0:46:13,,378.58004308026,368.02766016757,
Men Junior,26,227534,Joachim,Luijendijk,,0:46:16,,393.27758580386,373.71565148812,
Men Junior,27,227544,Maike,Tazelaar,,0:46:27,,360.8399826447,379.40364280867,
