Category Name,Place,RacerID,First Name,Last Name,Team Name,Time,License,Carried Points,Scored Points,
Men Elite,1,174015,Thibau,Nys,BALOISE TREK LIONS,0:57:29,,149.261589952,116.66117203344,
Men Elite,2,100271,Eli,Iserbyt,PAUWELS SAUZEN - BINGOAL,0:57:31,,132.07971523413,119.39662119718,
Men Elite,3,22180,Lars,Van der haar,BALOISE TREK LIONS,0:57:34,,125.09424508958,122.13207036092,
Men Elite,4,144667,Niels,Vandeputte,,0:57:47,,130.40400787308,124.86751952465,
Men Elite,5,161704,Joran,Wyseure,CRELAN-CORENDON,0:57:59,,149.29945876007,127.60296868839,
Men Elite,6,36284,Michael,Vanthourenhout,PAUWELS SAUZEN - BINGOAL,0:58:01,,151.90162038524,130.33841785213,
Men Elite,7,184957,Jente,Michels,,0:58:03,,156.42530769258,133.07386701587,
Men Elite,8,108208,Lander,Loockx,,0:58:09,,155.05265839847,135.8093161796,
Men Elite,9,202059,David,Haverdings,BALOISE TREK LIONS,0:58:10,,181.30842539906,138.54476534334,
Men Elite,10,155096,Felipe,Orts lloret,RIDLEY  RACING  TEAM,0:58:21,,149.11552749977,141.28021450708,
Men Elite,11,116009,Kevin,Kuhn,CHARLES LIÉGEOIS ROASTERY CX,0:58:28,,144.77783219714,144.01566367082,
Men Elite,12,196596,Aaron,Dockx,CRELAN-CORENDON,0:58:29,,175.29293719795,146.75111283455,
Men Elite,13,76111,Toon,Aerts,DESCHACHT- HENS-FSP,0:58:48,,202.49656395866,149.48656199829,
Men Elite,14,196597,Kay,De bruyckere,PAUWELS SAUZEN - BINGOAL,0:58:53,,196.37041888834,152.22201116203,
Men Elite,15,36277,Laurens,Sweeck,CRELAN-CORENDON,0:59:09,,143.20449414004,154.95746032577,
Men Elite,16,159497,Witse,Meeussen,CRELAN-CORENDON,0:59:12,,162.01187913693,157.6929094895,
Men Elite,17,174023,Emiel,Verstrynge,CRELAN-CORENDON,0:59:24,,154.56927062941,160.42835865324,
Men Elite,18,129684,Toon,Vandebosch,CRELAN-CORENDON,0:59:27,,142.34938819241,163.16380781698,
Men Elite,19,21155,Jens,Adams,,0:59:46,,153.23253595805,165.89925698072,
Men Elite,20,174032,Victor,Van de putte,DESCHACHT- HENS-FSP,1:00:01,,177.62915218549,168.63470614445,
Men Elite,21,174014,Ward,Huybs,BALOISE TREK LIONS,1:00:04,,156.30183968765,171.37015530819,
Men Elite,22,202402,Sil,De brauwere,,1:00:10,,216.057030771,174.10560447193,
Men Elite,23,76074,Daan,Soete,RIDLEY  RACING  TEAM,1:00:23,,188.62928556565,176.84105363567,
Men Elite,24,202062,Yordi,Corsus,PAUWELS SAUZEN - BINGOAL,1:00:42,,182.91107896383,179.5765027994,
Men Elite,25,194005,Clement,Horny,,1:00:53,,177.3605532417,182.31195196314,
Men Elite,26,147010,Sander,De vet,,1:00:57,,177.38733953242,185.04740112688,
Men Elite,27,178677,Rémi,Lelandais,,1:01:11,,161.47638720857,187.78285029062,
Men Elite,28,174020,Ugo,Ananie,,1:01:17,,205.13757655228,190.51829945435,
Men Elite,29,22212,Tom,Meeusen,,1:01:35,,178.84138200136,193.25374861809,
Men Elite,30,153653,Cameron,Mason,CYCLOCROSS REDS,1:02:00,,152.98835244898,195.98919778183,
Men Elite,31,202513,Seppe,Van den boer,BALOISE TREK LIONS,1:02:31,,187.88421347987,198.72464694557,
Men Elite,32,202528,Bram,Sprangers,,1:02:38,,221.72707494674,201.4600961093,
Men Elite,33,212183,Barnabás,Vas,,1:03:43,,245.3946207157,204.19554527304,
Men Elite,34,184976,Lukas,Vanderlinden,,1:03:59,,200.69308221874,206.93099443678,
Men Elite,35,202439,Antoine,Jamin,,1:04:38,,243.41243168302,209.66644360052,
