Category Name,Place,RacerID,First Name,Last Name,Team Name,Time,License,Carried Points,Scored Points,
Men Elite,1,76073,Wout,Van aert,,1:01:25,,107.17283739349,107.17283739349,
Men Elite,2,100271,Eli,Iserbyt,PAUWELS SAUZEN - CIBEL CLEMENTINES,1:01:35,,151.97352792351,116.75437040159,
Men Elite,3,36284,Michael,Vanthourenhout,PAUWELS SAUZEN - CIBEL CLEMENTINES,1:01:56,,134.19990890431,119.86516971358,
Men Elite,4,161704,Joran,Wyseure,CRELAN-CORENDON,1:02:05,,139.11611113407,122.97596902558,
Men Elite,5,144667,Niels,Vandeputte,,1:02:28,,127.77893674842,126.08676833757,
Men Elite,6,146962,Ryan,Kamp,,1:02:32,,169.38785532329,129.19756764956,
Men Elite,7,155096,Felipe,Orts lloret,RIDLEY  RACING  TEAM,1:02:32,,158.39540155986,132.30836696156,
Men Elite,8,174023,Emiel,Verstrynge,CRELAN-CORENDON,1:02:33,,151.72736821083,135.41916627355,
Men Elite,9,153653,Cameron,Mason,SEVEN RACING,1:02:39,,164.0582878264,138.52996558555,
Men Elite,10,22180,Lars,Van der haar,BALOISE GLOWI LIONS,1:02:59,,124.38439927833,141.64076489754,
Men Elite,11,196597,Kay,De bruyckere,PAUWELS SAUZEN - CIBEL CLEMENTINES,1:03:14,,182.16103936851,144.75156420954,
Men Elite,12,116009,Kevin,Kuhn,CHARLES LIÉGEOIS ROASTERY CX,1:03:28,,151.91166135139,147.86236352153,
Men Elite,13,108208,Lander,Loockx,,1:03:36,,151.64572299684,150.97316283353,
Men Elite,14,36277,Laurens,Sweeck,CRELAN-CORENDON,1:03:57,,138.00506342767,154.08396214552,
Men Elite,15,129684,Toon,Vandebosch,CRELAN-CORENDON,1:04:04,,145.98815353769,157.19476145752,
Men Elite,16,22212,Tom,Meeusen,,1:04:06,,185.14823324374,160.30556076951,
Men Elite,17,81236,Thijs,Aerts,CHARLES LIÉGEOIS ROASTERY CX,1:04:16,,165.61226447373,163.41636008151,
Men Elite,18,42395,Clement,Venturini,,1:04:28,,158.57755046908,166.5271593935,
Men Elite,19,25615,Gianni,Vermeersch,,1:05:04,,152.76034961572,169.63795870549,
Men Elite,20,178679,Martin,Groslambert,,1:05:13,,167.03017205213,172.74875801749,
Men Elite,21,21164,Tim,Merlier,,1:05:23,,138.06472228742,175.85955732948,
Men Elite,22,174032,Victor,Van de putte,DESCHACHT- HENS-FSP,1:05:28,,168.6836908158,178.97035664148,
Men Elite,23,181210,Wout,Janssen,,1:05:32,,183.5230355594,182.08115595347,
Men Elite,24,174014,Ward,Huybs,BALOISE GLOWI LIONS,1:05:51,,156.63353467191,185.19195526547,
Men Elite,25,216121,Eike,Behrens,,1:06:36,,215.4065140512,188.30275457746,
Men Elite,26,196599,Kenay,De moyer,PAUWELS SAUZEN - CIBEL CLEMENTINES,1:06:50,,197.0640765708,191.41355388946,
Men Elite,27,147010,Sander,De vet,,1:07:08,,183.37280643021,194.52435320145,
Men Elite,28,174019,Yorben,Lauryssen,PAUWELS SAUZEN - CIBEL CLEMENTINES,1:07:28,,174.51531209644,197.63515251345,
Men Elite,29,108478,Robin,Alderweireld,,1:07:49,,203.85675113743,200.74595182544,
Men Elite,30,160632,Remon,Delnoije,,1:07:58,,207.11618577949,203.85675113743,
Men Elite,31,148352,Maxime,St-onge,,1:08:00,,241.35773699614,206.96755044943,
Men Elite,32,217651,Tom,Scott,,1:08:03,,241.46083544148,210.07834976142,
Men Elite,33,212195,Jan,Janout,,1:08:13,,248.40858131241,213.18914907342,
Men Elite,34,202395,Wies,Nuyens,PAUWELS SAUZEN - CIBEL CLEMENTINES,1:08:27,,216.95576386294,216.29994838541,
Men Elite,35,76084,Mathieu,Morichon,,1:08:53,,220,219.41074769741,
Men Elite,36,202403,Lars,Van loocke,,1:08:53,,271.63560846666,222.5215470094,
Men Elite,37,196750,Yenthe,Vanhoudt,,1:09:14,,241.38432524759,225.6323463214,
Men Elite,38,128339,Calvin,Conaway,,1:09:18,,252.36399015388,228.74314563339,
Men Elite,39,129539,Mickaël,Crispin,,1:09:20,,185.06909005932,231.85394494539,
Men Elite,40,212138,Axel,Van den broek,CHARLES LIÉGEOIS ROASTERY CX,1:09:32,,223.91505119302,234.96474425738,
Men Elite,41,202161,Quentin,Du mouza,,1:09:43,,275.29221786551,238.07554356937,
Men Elite,42,82906,Alexander,Woodford,,-2 LAPS,,219.65814723336,241.18634288137,
Men Elite,43,212145,Thorben,Allaer,,-3 LAPS,,262.56777999139,244.29714219336,
Men Elite,44,215722,Fabian,Merino,,-3 LAPS,,280.16638748111,247.40794150536,
Men Elite,45,120964,Cai,Davies,,-3 LAPS,,220,250.51874081735,
Men Elite,46,225810,Alex,Bregenzer,,-3 LAPS,,219.28093594487,253.62954012935,
Men Elite,47,215489,Kosuke,Endo,OLANDA BASE/WATERSLEY,-3 LAPS,,262.51976430131,256.74033944134,
Men Elite,48,212621,Marco,Bramati,,-3 LAPS,,305.20918139747,259.85113875334,
Men Elite,49,234856,Matteo,Valentini,,-3 LAPS,,220,262.96193806533,
Men Elite,50,197068,Tommaso,Ferri,FAS AIRPORT SERVICES - GUERCIOTTI ,-4 LAPS,,228.29603629564,266.07273737733,
Men Elite,51,182060,Raito,Suzuki,,-4 LAPS,,196.6265907489,269.18353668932,
Men Elite,52,212327,Tom,Ferreira,,-4 LAPS,,279.02017395949,272.29433600131,
Men Elite,53,195041,Simone,Zecchini,,-4 LAPS,,216.75285708793,275.40513531331,
Men Elite,54,225734,Martin,Heliot,,-5 LAPS,,308.10269669886,278.5159346253,
Men Elite,55,182063,Yuta,Okayama,OLANDA BASE/WATERSLEY,-5 LAPS,,241.24393589055,281.6267339373,
Men Elite,55,163571,Tetsuki,Kaji,OLANDA BASE/WATERSLEY,DNF,,268.24480231367,284.73753324929,
Men Elite,56,184947,Jacob,Turner,,DNF,,264.32642068793,287.84833256129,
Men Elite,57,224901,François,Lemonnier,,DNF,,300.43105042186,290.95913187328,
Men Elite,58,159519,Ydris,Salomez,,DNF,,238.17198226071,294.06993118528,
Men Junior,1,218314,Michiel,Mouris,,0:39:44,,243.64700542709,215.13650030915,
Men Junior,2,219925,Mattia,Agostinacchio,,0:39:54,,240.09397585248,219.23535713962,
Men Junior,3,227375,Milo,Wills,,0:39:57,,264.23038785885,223.3342139701,
Men Junior,4,218319,Florian,Fery,,0:40:10,,251.42790192282,227.43307080057,
Men Junior,5,159089,Garrett,Beshore,,0:40:16,,265.0135943649,231.53192763104,
Men Junior,6,218290,Gust,Depraetere,,0:40:23,,278.13519516597,235.63078446152,
Men Junior,7,225680,Benedikt,Benz,,0:40:40,,267.84005110248,239.72964129199,
Men Junior,8,220657,Thomas,Huitema,,0:40:43,,290.67516181783,243.82849812246,
Men Junior,9,219170,Mattia,Gagliardoni,,0:40:46,,244.3646336058,247.92735495294,
Men Junior,10,175722,Vilmer,Ekman,,0:40:49,,300.22455593315,252.02621178341,
Men Junior,11,202708,Emilien,Belzile,,0:41:03,,268.35591665457,256.12506861388,
Men Junior,12,227535,Dima,Roels,,0:41:25,,327.48519361205,260.22392544436,
Men Junior,13,229592,Benedek,Berencsi,,0:41:43,,359.58036134509,264.32278227483,
Men Junior,14,157195,Porter,Melvin,,0:41:46,,289.33721390905,268.4216391053,
Men Junior,15,226835,Thomas,Verdonck,,0:41:47,,276.43358247962,272.52049593578,
Men Junior,16,233260,Gabriel,Genter,,0:41:49,,292.67148706777,276.61935276625,
Men Junior,17,226856,Brent,Lippens,,0:42:02,,352.56090827782,280.71820959673,
Men Junior,18,171334,Ethan,Brown,,0:42:11,,286.91399637486,284.8170664272,
Men Junior,19,231666,Leon,Atkins,,0:42:15,,291.74988192305,288.91592325767,
Men Junior,20,226841,Seppe,Sprangers,,0:42:21,,396.08881095759,293.01478008815,
Men Junior,21,189701,Evan,Moore,,0:42:24,,278.26574208539,297.11363691862,
Men Junior,22,230092,Emilien,Verheughe,,0:42:31,,403.06792606092,301.21249374909,
Men Junior,23,126347,Kian,Reid,,0:42:52,,313.05558030926,305.31135057957,
Men Junior,24,89618,Finn,Smith,,0:43:02,,368.21647887658,309.41020741004,
Men Junior,25,226847,Jules,Delcommune,,0:43:13,,397.84716552624,313.50906424051,
Men Junior,26,220845,Esteban,Gourgin,,0:43:19,,324.87181922476,317.60792107099,
Men Junior,27,226838,Koen,Sonnemans,,0:43:24,,326.37081851538,321.70677790146,
Men Junior,28,230494,Tom,Destouches,,0:43:26,,365.13931085276,325.80563473193,
Men Junior,29,187694,Sagan,Goertz,,0:43:28,,309.70376264883,329.90449156241,
Men Junior,30,186819,Desmond,Mohr,,0:43:37,,289.35973441201,334.00334839288,
Men Junior,31,170569,Campbell,Mcconnell,,0:43:52,,299.16252035526,338.10220522335,
Men Junior,32,220819,Ferre,Erpels,,0:43:59,,349.73736451451,342.20106205383,
Men Junior,33,200902,Grayson,Franks,,0:44:05,,328.74790523052,346.2999188843,
Men Junior,34,202709,Fabrice,Dufresne,,0:44:08,,332.422722221,350.39877571477,
Men Junior,35,218948,Miel,Oreel,,0:44:14,,362.00507231341,354.49763254525,
Men Junior,36,209489,Antoine,Massicotte,,0:44:15,,368.48786650591,358.59648937572,
Men Junior,37,226843,Levi,Van dijk,,0:44:25,,376.11067250251,362.6953462062,
Men Junior,38,227556,Luca,Renders,,0:44:40,,360.60263373468,366.79420303667,
Men Junior,39,233648,Shuntaro,Yamada,,0:44:50,,359.30128347211,370.89305986714,
Men Junior,40,227381,Theo,Sandell,,0:45:00,,419.93740218205,374.99191669762,
Men Junior,41,148524,Alec,Clements,,0:45:09,,323.46094002591,379.09077352809,
Men Junior,42,223892,Timo,De baets,,0:45:29,,417.81126872868,383.18963035856,
Men Junior,43,230048,Milán,Podgornik,,0:45:55,,355.097205829,387.28848718904,
Men Junior,44,185864,Nathan,Riemer,,0:46:14,,331.06107789429,391.38734401951,
Men Junior,45,226840,Senna,Scholten,,0:46:29,,396.64706545249,395.48620084998,
Men Junior,46,213380,Thayer,Ask,,0:46:37,,303.20665006942,399.58505768046,
Men Junior,47,227543,Grégoire,Wautelet,,0:46:40,,425.45666397822,403.68391451093,
Men Junior,48,219182,Ewan,Dind,,0:46:58,,417.9153431869,407.7827713414,
Men Junior,49,229599,Dániel,GYETKÓ,,0:47:29,,351.49086744888,411.88162817188,
Men Junior,50,222180,Arne,Onghena,,0:47:56,,433.3373938094,415.98048500235,
Men Junior,51,234143,Korneel,Vandenheede,,0:48:11,,474.5438257882,420.07934183282,
Men Junior,52,234142,Hannes,Reynders,,0:48:20,,467.30571382531,424.1781986633,
Men Junior,53,234849,Jasper,Vanderbeken,,0:49:08,,370,428.27705549377,
Men Junior,54,230608,Storm,Minne,,-2 LAPS,,455.67559705438,432.37591232424,
Men Junior,55,218318,Milan,Van der veken,,-2 LAPS,,468.63779546451,436.47476915472,
Men Junior,55,222137,Francesco,Baruzzi,,DNF,,321.90451510806,440.57362598519,
Women Elite,1,25756,Lucinda,Brand,BALOISE GLOWI LIONS,0:44:22,,201.54166483496,184.72114034316,
Women Elite,2,201564,Zoe jane,Backstedt,,0:44:28,,206.31887089508,194.14708171028,
Women Elite,3,112963,Ceylin,Del carmen alvarado,,0:44:28,,216.42189778115,203.57302307741,
Women Elite,4,196632,Leonie,Bentveld,PAUWELS SAUZEN - CIBEL CLEMENTINES,0:45:01,,229.21619724082,212.99896444453,
Women Elite,5,154856,Marion,Norbert riberolle,CRELAN-CORENDON,0:45:52,,241.23039960371,222.42490581165,
Women Elite,6,150479,Aniek,Van alphen,SEVEN RACING,0:46:09,,248.55060816003,231.85084717877,
Women Elite,7,18883,Sanne,Cant,CRELAN-CORENDON,0:47:04,,259.4183303937,241.2767885459,
Women Elite,8,69465,Yara,Kastelijn,,0:47:16,,269.5520131347,250.70272991302,
