Category Name,Place,RacerID,First Name,Last Name,Team Name,Time,License,Carried Points,Scored Points,
Men Elite,1,91571,Joris,Nieuwenhuis,RIDLEY  RACING  TEAM,0:57:05,,119.08319875182,111.17680604955,
Men Elite,2,100271,Eli,Iserbyt,PAUWELS SAUZEN - CIBEL CLEMENTINES,0:57:08,,143.63089264306,114.36571831224,
Men Elite,3,144667,Niels,Vandeputte,,0:57:14,,128.20270878341,117.55463057493,
Men Elite,4,36284,Michael,Vanthourenhout,PAUWELS SAUZEN - CIBEL CLEMENTINES,0:57:19,,136.1799438563,120.74354283763,
Men Elite,5,22180,Lars,Van der haar,BALOISE GLOWI LIONS,0:57:24,,128.00607459402,123.93245510032,
Men Elite,6,76111,Toon,Aerts,DESCHACHT- HENS-FSP,0:57:49,,136.93908590409,127.12136736301,
Men Elite,7,36277,Laurens,Sweeck,CRELAN-CORENDON,0:58:10,,139.10214201852,130.3102796257,
Men Elite,8,21155,Jens,Adams,,0:58:17,,151.00974195805,133.49919188839,
Men Elite,9,159497,Witse,Meeussen,CRELAN-CORENDON,0:58:31,,165.39940501125,136.68810415108,
Men Elite,10,196597,Kay,De bruyckere,PAUWELS SAUZEN - CIBEL CLEMENTINES,0:58:52,,177.02022615637,139.87701641377,
Men Elite,11,129684,Toon,Vandebosch,CRELAN-CORENDON,0:59:00,,150.53956993552,143.06592867646,
Men Elite,12,116009,Kevin,Kuhn,CHARLES LIÉGEOIS ROASTERY CX,0:59:03,,148.01751938666,146.25484093915,
Men Elite,13,155096,Felipe,Orts lloret,RIDLEY  RACING  TEAM,0:59:17,,148.20831012706,149.44375320184,
Men Elite,14,146962,Ryan,Kamp,,0:59:29,,165.51563317331,152.63266546453,
Men Elite,15,194005,Clement,Horny,,0:59:43,,170.19773526045,155.82157772722,
Men Elite,16,146964,Mees,Hendrikx,HEIZOMAT RADTEAM P/B HERRMANN,1:00:21,,152.91872503038,159.01048998991,
Men Elite,17,22194,Corne,Van kessel,DESCHACHT- HENS-FSP,1:00:49,,167.47966242721,162.1994022526,
Men Elite,18,147010,Sander,De vet,,1:00:55,,179.62225114087,165.38831451529,
Men Elite,19,181210,Wout,Janssen,,1:01:00,,183.97385909336,168.57722677798,
Men Elite,20,153653,Cameron,Mason,SEVEN RACING,1:01:20,,158.35610273392,171.76613904067,
Men Elite,21,196599,Kenay,De moyer,PAUWELS SAUZEN - CIBEL CLEMENTINES,1:01:30,,193.57572937596,174.95505130336,
Men Elite,22,81236,Thijs,Aerts,CHARLES LIÉGEOIS ROASTERY CX,1:01:48,,164.98544001089,178.14396356605,
Men Elite,23,174014,Ward,Huybs,BALOISE GLOWI LIONS,1:02:01,,173.33454282089,181.33287582874,
Men Elite,24,17478,Scott,Funston,,1:02:14,,191.39437345194,184.52178809143,
Men Elite,25,202513,Seppe,Van den boer,BALOISE GLOWI LIONS,1:02:30,,191.52450929104,187.71070035412,
Men Elite,26,202397,Robbe,Marchand,DESCHACHT- HENS-FSP,1:02:47,,211.01739335135,190.89961261681,
Men Elite,27,22212,Tom,Meeusen,,1:02:54,,182.39330535754,194.0885248795,
Men Elite,28,160632,Remon,Delnoije,,1:03:03,,198.52611704842,197.27743714219,
Men Elite,29,175196,Elio,Clarysse,,-3 LAPS,,216.88464843747,200.46634940488,
Men Elite,30,128179,Luke,Gibson,,-3 LAPS,,238.38727294916,203.65526166757,
Men Elite,31,212851,Kjell,Coopman,,-4 LAPS,,349.04536706804,206.84417393026,
Men Elite,32,159519,Ydris,Salomez,,-5 LAPS,,237.72783319061,210.03308619295,
Men Elite,33,222752,Kévin,Blanpain,,-6 LAPS,,214.74024009021,213.22199845564,
Men Elite,34,196630,Milan,Lenaers,,-6 LAPS,,293.06778481978,216.41091071833,
