Category Name,Place,RacerID,First Name,Last Name,Team Name,Time,License,Carried Points,Scored Points,
Men Elite,1,36277,Laurens,Sweeck,CRELAN-CORENDON,0:57:08,,138.00506342767,116.26215667406,
Men Elite,2,144667,Niels,Vandeputte,,0:57:10,,127.77893674842,118.44924296844,
Men Elite,3,174015,Thibau,Nys,BALOISE TREK LIONS,0:57:15,,141.61224787787,120.63632926281,
Men Elite,4,184967,Tibor,Del grosso,,0:57:21,,130.71971224997,122.82341555719,
Men Elite,5,100271,Eli,Iserbyt,PAUWELS SAUZEN - BINGOAL,0:57:23,,151.97352792351,125.01050185156,
Men Elite,6,22180,Lars,Van der haar,BALOISE TREK LIONS,0:57:26,,124.38439927833,127.19758814594,
Men Elite,7,146962,Ryan,Kamp,,0:57:37,,169.38785532329,129.38467444031,
Men Elite,8,155096,Felipe,Orts lloret,RIDLEY  RACING  TEAM,0:57:45,,158.39540155986,131.57176073469,
Men Elite,9,184957,Jente,Michels,,0:58:02,,153.1434148823,133.75884702907,
Men Elite,10,25615,Gianni,Vermeersch,,0:58:31,,152.76034961572,135.94593332344,
Men Elite,11,153653,Cameron,Mason,CYCLOCROSS REDS,0:58:32,,164.0582878264,138.13301961782,
Men Elite,12,108208,Lander,Loockx,,0:58:34,,151.64572299684,140.32010591219,
Men Elite,13,144674,Anton,Ferdinande,,0:58:41,,213.02702241889,142.50719220657,
Men Elite,14,22212,Tom,Meeusen,,0:58:43,,185.14823324374,144.69427850094,
Men Elite,15,161704,Joran,Wyseure,CRELAN-CORENDON,0:58:44,,139.11611113407,146.88136479532,
Men Elite,16,212136,Senna,Remijn,,0:58:49,,190.97184286411,149.06845108969,
Men Elite,17,146964,Mees,Hendrikx,HEIZOMAT RADTEAM P/B HERRMANN,0:58:56,,162.54608662911,151.25553738407,
Men Elite,18,116009,Kevin,Kuhn,CHARLES LIÉGEOIS ROASTERY CX,0:59:19,,151.91166135139,153.44262367844,
Men Elite,19,76074,Daan,Soete,RIDLEY  RACING  TEAM,0:59:30,,171.82208612533,155.62970997282,
Men Elite,20,149584,Thomas,Mein,HOPE FACTORY RACING,0:59:35,,178.52033607952,157.81679626719,
Men Elite,21,17146,Marcel,Meisen,,0:59:46,,184.15337942819,160.00388256157,
Men Elite,22,194005,Clement,Horny,,0:59:56,,179.85104875605,162.19096885595,
Men Elite,23,78126,Andrew,Strohmeyer,CXD TREK BIKES,1:00:10,,182.48285024522,164.37805515032,
Men Elite,24,174032,Victor,Van de putte,DESCHACHT- HENS-FSP,1:00:27,,168.6836908158,166.5651414447,
Men Elite,25,147015,Arno,Van den broeck,,1:00:29,,178.31537876382,168.75222773907,
Men Elite,26,155332,Michael,Boroš,,1:00:47,,173.20161916948,170.93931403345,
Men Elite,27,121596,Mathijs,Wuyts,,1:00:57,,186.22424566752,173.12640032782,
Men Elite,28,174020,Ugo,Ananie,,1:01:17,,191.00547891505,175.3134866222,
Men Elite,29,186737,Finn,Treudler,HEIZOMAT RADTEAM P/B HERRMANN,1:01:18,,201.36274464968,177.50057291657,
Men Elite,30,211462,Max heiner,Oertzen,PETER PANE NAGEL CX TEAM,1:01:20,,220.94534236358,179.68765921095,
Men Elite,31,203945,Hannes,Degenkolb,HEIZOMAT RADTEAM P/B HERRMANN,1:01:22,,200.17416631028,181.87474550532,
Men Elite,32,224900,Jenno,Berckmoes,,1:01:36,,241.06028735462,184.0618317997,
Men Elite,33,147010,Sander,De vet,,1:01:40,,183.37280643021,186.24891809407,
Men Elite,34,196497,Maximilian,Kerl,,1:01:46,,208.76746396678,188.43600438845,
Men Elite,35,160632,Remon,Delnoije,,1:01:52,,207.11618577949,190.62309068283,
Men Elite,36,149637,Lorenzo,Marasco,SEBMOTOBIKES CX TEAM,1:02:32,,196.95742199957,192.8101769772,
Men Elite,37,138544,Julian,Siemons,,1:02:37,,170.31918194198,194.99726327158,
Men Elite,38,26685,Eric,Brunner,COMPETITIVE EDGE RACING,1:02:48,,177.92359002058,197.18434956595,
Men Elite,39,202439,Antoine,Jamin,,1:02:56,,209.13439898429,199.37143586033,
Men Elite,40,203394,Stan,Van grieken,,1:03:04,,201.5585221547,201.5585221547,
Men Elite,41,129539,Mickaël,Crispin,,1:03:17,,185.06909005932,203.74560844908,
Men Elite,42,175353,Daniel,Barnes,,1:03:23,,188.87393730366,205.93269474345,
Men Elite,43,214099,Jonas,Köpsel,PETER PANE NAGEL CX TEAM,1:03:25,,214.18088305415,208.11978103783,
Men Elite,44,175729,Paul,Greijus,,1:03:27,,238.76529281046,210.3068673322,
Men Elite,45,129817,Arne,Vrachten,,1:03:28,,200.63172235446,212.49395362658,
Men Elite,46,162819,Florian,Gaillard,,1:03:30,,247.59074434683,214.68103992095,
Men Elite,47,180621,Lukas,Herrmann,HEIZOMAT RADTEAM P/B HERRMANN,-1 LAP,,213.70983400727,216.86812621533,
Men Elite,48,212482,Aubin,Villar thiery,,-1 LAP,,239.68618581447,219.05521250971,
