Category Name,Place,RacerID,First Name,Last Name,Team Name,Time,License,Carried Points,Scored Points,
Men Elite,1,91571,Joris,Nieuwenhuis,RIDLEY RACING TEAM,1:00:26,,120.62876694308,116.31776318515,
Men Elite,2,144667,Niels,Vandeputte,,1:00:32,,130.4639253702,118.65299768516,
Men Elite,3,174023,Emiel,Verstrynge,CRELAN-CORENDON,1:00:33,,133.07805733663,120.98823218517,
Men Elite,4,184957,Jente,Michels,,1:00:34,,146.9912991231,123.32346668518,
Men Elite,5,153653,Cameron,Mason,SEVEN RACING,1:00:53,,152.14677069578,125.65870118519,
Men Elite,6,22180,Lars,Van der haar,BALOISE GLOWI LIONS,1:01:01,,131.05468005104,127.9939356852,
Men Elite,7,174015,Thibau,Nys,BALOISE GLOWI LIONS,1:01:03,,141.99153370151,130.32917018521,
Men Elite,8,36284,Michael,Vanthourenhout,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW CYCLING TEAM ,1:01:04,,134.90571020246,132.66440468521,
Men Elite,9,155096,Felipe,Orts lloret,RIDLEY RACING TEAM,1:01:06,,145.6935670564,134.99963918522,
Men Elite,10,129684,Toon,Vandebosch,CRELAN-CORENDON,1:01:11,,148.70755265,137.33487368523,
Men Elite,11,159497,Witse,Meeussen,CRELAN-CORENDON,1:01:15,,157.2895220628,139.67010818524,
Men Elite,12,161704,Joran,Wyseure,CRELAN-CORENDON,1:01:22,,131.16368574513,142.00534268525,
Men Elite,13,36277,Laurens,Sweeck,CRELAN-CORENDON,1:01:32,,138.4608088305,144.34057718526,
Men Elite,14,159496,Pim,Ronhaar,BALOISE GLOWI LIONS,1:01:43,,142.36912749352,146.67581168527,
Men Elite,15,146964,Mees,Hendrikx,HEIZOMAT - CUBE,1:01:52,,159.76457595462,149.01104618528,
Men Elite,16,144674,Anton,Ferdinande,,1:02:00,,163.50454543459,151.34628068529,
Men Elite,17,116009,Kevin,Kuhn,HEIZOMAT - CUBE,1:02:07,,144.75065181942,153.6815151853,
Men Elite,18,181210,Wout,Janssen,,1:02:10,,171.66953347563,156.01674968531,
Men Elite,19,108208,Lander,Loockx,,1:02:13,,158.35198418532,158.35198418532,
Men Elite,20,76111,Toon,Aerts,DESCHACHT-HENS CX TEAM,1:02:23,,127.50806125669,160.68721868533,
Men Elite,21,202062,Yordi,Corsus,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW CYCLING TEAM ,1:03:12,,155.7507200853,163.02245318534,
Men Elite,22,146962,Ryan,Kamp,,1:03:14,,155.50614010236,165.35768768535,
Men Elite,23,184959,Danny,Van lierop,,1:03:31,,187.42793493829,167.69292218536,
Men Elite,24,22212,Tom,Meeusen,,1:03:56,,180.37874855568,170.02815668537,
Men Elite,25,194005,Clement,Horny,,1:04:28,,160.96323082121,172.36339118538,
Men Elite,26,76451,Kevin,Suarez fernandez,NESTA - MMR CYLING TEAM,1:04:44,,186.31690169006,174.69862568539,
Men Elite,27,212557,Max,Rijvers,,1:04:52,,219.490863458,177.0338601854,
Men Elite,28,218314,Michiel,Mouris,,1:04:58,,238.14630756302,179.36909468541,
Men Elite,29,222123,Lars,Daelmans,,1:05:15,,242.15639651126,181.70432918542,
Men Elite,30,149637,Lorenzo,Marasco,SEBMOTOBIKES CX TEAM,1:05:17,,184.3989196256,184.03956368543,
Men Elite,31,160632,Remon,Delnoije,,1:05:42,,198.22174183333,186.37479818544,
Men Elite,32,220818,Lennert,Meeusen,,1:05:52,,258.51633526766,188.71003268544,
Men Elite,33,108210,Thomas,Verheyen,,-2 LAPS,,205.94571600226,191.04526718545,
Men Elite,34,104456,Carden,King,,-2 LAPS,,249.05443726592,193.38050168546,
Men Elite,35,182063,Yuta,Okayama,OLANDA BASE/WATERSLEY,-5 LAPS,,247.34306686932,195.71573618547,
Men Elite,35,196597,Kay,De bruyckere,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW CYCLING TEAM ,DNF,,168.09881236352,198.05097068548,
Men Elite,36,203393,Bengt,Daelmans,,DNF,,226.96885009213,200.38620518549,
Men Junior,1,237549,Bas,Vanden eynde,,0:42:42,,278.44732128611,235.45087409112,
Men Junior,2,226832,Lars,Corsus,,0:42:42,,264.68814225962,241.42936917691,
Men Junior,3,237551,Jop,Van den biggelaar,,0:42:43,,281.09395431324,247.40786426271,
Men Junior,4,238293,Emiel,Osaer,,0:42:44,,271.46180942813,253.3863593485,
Men Junior,5,238294,Delano,Heeren,,0:42:49,,332.79361870012,259.36485443429,
Men Junior,6,237555,Cas,Van looke,,0:43:13,,290.84750594867,265.34334952008,
Men Junior,7,230471,Lorenz,Ivens,,0:43:18,,344.20781052258,271.32184460587,
Men Junior,8,226858,Daan,Wilmsen,,0:43:24,,338.67978981822,277.30033969167,
Men Junior,9,237550,Loek,Hovers,,0:43:32,,300.14513728232,283.27883477746,
Men Junior,10,228601,Toon,De peuter,,0:43:32,,320.69615256078,289.25732986325,
Men Junior,11,226839,Matt,Roijackers,,0:43:40,,301.0617177862,295.23582494904,
Men Junior,12,237548,Maxime,Smits,,0:43:54,,324.42559162324,301.21432003484,
Men Junior,13,238913,Sam,Van hoeck,,0:43:54,,309.21055655328,307.19281512063,
Men Junior,14,226834,David,Svoboda,,0:44:24,,267.30978797454,313.17131020642,
Men Junior,15,241247,Jitse,Bullen,,0:44:33,,322.38825305336,319.14980529221,
Men Junior,16,237552,Jules,Van oirbeek,,0:44:38,,344.064456295,325.12830037801,
Men Junior,17,230020,Matse,Leys,,0:44:56,,354.06191023046,331.1067954638,
Men Junior,18,238915,Alessio,Roelandt,,0:45:10,,322.90017647054,337.08529054959,
Men Junior,19,227535,Dima,Roels,,0:45:20,,305.80111552386,343.06378563538,
Men Junior,20,227536,Len,Geerts,,0:45:38,,312.49502416904,349.04228072117,
Men Junior,21,237553,Sven,Dijkman,,0:46:45,,342.06311497577,355.02077580697,
Men Junior,22,235555,Vince,Van doorslaer,,0:46:51,,403.9679483162,360.99927089276,
Men Junior,23,227543,Grégoire,Wautelet,,0:46:59,,412.64460344264,366.97776597855,
Men Junior,24,226841,Seppe,Sprangers,,0:47:00,,348.53089254303,372.95626106434,
Men Junior,25,241250,Hugo,Gridelet,,0:47:07,,436.6564457253,378.93475615014,
Men Junior,26,241137,Lars,Peeters,,0:47:07,,469.44686325006,384.91325123593,
Men Junior,27,238299,Jonas,Pauwels,,0:47:19,,383.6387166974,390.89174632172,
Men Junior,28,237861,Finn,Jordens,,0:47:42,,401.14765147907,396.87024140751,
Men Junior,29,235554,Ielan,Meert,,0:47:57,,411.48522406952,402.8487364933,
Men Junior,30,241139,Ruben,Van vaerenberg,,0:48:18,,483.0077991478,408.8272315791,
Men Junior,31,237856,Fabian,Stimmel,,0:48:25,,360.14676360276,414.80572666489,
Men Junior,32,237559,Jerre,Jansen,,0:48:29,,417.96973832034,420.78422175068,
Men Junior,33,228185,Hadley,Davis,,0:49:29,,432.42754263023,432.74121192227,
Men Junior,33,227558,Jonas,Vermiert,,DNF,,365.3037791242,426.76271683647,
Men Junior,34,240849,Louca,Vanlommel,,DNF,,388.97966848274,438.71970700806,
Men Junior,35,237852,Lars,Stockman,,DNF,,378.76324955862,444.69820209385,
Women Elite,1,25756,Lucinda,Brand,BALOISE GLOWI LIONS,0:45:20,,186.3400123359,186.3400123359,
Women Elite,2,150479,Aniek,Van alphen,SEVEN RACING,0:45:30,,249.93221123016,205.09532128769,
Women Elite,3,112964,Inge,Van der heijden,CRELAN-CORENDON,0:45:33,,219.14456519278,214.23696600064,
Women Elite,4,196632,Leonie,Bentveld,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW CYCLING TEAM ,0:45:34,,227.73336466665,223.37861071359,
Women Elite,5,162745,Amandine,Fouquenet,,0:46:58,,244.72328158082,232.52025542655,
Women Elite,6,112961,Manon,Bakker,CRELAN-CORENDON,0:47:07,,264.1805969861,241.6619001395,
Women Elite,7,178359,Julie,Brouwers,CHARLES LIÉGEOIS ROASTERY CX,0:47:24,,263.34485811942,250.80354485245,
Women Elite,8,121947,Hélène,Clauzel,,0:47:34,,234.41579464181,259.9451895654,
Women Elite,9,146956,Denise,Betsema,DE CEUSTER - BOUWPUNT,0:47:40,,248.63230090655,269.08683427836,
Women Elite,10,129810,Jinse,Peeters,DE CEUSTER - BOUWPUNT,0:48:04,,310.63376649859,278.22847899131,
Women Elite,11,202116,Lauren,Molengraaf,CHARLES LIÉGEOIS ROASTERY CX,0:48:33,,298.71935336182,287.37012370426,
Women Elite,12,164275,Larissa,Hartog,,0:48:34,,276.9647678458,296.51176841721,
Women Elite,13,196559,Kateřina,Hladíková,BRILON RACING TEAM MB,0:48:57,,333.98720620544,305.65341313016,
Women Elite,14,189853,Sterre,Vervloet,DESCHACHT-HENS CX TEAM,0:49:21,,335.74249027949,314.79505784312,
Women Elite,15,195091,Anniek,Mos,,0:49:30,,354.88599525949,323.93670255607,
Women Elite,16,132626,Anna,Kay,,0:49:36,,307.38265691712,333.07834726902,
Women Elite,17,121946,Perrine,Clauzel,SEBMOTOBIKES CX TEAM,0:49:46,,331.69209708128,342.21999198197,
Women Elite,18,227563,Jamie,De beer,,0:50:05,,315.42421686214,351.36163669493,
Women Elite,19,196997,Liv,Wenzel,SEBMOTOBIKES CX TEAM,0:50:18,,385.03475409547,360.50328140788,
Women Elite,20,212172,Sara,Sonnemans,,0:50:23,,351.36163669493,369.64492612083,
Women Elite,21,218951,Noï,Moes,,0:50:29,,379.70560070482,378.78657083378,
Women Elite,22,196843,Pem,Hoefmans,,0:51:41,,397.46170083047,387.92821554674,
Women Elite,23,214506,Femke,Lenferink,,0:51:57,,445.36567379636,397.06986025969,
Women Elite,24,155241,Emeline,Detilleux,,0:52:07,,440,406.21150497264,
Women Elite,25,212173,Alexe,De raedemaeker,,0:52:37,,427.64570287292,415.35314968559,
Women Elite,26,238926,Phebe,Blieck,,0:52:52,,480.1608565342,424.49479439855,
Women Elite,27,221991,Shanaya Esther,Schollaert,,0:53:02,,466.99794671848,433.6364391115,
Women Elite,28,237582,Mart,Leyssens,,0:53:15,,613.51003231503,442.77808382445,
Women Elite,29,202425,Alana,Polfliet,,-1 LAP,,497.38830849128,451.9197285374,
Women Elite,30,234850,Britt,Kooremans,,-1 LAP,,534.27994630665,461.06137325035,
Women Elite,31,237587,Mirthe,Buurmeijer,,-2 LAPS,,599.58522442393,470.20301796331,
Women Elite,32,212589,Fenny,Coppelmans,,-3 LAPS,,643.62193775121,479.34466267626,
Women Elite,33,233575,Febe,Vissenberg,,-3 LAPS,,474.47489720218,488.48630738921,
Women Elite,33,195214,Emily,De cuyper,,DNF,,512.26048468104,497.62795210216,
Women Elite,34,240854,Yana,Parthoens,,DNF,,468.91240879315,506.76959681512,
