Category Name,Place,RacerID,First Name,Last Name,Team Name,Time,License,Carried Points,Scored Points,
Men Elite,1,36277,Laurens,Sweeck,CRELAN-CORENDON,0:57:13,,138.4608088305,115.15929663805,
Men Elite,2,144667,Niels,Vandeputte,,0:57:14,,130.4639253702,118.16881140069,
Men Elite,3,36284,Michael,Vanthourenhout,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW CYCLING TEAM ,0:57:26,,134.90571020246,121.17832616334,
Men Elite,4,174023,Emiel,Verstrynge,CRELAN-CORENDON,0:57:37,,133.07805733663,124.18784092598,
Men Elite,5,155096,Felipe,Orts lloret,RIDLEY RACING TEAM,0:57:50,,145.6935670564,127.19735568862,
Men Elite,6,129684,Toon,Vandebosch,CRELAN-CORENDON,0:58:01,,148.70755265,130.20687045126,
Men Elite,7,184957,Jente,Michels,,0:58:08,,146.9912991231,133.21638521391,
Men Elite,8,91571,Joris,Nieuwenhuis,RIDLEY RACING TEAM,0:58:13,,120.62876694308,136.22589997655,
Men Elite,9,159497,Witse,Meeussen,CRELAN-CORENDON,0:58:21,,157.2895220628,139.23541473919,
Men Elite,10,116009,Kevin,Kuhn,HEIZOMAT - CUBE,0:58:24,,144.75065181942,142.24492950184,
Men Elite,11,144674,Anton,Ferdinande,,0:58:28,,163.50454543459,145.25444426448,
Men Elite,12,76111,Toon,Aerts,DESCHACHT-HENS CX TEAM,0:58:31,,127.50806125669,148.26395902712,
Men Elite,13,201994,Václav,Ježek,BRILON RACING TEAM MB,0:58:51,,186.35071526103,151.27347378976,
Men Elite,14,155332,Michael,Boroš,,0:59:04,,165.18191558797,154.28298855241,
Men Elite,15,153653,Cameron,Mason,SEVEN RACING,0:59:39,,152.14677069578,157.29250331505,
Men Elite,16,159496,Pim,Ronhaar,BALOISE GLOWI LIONS,0:59:59,,142.36912749352,160.30201807769,
Men Elite,17,181210,Wout,Janssen,,1:00:02,,171.66953347563,163.31153284033,
Men Elite,18,203394,Stan,Van grieken,,1:00:11,,185.09662341877,166.32104760298,
Men Elite,19,194005,Clement,Horny,,1:00:18,,160.96323082121,169.33056236562,
Men Elite,20,202439,Antoine,Jamin,,1:00:21,,188.66545746451,172.34007712826,
Men Elite,21,218286,Lennes,Jacobs,,1:00:51,,229.25493184934,175.34959189091,
Men Elite,22,22212,Tom,Meeusen,,1:01:20,,180.37874855568,178.35910665355,
Men Elite,23,212863,Senn,Bossaerts,,1:01:34,,202.69019858113,181.36862141619,
Men Elite,24,196497,Maximilian,Kerl,,1:01:42,,191.98223340728,184.37813617883,
Men Elite,25,202397,Robbe,Marchand,DESCHACHT-HENS CX TEAM,1:01:45,,204.06704583859,187.38765094148,
