Category Name,Place,RacerID,First Name,Last Name,Team Name,Time,License,Carried Points,Scored Points,
Men Elite,1,36284,Michael,Vanthourenhout,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW CYCLING TEAM ,1:00:45,,133.85845010044,112.28750420355,
Men Elite,2,159496,Pim,Ronhaar,BALOISE GLOWI LIONS,1:00:52,,145.60113169095,115.13018965322,
Men Elite,3,174023,Emiel,Verstrynge,CRELAN-CORENDON,1:00:58,,131.9138155503,117.97287510289,
Men Elite,4,144667,Niels,Vandeputte,,1:01:00,,130.53657271472,120.81556055256,
Men Elite,5,161704,Joran,Wyseure,CRELAN-CORENDON,1:01:02,,130.2078034986,123.65824600223,
Men Elite,6,91571,Joris,Nieuwenhuis,RIDLEY RACING TEAM,1:01:03,,119.26893974538,126.5009314519,
Men Elite,7,184957,Jente,Michels,,1:01:04,,147.83660511278,129.34361690157,
Men Elite,8,22180,Lars,Van der haar,BALOISE GLOWI LIONS,1:01:14,,130.08755832406,132.18630235125,
Men Elite,9,159497,Witse,Meeussen,CRELAN-CORENDON,1:01:20,,159.50659709559,135.02898780092,
Men Elite,10,153653,Cameron,Mason,SEVEN RACING,1:01:26,,155.50025862837,137.87167325059,
Men Elite,11,144676,Gerben,Kuypers,CHARLES LIÉGEOIS ROASTERY CX,1:01:56,,189.43057374744,140.71435870026,
Men Elite,12,129684,Toon,Vandebosch,CRELAN-CORENDON,1:01:56,,150.35590392994,143.55704414993,
Men Elite,13,174032,Victor,Van de putte,DESCHACHT-HENS CX TEAM,1:02:07,,167.10954472161,146.3997295996,
Men Elite,14,146964,Mees,Hendrikx,HEIZOMAT - CUBE,1:02:09,,161.63120762002,149.24241504927,
Men Elite,15,116009,Kevin,Kuhn,HEIZOMAT - CUBE,1:02:18,,144.41442528491,152.08510049894,
Men Elite,16,196597,Kay,De bruyckere,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW CYCLING TEAM ,1:02:20,,171.48643247445,154.92778594861,
Men Elite,17,76111,Toon,Aerts,DESCHACHT-HENS CX TEAM,1:03:20,,126.8522990738,157.77047139828,
Men Elite,18,202394,Viktor,Vandenberghe,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW CYCLING TEAM ,1:03:23,,178.9648825579,160.61315684795,
Men Elite,19,202059,David,Haverdings,BALOISE GLOWI LIONS,1:03:25,,176.37365653405,163.45584229762,
Men Elite,20,194005,Clement,Horny,,1:03:26,,161.75521376399,166.2985277473,
Men Elite,21,155096,Felipe,Orts lloret,RIDLEY RACING TEAM,1:03:38,,147.31906443089,169.14121319697,
Men Elite,22,220838,Arthur,Van den boer,BALOISE GLOWI LIONS,1:03:43,,235.72613033553,171.98389864664,
Men Elite,23,213267,Stefano,Viezzi,,1:03:52,,175.87930488046,174.82658409631,
Men Elite,24,146962,Ryan,Kamp,,1:04:00,,152.22379137268,177.66926954598,
Men Elite,25,212146,Fabian,Maes,,1:04:19,,215.70042367734,180.51195499565,
