Category Name,Place,RacerID,First Name,Last Name,Team Name,Time,License,Carried Points,Scored Points,
Men Elite,1,36284,Michael,Vanthourenhout,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW CYCLING TEAM ,1:01:51,,134.83955709582,112.18095531001,
Men Elite,2,91571,Joris,Nieuwenhuis,RIDLEY RACING TEAM,1:01:51,,119.6933103664,114.60086291415,
Men Elite,3,144667,Niels,Vandeputte,,1:01:53,,130.48793629211,117.0207705183,
Men Elite,4,116009,Kevin,Kuhn,HEIZOMAT - CUBE,1:01:54,,145.50024037893,119.44067812244,
Men Elite,5,161704,Joran,Wyseure,CRELAN-CORENDON,1:01:55,,130.60529005917,121.86058572659,
Men Elite,6,129684,Toon,Vandebosch,CRELAN-CORENDON,1:02:01,,152.10329363638,124.28049333073,
Men Elite,7,184957,Jente,Michels,,1:02:05,,149.46736776696,126.70040093487,
Men Elite,8,36277,Laurens,Sweeck,CRELAN-CORENDON,1:02:08,,135.26361533503,129.12030853902,
Men Elite,9,174023,Emiel,Verstrynge,CRELAN-CORENDON,1:02:08,,131.93872217744,131.54021614316,
Men Elite,10,159497,Witse,Meeussen,CRELAN-CORENDON,1:02:11,,161.00933082196,133.96012374731,
Men Elite,11,76111,Toon,Aerts,DESCHACHT-HENS CX TEAM,1:02:19,,127.21676335191,136.38003135145,
Men Elite,12,159496,Pim,Ronhaar,BALOISE GLOWI LIONS,1:02:20,,146.69919039453,138.79993895559,
Men Elite,13,144676,Gerben,Kuypers,CHARLES LIÉGEOIS ROASTERY CX,1:02:33,,199.07271918498,141.21984655974,
Men Elite,14,22180,Lars,Van der haar,BALOISE GLOWI LIONS,1:02:43,,128.49601617048,143.63975416388,
Men Elite,15,174032,Victor,Van de putte,DESCHACHT-HENS CX TEAM,1:02:44,,169.49007471506,146.05966176803,
Men Elite,16,202064,Guus,Van den eijnden,SEVEN RACING,1:02:46,,163.91083073975,148.47956937217,
Men Elite,17,202059,David,Haverdings,BALOISE GLOWI LIONS,1:02:47,,176.91289189426,150.89947697631,
Men Elite,18,196597,Kay,De bruyckere,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW CYCLING TEAM ,1:02:50,,172.21311439021,153.31938458046,
Men Elite,19,153653,Cameron,Mason,SEVEN RACING,1:02:58,,155.53032828806,155.7392921846,
Men Elite,20,146962,Ryan,Kamp,,1:03:19,,161.80029425599,158.15919978875,
Men Elite,21,220838,Arthur,Van den boer,BALOISE GLOWI LIONS,1:03:25,,242.18058448696,160.57910739289,
