Category Name,Place,RacerID,First Name,Last Name,Team Name,Time,License,Carried Points,Scored Points,
Men Elite,1,76053,Mathieu,Van der poel,,0:59:41,,101.69184206441,101.69184206441,
Men Elite,2,36277,Laurens,Sweeck,CRELAN-CORENDON,1:00:44,,137.39244299734,117.5367694848,
Men Elite,3,36284,Michael,Vanthourenhout,PAUWELS SAUZEN - BINGOAL,1:01:16,,139.92612841725,120.49172175447,
Men Elite,4,161704,Joran,Wyseure,CRELAN-CORENDON,1:01:22,,139.74998601964,123.44667402414,
Men Elite,5,144667,Niels,Vandeputte,,1:01:36,,127.26398468346,126.40162629382,
Men Elite,6,22180,Lars,Van der haar,BALOISE TREK LIONS,1:01:49,,121.82047049934,129.35657856349,
Men Elite,7,116009,Kevin,Kuhn,CHARLES LIÉGEOIS ROASTERY CX,1:01:55,,147.90226212847,132.31153083316,
Men Elite,8,155096,Felipe,Orts lloret,RIDLEY  RACING  TEAM,1:02:10,,158.57822397838,135.26648310283,
Men Elite,9,76074,Daan,Soete,RIDLEY  RACING  TEAM,1:02:59,,176.02216746944,138.22143537251,
Men Elite,10,108208,Lander,Loockx,,1:03:05,,149.04086237751,141.17638764218,
Men Elite,11,181210,Wout,Janssen,,1:03:05,,189.39788835172,144.13133991185,
Men Elite,12,194005,Clement,Horny,,1:03:59,,178.21335577531,147.08629218153,
Men Elite,13,174019,Yorben,Lauryssen,PAUWELS SAUZEN - BINGOAL,1:04:11,,175.00220314334,150.0412444512,
Men Elite,14,81236,Thijs,Aerts,CHARLES LIÉGEOIS ROASTERY CX,1:04:31,,164.22603685183,152.99619672087,
Men Elite,15,174017,Arne,Baers,,1:04:31,,165.28281567444,155.95114899054,
Men Elite,16,203394,Stan,Van grieken,,1:04:34,,202.94327624554,158.90610126022,
Men Elite,17,129817,Arne,Vrachten,,1:04:38,,196.34358986688,161.86105352989,
Men Elite,18,22212,Tom,Meeusen,,1:04:47,,180.47198637155,164.81600579956,
Men Elite,19,100271,Eli,Iserbyt,PAUWELS SAUZEN - BINGOAL,1:04:50,,144.8773979105,167.77095806923,
Men Elite,20,138544,Julian,Siemons,,1:04:58,,170.11581774351,170.72591033891,
Men Elite,21,174014,Ward,Huybs,BALOISE TREK LIONS,1:05:08,,151.54795818086,173.68086260858,
Men Elite,22,147010,Sander,De vet,,1:05:08,,175.37708235097,176.63581487825,
Men Elite,23,147015,Arno,Van den broeck,,-2 LAPS,,175.07769500904,179.59076714793,
Men Elite,24,182725,Nicolas,Bard,,-2 LAPS,,232.58006589726,182.5457194176,
Men Elite,25,190815,Miguel,Rodriguez novoa,,-2 LAPS,,187.12774999665,185.50067168727,
Men Elite,26,196614,Miles,Gevaert,,-2 LAPS,,213.40395351625,188.45562395694,
Men Elite,27,202528,Bram,Sprangers,,-2 LAPS,,215.46927826912,191.41057622662,
Men Elite,28,212863,Senn,Bossaerts,,-3 LAPS,,246.1111444275,194.36552849629,
Men Elite,29,212557,Max,Rijvers,,-3 LAPS,,243.3676672209,197.32048076596,
Men Elite,30,196599,Kenay,De moyer,PAUWELS SAUZEN - BINGOAL,-3 LAPS,,196.91333402779,200.27543303564,
Men Elite,31,149637,Lorenzo,Marasco,SEBMOTOBIKES CX TEAM,-4 LAPS,,197.07670822089,203.23038530531,
Men Elite,32,129539,Mickaël,Crispin,,-4 LAPS,,178.03034088743,206.18533757498,
Men Elite,33,196598,Niels,Ceulemans,,-4 LAPS,,214.86159476764,209.14028984465,
Men Elite,34,103718,Alexis,David,,-4 LAPS,,216.45177454094,212.09524211433,
Men Elite,35,162717,Stef,Janse,,-4 LAPS,,246.30567670757,215.050194384,
Men Elite,36,203393,Bengt,Daelmans,,-4 LAPS,,255.07591502469,218.00514665367,
Men Elite,37,190897,Michael,Gaßner,,-4 LAPS,,218.06829106014,220.96009892335,
Men Elite,38,212138,Axel,Van den broek,,-4 LAPS,,220,223.91505119302,
Men Elite,39,175729,Paul,Greijus,,-4 LAPS,,232.97975010682,226.87000346269,
Men Elite,40,180600,Ruben,Meeusen,,-4 LAPS,,242.99405019966,229.82495573236,
Men Elite,41,196609,Toon,Van den bergh,,-4 LAPS,,247.65646920116,232.77990800204,
Men Elite,42,167652,Florian,Hamm,,-4 LAPS,,217.08043996546,235.73486027171,
Men Elite,43,169873,Florian,Anderle,,-4 LAPS,,236.93253235274,238.68981254138,
Men Elite,44,180523,Ruben,Lembrechts,,-4 LAPS,,248.13589227595,241.64476481106,
Men Elite,45,121597,Maarten,Van staeyen,,-5 LAPS,,243.92479076247,244.59971708073,
Men Elite,46,139054,Rune,Smits,,-5 LAPS,,226.77174841612,247.5546693504,
Men Elite,47,35389,Noah,Shelton,,-5 LAPS,,256.95857376771,250.50962162007,
Men Elite,48,224900,Jenno,Berckmoes,,-5 LAPS,,226.54792510553,253.46457388975,
Men Elite,49,212145,Thorben,Allaer,,-5 LAPS,,269.99733989194,256.41952615942,
Men Elite,50,212482,Aubin,Villar thiery,,-5 LAPS,,244.97862378277,259.37447842909,
Men Elite,51,212556,Tjalle,Dries,,-5 LAPS,,285.71724082428,262.32943069876,
Men Elite,52,118868,Justin,Peck,,-5 LAPS,,226.90230771061,265.28438296844,
Men Elite,53,196444,Morgan,Guérin,,-5 LAPS,,267.29206932937,268.23933523811,
Men Elite,54,104456,Carden,King,,-5 LAPS,,259.43946525898,271.19428750778,
Men Elite,55,139485,Raphaël,Kockelmann,SEBMOTOBIKES CX TEAM,-5 LAPS,,244.67916955591,274.14923977746,
Men Elite,56,196442,Mathieu,Kockelmann,,-5 LAPS,,235.68118694085,277.10419204713,
Men Elite,57,218912,Mathéo,DEVALLÉE,,-5 LAPS,,310.39075320436,280.0591443168,
Men Elite,58,89410,Yelle,Leaerts,,-5 LAPS,,233.41217158395,283.01409658647,
Men Elite,59,199995,Liam,Sargent,,-5 LAPS,,270.00083165837,285.96904885615,
