Rank,Rider,Nation,Team,Age,Points,
1,VANTHOURENHOUT Michael,BEL,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW CYCLING TEAM,33,2202,
2,AERTS Toon,BEL,DESCHACHT-HENS CX TEAM,33,1900,
3,VANDEPUTTE Niels,BEL,,26,1611,
4,SWEECK Laurens,BEL,CRELAN-CORENDON,33,1535,
5,ISERBYT Eli,BEL,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW CYCLING TEAM,29,1535,
6,WYSEURE Joran,BEL,CRELAN-CORENDON,25,1529,
7,NYS Thibau,BEL,BALOISE GLOWI LIONS,24,1524,
8,VAN DER POEL Mathieu,NED,,31,1520,
9,VAN DER HAAR Lars,NED,BALOISE GLOWI LIONS,35,1447,
10,VERSTRYNGE Emiel,BEL,CRELAN-CORENDON,24,1309,
11,ORTS LLORET Felipe,ESP,RIDLEY RACING TEAM,31,1255,
12,RONHAAR Pim,NED,BALOISE GLOWI LIONS,25,1249,
13,NIEUWENHUIS Joris,NED,RIDLEY RACING TEAM,30,1201,
14,DEL GROSSO Tibor,NED,,23,1120,
15,KUHN Kevin,SUI,HEIZOMAT - CUBE,28,1102,
16,MASON Cameron,GBR,SEVEN RACING,26,932,
17,STROHMEYER Andrew,USA,CXD TREK BIKES,24,919,
18,VAN AERT Wout,BEL,,32,910,
19,BRUNNER Eric,USA,COMPETITIVE EDGE RACING,28,878,
20,MICHELS Jente,BEL,,23,863,
21,BOROŠ Michael,CZE,,34,821,
22,MEIN Thomas,GBR,HOPE FACTORY RACING,27,818,
23,HENDRIKX Mees,NED,HEIZOMAT - CUBE,26,796,
24,KAMP Ryan,NED,,26,713,
25,BERTOLINI Gioele,ITA,ALE COLNAGO TEAM,31,664,
26,VANDEBOSCH Toon,BEL,CRELAN-CORENDON,27,660,
27,SPARFEL Aubin,FRA,,20,642,
28,JUNQUERA SAN MILLAN Mario,ESP,UNICAJA - GIJON,29,592,
29,ADAMS Jens,BEL,,34,588,
30,MENUT David,FRA,AS BIKE RACING / FRANCE LITERIE,34,587,
31,VENTURINI Clement,FRA,,33,573,
32,VAN KEMPEN Jules,USA,,24,557,
33,KONWA Marek,POL,,36,547,
34,DE BRUYCKERE Kay,BEL,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW CYCLING TEAM,22,539,
35,VAN KESSEL Corne,NED,,35,536,
36,CORSUS Yordi,BEL,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW CYCLING TEAM,21,527,
37,VIEZZI Stefano,ITA,,20,476,
38,CLARK Tyler,CAN,,26,467,
39,DUBAU Joshua,FRA,,30,446,
40,SUAREZ FERNANDEZ Kevin,ESP,NESTA - MMR CYLING TEAM,32,441,
41,VAN DE PUTTE Victor,BEL,DESCHACHT-HENS CX TEAM,24,431,
42,JEŽEK Václav,CZE,BRILON RACING TEAM MB,21,428,
43,MEISEN Marcel,GER,,37,385,
44,FUNSTON Scott,USA,,26,365,
45,GABRIEL Timothé,FRA,,24,351,
46,INGUANZO MACHO Gonzalo,ESP,,25,347,
47,MEEUSSEN Witse,BEL,CRELAN-CORENDON,25,346,
48,SOMMER Lars,SUI,,24,341,
49,BOMMENEL Nathan,FRA,ACT CYCLING,23,335,
50,ROUILLER Loris,SUI,AS BIKE RACING / FRANCE LITERIE,26,321,
51,CEOLIN Federico,ITA,FAS AIRPORT SERVICES - GUERCIOTTI,26,320,
52,DEBORD Romain,FRA,AS BIKE RACING / FRANCE LITERIE,22,317,
53,FONTANA Filippo,ITA,,26,314,
54,WERNER Kerry,USA,,35,312,
55,VAN DEN EIJNDEN Guus,NED,SEVEN RACING,21,302,
56,ZAKRAJSEK Dylan,USA,COMPETITIVE EDGE RACING,23,299,
57,HAVERDINGS David,NED,BALOISE GLOWI LIONS,22,293,
58,BISIAUX Léo,FRA,,21,288,
59,HORNY Clement,BEL,,26,285,
60,VAS Barnabás,HUN,,20,285,
61,SCOTT Cody,CAN,COMPETITIVE EDGE RACING,24,283,
62,ANANIE Ugo,FRA,,24,279,
63,GROSLAMBERT Martin,FRA,SEBMOTOBIKES CX TEAM,24,276,
64,TAKÁCS Zsombor,HUN,,20,275,
65,SIMON Jules,FRA,AS BIKE RACING / FRANCE LITERIE,20,271,
66,DRUMMOND Ryan,USA,,20,271,
67,BESHIR Tofik,ETH,,19,271,
68,DEGENKOLB Hannes,GER,HEIZOMAT - CUBE,22,268,
69,COOTE Henry,USA,,20,267,
70,DE MOYER Kenay,BEL,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW CYCLING TEAM,22,265,
71,ULÍK Matej,SVK,,29,262,
72,ACKERT Ian,CAN,,21,251,
73,DOCKX Aaron,BEL,,22,247,
74,VAN DEN BOER Seppe,BEL,,21,244,
75,MIRA BONASTRE Raul,ESP,,22,244,
76,DOUBEY Fabien,FRA,,33,243,
77,VANDENBERGHE Viktor,BEL,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW CYCLING TEAM,21,243,
78,THOMAS Théo,FRA,SEBMOTOBIKES CX TEAM,25,237,
79,REMIJN Senna,NED,,20,230,
80,HARTER Luca,GER,,24,229,
81,VAN LIEROP Danny,NED,,23,229,
82,LEQUET Corentin,FRA,ACT CYCLING,22,222,
83,KERL Maximilian,CZE,,22,219,
84,FIALA Matyáš,CZE,,23,218,
85,HERRMANN Lukas,GER,,25,217,
86,MOTTIEZ Gilles,SUI,,29,214,
87,LAURYSSEN Yorben,BEL,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW CYCLING TEAM,24,210,
88,SOUSA Rafael,POR,,21,201,
89,AGOSTINACCHIO Mattia,ITA,EF EDUCATION - EASYPOST - OATLY,19,200,
90,SCAPPINI Samuele,ITA,,21,199,
91,GILLES Cyprien,FRA,,26,198,
92,RODRIGUEZ NOVOA Miguel,ESP,,23,190,
93,CONAWAY Calvin,USA,,20,190,
94,SOLEN Keije,NED,CHARLES LIÉGEOIS ROASTERY CX,20,189,
95,WHITE Curtis,USA,,31,185,
96,JOT Matéo,FRA,,23,179,
97,DAVID Alexis,FRA,,21,174,
98,KUYPERS Gerben,BEL,CHARLES LIÉGEOIS ROASTERY CX,26,173,
99,ODA Hijiri,JPN,,28,170,
100,BARD Nicolas,SUI,,26,170,
101,OERTZEN Max Heiner,GER,RADSPORT NAGEL CX TEAM,20,168,
102,DE BRAUWERE Sil,BEL,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW CYCLING TEAM,21,166,
103,SIPPY Ivan,USA,,23,160,
104,KÖPSEL Jonas,GER,RADSPORT NAGEL CX TEAM,24,155,
105,MARASCO Lorenzo,FRA,SEBMOTOBIKES CX TEAM,28,150,
106,WALTER Luke,USA,PURE ENERGY DRINK / HARO BIKES BY COREGO,20,146,
107,HOJKA František,CZE,,21,145,
108,DUBAU Lucas,FRA,,30,145,
109,FREDERICK Ben,USA,,37,144,
110,FERDINANDE Anton,BEL,,26,140,
111,RECULEAU Nicolas,FRA,,30,139,
112,KUSCHLA Silas,GER,,22,137,
113,ŘÍMAN Jakub,CZE,,26,137,
114,REMONDET Valentin,FRA,,27,132,
115,FOLCARELLI Antonio,ITA,,28,132,
116,GARNEK Ksawier,POL,,21,131,
117,BETON Damien,FRA,,25,129,
118,PERIOU Tony,FRA,,31,127,
119,MALNASI Jozsef-Attila,ROU,,28,126,
120,BARNES Daniel,GBR,,24,125,
