Rank,Rider,Nation,Team,Age,Points,
1,BRAND Lucinda,NED,BALOISE GLOWI LIONS,37,3280,
2,VAN EMPEL Fem,NED,,24,2110,
3,VAN DER HEIJDEN Inge,NED,CRELAN-CORENDON,27,2068,
4,VAS Blanka,HUN,,25,1546,
5,PIETERSE Puck,NED,,24,1490,
6,BACKSTEDT Zoe,GBR,,22,1480,
7,BAKKER Manon,NED,CRELAN-CORENDON,27,1418,
8,ALVARADO Ceylin del Carmen,NED,,28,1380,
9,NORBERT RIBEROLLE Marion,BEL,CRELAN-CORENDON,27,1380,
10,SCHREIBER Marie,LUX,,23,1300,
11,CASASOLA Sara,ITA,CRELAN-CORENDON,27,1168,
12,BENTVELD Leonie,NED,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW CYCLING TEAM,22,1123,
13,VAN ALPHEN Aniek,NED,SEVEN RACING,27,1078,
14,BROUWERS Julie,BEL,CHARLES LIÉGEOIS ROASTERY CX,24,1031,
15,FOUQUENET Amandine,FRA,,25,957,
16,CLAUZEL Hélène,FRA,,28,932,
17,BETSEMA Denise,NED,DE CEUSTER - BOUWPUNT,33,913,
18,CARRIER Rafaelle,CAN,,19,842,
19,CANT Sanne,BEL,,36,832,
20,MCGILL Sidney,CAN,,27,768,
21,ROCHETTE Maghalie,CAN,,33,750,
22,REVOL Lise,FRA,,18,704,
23,RODRIGUEZ REVERT Sofia,ESP,NESTA - MMR CYLING TEAM,27,702,
24,FRANCK Alicia,BEL,,32,679,
25,GERY Célia,FRA,AS BIKE RACING / FRANCE LITERIE,20,678,
26,BUKOVSKÁ Barbora,CZE,,18,667,
27,GONZALEZ BLANCO Lucia,ESP,NESTA - MMR CYLING TEAM,36,664,
28,BORELLO Carlotta,ITA,,24,649,
29,MANI Caroline,FRA,,39,604,
30,MULLER Amandine,FRA,AS BIKE RACING / FRANCE LITERIE,20,578,
31,VERDONSCHOT Laura,BEL,DE CEUSTER - BOUWPUNT,30,558,
32,WORST Annemarie,NED,SEVEN RACING,31,555,
33,GARIBOLDI Rebecca,ITA,ALE COLNAGO TEAM,30,547,
34,GUNSALUS Elizabeth,USA,,23,527,
35,CUETO VEGA Sara,ESP,UNICAJA - GIJON,32,519,
36,ZEMANOVÁ Kristýna,CZE,,23,494,
37,PEETERS Jinse,BEL,DE CEUSTER - BOUWPUNT,27,483,
38,KAY Anna,GBR,,27,455,
39,MORICHON Anaïs,FRA,,27,450,
40,BRAMATI Lucia,ITA,FAS AIRPORT SERVICES - GUERCIOTTI,23,440,
41,BIALEK Antonina,POL,,28,433,
42,CUSACK Lidia,USA,CXD TREK BIKES,19,425,
43,CREES Xan,GBR,,26,424,
44,WOLFF Imogen,GBR,,20,408,
45,ZOERNER Lauren,USA,COMPETITIVE EDGE RACING,23,408,
46,BARONI Francesca,ITA,,27,405,
47,DESPREZ Lison,FRA,ACT CYCLING,19,404,
48,CRABBÉ Kiona,BEL,,25,404,
49,HOLMGREN Isabella,CAN,,21,402,
50,LOPEZ DE SAN ROMAN Vida,USA,,20,400,
51,PELLIZOTTI Giorgia,ITA,,18,399,
52,MEGALE Anna,USA,COMPETITIVE EDGE RACING,35,394,
53,KNOLL Nico,CAN,,19,391,
54,KRZYSTALA Zuzanna,POL,,36,383,
55,CLOUSE Katie,USA,,25,381,
56,CHLADOŇOVÁ Viktória,SVK,,20,370,
57,STERN Léa,SUI,,25,357,
58,NUSS Raylyn,USA,,35,354,
59,CABACA Mae,NED,,19,346,
60,HARTOG Larissa,NED,,25,344,
61,DOUDĚROVÁ Kateřina,CZE,,20,336,
62,DUTERNE Jeanne,FRA,,18,334,
63,MUSGRAVE Kaya,USA,PURE ENERGY DRINK / HARO BIKES BY COREGO,21,331,
64,GALLEZOT Electa,FRA,SEBMOTOBIKES CX TEAM,22,330,
65,VIDON Amandine,FRA,,26,320,
66,ASELTINE Mia,USA,COMPETITIVE EDGE RACING,22,319,
67,VOS Marianne,NED,,39,314,
