Category Name,Place,RacerID,First Name,Last Name,Team Name,Time,License,Carried Points,Scored Points,
Women Elite,1,190720,Fem,Van empel,,0:50:33,,179.09756463054,179.09756463054,
Women Elite,2,25756,Lucinda,Brand,,0:51:04,,203.69910099744,187.10044974004,
Women Elite,3,190944,Marie,Schreiber,,0:51:44,,226.77123822733,191.53010620028,
Women Elite,4,132483,Sara,Casasola,,0:52:00,,234.14031988073,195.95976266053,
Women Elite,5,112963,Ceylin,Del carmen alvarado,,0:52:14,,214.2501076451,200.38941912077,
Women Elite,6,163168,Kata blanka,Vas,,0:52:30,,220.59890215433,204.81907558102,
Women Elite,7,201564,Zoe jane,Backstedt,,0:52:43,,220.1240778755,209.24873204126,
Women Elite,8,112964,Inge,Van der heijden,,0:52:50,,216.42275433757,213.67838850151,
Women Elite,9,91351,Laura,Verdonschot,,0:53:04,,229.09205165112,218.10804496175,
Women Elite,10,84825,Annemarie,Worst,,0:53:13,,223.23585889973,222.537701422,
Women Elite,11,150479,Aniek,Van alphen,,0:53:20,,251.54682421622,226.96735788224,
Women Elite,12,162745,Amandine,Fouquenet,,0:53:24,,252.61950970033,231.39701434249,
Women Elite,13,154856,Marion,Norbert riberolle,,0:53:30,,249.93650778324,235.82667080273,
Women Elite,14,121947,Hélène,Clauzel,,0:53:41,,237.26240196515,240.25632726298,
Women Elite,15,196632,Leonie,Bentveld,,0:53:52,,231.31916376378,244.68598372322,
Women Elite,16,146956,Denise,Betsema,,0:53:58,,249.87898019709,249.11564018347,
Women Elite,17,205187,Fleur,Moors,,0:54:09,,285.73132720786,253.54529664371,
Women Elite,18,112961,Manon,Bakker,,0:54:50,,245.49366614796,257.97495310396,
Women Elite,19,18883,Sanne,Cant,,0:54:58,,262.65671862126,262.4046095642,
Women Elite,20,178359,Julie,Brouwers,,0:55:15,,292.04884295448,266.83426602445,
Women Elite,21,139698,Alicia,Franck,,0:55:51,,291.53013770136,271.26392248469,
Women Elite,22,60696,Lucia,Gonzalez blanco,,0:55:58,,288.64628027438,275.69357894493,
Women Elite,23,212767,Célia,Gery,,0:56:09,,285.77744111932,280.12323540518,
Women Elite,24,227563,Jamie,De beer,,0:56:13,,364.2037793116,284.55289186542,
Women Elite,25,169023,Sofia,Rodriguez revert,,0:56:19,,312.25076736079,288.98254832567,
Women Elite,26,132626,Anna,Kay,,0:56:30,,304.34737784313,293.41220478591,
Women Elite,27,164275,Larissa,Hartog,,0:56:36,,287.9965007032,297.84186124616,
Women Elite,28,132484,Francesca,Baroni,,0:56:53,,302.81017392087,302.2715177064,
Women Elite,29,201565,Xaydee,Van sinaey,,0:56:59,,309.06514452844,306.70117416665,
Women Elite,30,186747,Lucia,Bramati,,0:57:01,,333.02670824525,311.13083062689,
Women Elite,31,121946,Perrine,Clauzel,,0:57:09,,345.4186808264,315.56048708714,
Women Elite,32,129810,Jinse,Peeters,,0:57:17,,313.33913214949,319.99014354738,
Women Elite,33,168739,Kiona,Crabbé,,0:57:26,,317.36025874508,324.41980000763,
Women Elite,34,37812,Elisabeth,Brandau,,0:57:26,,310.74456615998,328.84945646787,
Women Elite,35,96745,Sidney,Mcgill,,0:57:55,,278.28683717079,333.27911292812,
Women Elite,36,196453,Electa,Gallezot,,0:57:57,,316.91465807196,337.70876938836,
Women Elite,37,169918,Sara,Cueto vega,,0:58:10,,320.61257030051,342.13842584861,
Women Elite,38,212179,Imogen,Wolff,,0:58:18,,311.51709509381,346.56808230885,
Women Elite,39,189956,Iris,Offerein,,0:58:37,,327.21370074117,350.99773876909,
Women Elite,40,182701,Maïté,Barthels,,0:59:19,,391.3725437624,355.42739522934,
Women Elite,41,196882,Nette,Coppens,,0:59:28,,361.21517332227,359.85705168958,
Women Elite,42,212173,Alexe,De raedemaeker,,0:59:53,,440.63980789893,364.28670814983,
Women Elite,43,149561,Xan,Crees,,1:00:13,,356.57737387478,368.71636461007,
Women Elite,44,178637,Camille,Devigne,,1:00:30,,385.12097242557,373.14602107032,
Women Elite,45,196998,Adèle,Hurteloup,,,,370.48863220936,377.57567753056,
Women Elite,46,212166,Shanyl,De schoesitter,,,,354.81593797883,382.00533399081,
Women Elite,47,161716,Alderney,Baker,,,,366.36991223929,386.43499045105,
Women Elite,48,169009,Judith,Krahl,,,,320.82065825262,390.8646469113,
Women Elite,49,212168,Puck,Langenbarg,,,,327.85227101727,395.29430337154,
Women Elite,50,212512,Kaija,Budde,,,,424.47154571715,399.72395983179,
Women Elite,51,212169,Ilken,Seynave,,,,450.1058363803,404.15361629203,
Women Elite,52,118814,Mia,Aseltine,,,,388.89826995206,408.58327275228,
Women Elite,53,192479,Lotte,Baele,,,,374.90834538226,413.01292921252,
Women Elite,54,201916,Elena,Day,,,,364.27547366118,417.44258567277,
Women Elite,55,202956,Nora,Fischer,,,,411.21190125506,421.87224213301,
Women Elite,56,197000,Layla,Barthels,,,,438.86255470312,426.30189859325,
Women Elite,57,212442,Rebecca,Woodvine,,,,438.75669198884,430.7315550535,
Women Elite,58,139176,Diana,Steffenhagen,,,,497.59917720021,435.16121151374,
