Category Name,Place,RacerID,First Name,Last Name,Team Name,Time,License,Carried Points,Scored Points,
Men Elite,1,36284,Michael,Vanthourenhout,,0:57:26,,140.26369193345,124.57680588976,
Men Elite,2,76111,Toon,Aerts,,0:57:27,515458,174.90171598542,127.91743104638,
Men Elite,3,155096,Felipe,Orts lloret,,0:57:27,,157.80119918404,131.258056203,
Men Elite,4,100271,Eli,Iserbyt,,0:57:28,542727,134.86156717085,134.59868135963,
Men Elite,5,161704,Joran,Wyseure,,0:57:35,,141.6179531993,137.93930651625,
Men Elite,6,159496,Pim,Ronhaar,,0:57:38,,123.62844635151,141.27993167287,
Men Elite,7,22180,Lars,Van der haar,,0:57:42,397787,119.19922063863,144.62055682949,
Men Elite,8,116009,Kevin,Kuhn,,0:58:06,588423,147.36406238248,147.96118198612,
Men Elite,9,36277,Laurens,Sweeck,,0:58:15,519294,148.21252287102,151.30180714274,
Men Elite,10,144676,Gerben,Kuypers,,0:58:24,,214.24301794032,154.64243229936,
Men Elite,11,174032,Victor,Van de putte,,0:58:25,,175.9775351063,157.98305745599,
Men Elite,12,146964,Mees,Hendrikx,,0:58:51,,174.7162666206,161.32368261261,
Men Elite,13,42395,Clement,Venturini,,0:58:58,,167.60613286992,164.66430776923,
Men Elite,14,21155,Jens,Adams,,0:59:05,,152.78630801679,168.00493292585,
Men Elite,15,153653,Cameron,Mason,,0:59:08,,160.42937182879,171.34555808248,
Men Elite,16,25979,David,Menut,,0:59:16,,163.10430467839,174.6861832391,
Men Elite,17,78126,Andrew,Strohmeyer,,0:59:23,390579,183.40391316866,178.02680839572,
Men Elite,18,76074,Daan,Soete,,0:59:57,515464,191.64285483418,181.36743355234,
Men Elite,19,76451,Kevin,Suarez fernandez,,1:00:03,588797,185.5468221953,184.70805870897,
Men Elite,20,174020,Ugo,Ananie,,1:00:24,,196.16652707936,188.04868386559,
Men Elite,21,155332,Michael,Boroš,,1:01:04,,158.35086527487,191.38930902221,
Men Elite,22,178684,Timothé,Gabriel,,1:01:14,,196.7434427026,194.72993417883,
Men Elite,23,169511,Gilles,Mottiez,,1:01:23,,197.42050852769,198.07055933546,
Men Elite,24,22194,Corne,Van kessel,,1:01:27,542728,185.48926192422,201.41118449208,
Men Elite,25,22521,Curtis,White,,1:01:28,234696,183.92685549371,204.7518096487,
Men Elite,26,129557,Valentin,Remondet,,1:01:28,,199.4065369117,208.09243480532,
Men Elite,27,180621,Lukas,Herrmann,,1:03:30,,216.02956659118,211.43305996195,
Men Elite,28,155363,Mario,Junquera san millan,,1:03:41,,190.69129568162,214.77368511857,
Men Elite,29,178643,Luca,Harter,,1:03:45,,243.77071894524,218.11431027519,
Men Elite,30,108711,Darnell,Moore�,,1:05:06,,255.98765059825,221.45493543181,
Men Elite,31,46688,Ben,Frederick,,1:06:13,324234,216.66672413416,224.79556058844,
Men Elite,32,153019,Frederick,Junge,,,521501,265.80613429599,228.13618574506,
Men Elite,33,169780,Richard,Barry,,,,203.44420309431,231.47681090168,
Men Elite,34,202931,Timothy,O regan,,,,210.53954462532,234.81743605831,
Men Elite,35,221726,Paul,O reilly,,,,220,238.15806121493,
Men Elite,36,212593,Ronan,O flynn,,,,220,241.49868637155,
Men Elite,DNF,174015,Thibau,Nys,,DNF,,146.49535449273,248.1799366848,
Men Junior,1,229482,Soren,Bruyere joumard,,0:39:01,,248.88512887504,214.94601278069,
Men Junior,2,227529,Giel,Lejeune,,0:39:13,,261.34682370215,218.88128914144,
Men Junior,3,218286,Lennes,Jacobs,,0:39:15,,275.10996684871,222.81656550219,
Men Junior,4,225758,Benjamin,Noval suarez,,0:39:16,,248.40103370758,226.75184186294,
Men Junior,5,218295,Mats,Vanden eynde,,0:39:34,,239.82011281638,230.6871182237,
