Category Name,Place,RacerID,First Name,Last Name,Team Name,Time,License,Carried Points,Scored Points,
Men Elite,1,36284,Michael,Vanthourenhout,,1:03:23,,140.2760486647,119.65742089621,
Men Elite,2,76111,Toon,Aerts,,1:03:34,515458,165.50485899761,122.16605998935,
Men Elite,3,174023,Emiel,Verstrynge,,1:03:53,,151.37414465812,124.67469908249,
Men Elite,4,159496,Pim,Ronhaar,,1:04:08,,125.09049705417,127.18333817563,
Men Elite,5,184967,Tibor,Del grosso,,1:04:21,,130.67011572262,129.69197726878,
Men Elite,6,36277,Laurens,Sweeck,,1:04:22,519294,142.32728874175,132.20061636192,
Men Elite,7,116009,Kevin,Kuhn,,1:04:28,588423,148.62844143306,134.70925545506,
Men Elite,8,184957,Jente,Michels,,1:04:31,,152.69001366093,137.2178945482,
Men Elite,9,161704,Joran,Wyseure,,1:04:43,,141.97373003157,139.72653364134,
Men Elite,10,22180,Lars,Van der haar,,1:05:02,397787,120.52350204074,142.23517273448,
Men Elite,11,174015,Thibau,Nys,,1:05:19,,153.70638572881,144.74381182762,
Men Elite,12,129684,Toon,Vandebosch,,1:05:24,,142.25841676711,147.25245092077,
Men Elite,13,149584,Thomas,Mein,,1:05:50,,174.95451973023,149.76109001391,
Men Elite,14,155096,Felipe,Orts lloret,,1:06:01,,157.31305298148,152.26972910705,
Men Elite,15,174032,Victor,Van de putte,,1:06:24,,168.09471667491,154.77836820019,
Men Elite,16,146962,Ryan,Kamp,,1:06:36,,170.53166078995,157.28700729333,
Men Elite,17,189997,Nathan,Bommenel,,1:06:41,,187.94531572113,159.79564638647,
Men Elite,18,76450,Gioele,Bertolini,,1:06:46,,175.6496838522,162.30428547961,
Men Elite,19,196596,Aaron,Dockx,,1:06:57,,171.39426221413,164.81292457276,
Men Elite,20,149619,Loris,Rouiller,,1:07:07,,186.68375035566,167.3215636659,
Men Elite,21,146964,Mees,Hendrikx,,1:07:13,,175.95223598533,169.83020275904,
Men Elite,22,184959,Danny,Van lierop,,1:07:19,,163.61973447629,172.33884185218,
Men Elite,23,145045,Ian,Ackert,,1:07:33,566538,189.9661685268,174.84748094532,
Men Elite,24,129557,Valentin,Remondet,,1:08:04,,192.92185521959,177.35612003846,
Men Elite,25,76074,Daan,Soete,,1:08:11,515464,175.47322580341,179.8647591316,
Men Elite,26,17146,Marcel,Meisen,,1:08:23,,177.84880085533,182.37339822475,
