Category Name,Place,RacerID,First Name,Last Name,Team Name,Time,License,Carried Points,Scored Points,
Men Elite,1,144667,Niels,Vandeputte,,0:57:55,,127.34377089293,119.19191676529,
Men Elite,2,155096,Felipe,Orts lloret,,0:58:04,,157.31305298148,121.31292029317,
Men Elite,3,159496,Pim,Ronhaar,,0:58:15,,125.09049705417,123.43392382105,
Men Elite,4,100271,Eli,Iserbyt,,0:58:31,,136.02052941485,125.55492734893,
Men Elite,5,153653,Cameron,Mason,,0:58:53,,162.89995851121,127.6759308768,
Men Elite,6,174023,Emiel,Verstrynge,,0:59:08,,151.37414465812,129.79693440468,
Men Elite,7,36284,Michael,Vanthourenhout,,0:59:25,,140.2760486647,131.91793793256,
Men Elite,8,76111,Toon,Aerts,,0:59:31,,165.50485899761,134.03894146044,
Men Elite,9,22180,Lars,Van der haar,,0:59:36,,120.52350204074,136.15994498832,
Men Elite,10,25979,David,Menut,,0:59:44,,166.76942935708,138.2809485162,
Men Elite,11,146964,Mees,Hendrikx,,0:59:50,,175.95223598533,140.40195204408,
Men Elite,12,22194,Corne,Van kessel,,0:59:59,,186.6234992047,142.52295557196,
Men Elite,13,21155,Jens,Adams,,1:00:02,,155.3389103134,144.64395909983,
Men Elite,14,149619,Loris,Rouiller,,1:00:20,,186.68375035566,146.76496262771,
Men Elite,15,36277,Laurens,Sweeck,,1:00:36,,142.32728874175,148.88596615559,
Men Elite,16,174015,Thibau,Nys,,1:01:04,,153.70638572881,151.00696968347,
Men Elite,17,146962,Ryan,Kamp,,1:01:05,,170.53166078995,153.12797321135,
Men Elite,18,129684,Toon,Vandebosch,,1:01:09,,142.25841676711,155.24897673923,
Men Elite,19,78126,Andrew,Strohmeyer,,1:01:10,,184.39607740486,157.36998026711,
Men Elite,20,76451,Kevin,Suarez fernandez,,1:01:19,,184.32439218624,159.49098379499,
Men Elite,21,155332,Michael,Boroš,,1:01:30,,160.72497633913,161.61198732287,
Men Elite,22,76450,Gioele,Bertolini,,1:01:37,,175.6496838522,163.73299085074,
Men Elite,23,161704,Joran,Wyseure,,1:01:48,,141.97373003157,165.85399437862,
Men Elite,24,116009,Kevin,Kuhn,,1:01:55,,148.62844143306,167.9749979065,
Men Elite,25,17478,Scott,Funston,,1:02:01,,191.05875251216,170.09600143438,
Men Elite,26,169511,Gilles,Mottiez,,1:02:14,,197.90691477846,172.21700496226,
Men Elite,27,178416,Lars,Sommer,,1:02:40,,188.88579079413,174.33800849014,
Men Elite,28,119088,Tony,Periou,,1:02:57,,183.60838299386,176.45901201802,
Men Elite,29,42395,Clement,Venturini,,1:03:11,,154.37266869632,178.5800155459,
Men Elite,30,174020,Ugo,Ananie,,1:03:22,,193.66085364995,180.70101907377,
Men Elite,31,149486,Cyprien,Gilles,,1:03:27,,209.60410007918,182.82202260165,
Men Elite,32,203425,Nicolas,Reculeau,,1:03:42,,184.71338944802,184.94302612953,
Men Elite,33,149637,Lorenzo,Marasco,,1:03:43,,198.22671345017,187.06402965741,
Men Elite,34,22210,Marek,Konwa,,1:04:30,,184.91105416559,189.18503318529,
Men Elite,35,178643,Luca,Harter,,1:05:00,,240.56366786148,191.30603671317,
Men Elite,36,178684,Timothé,Gabriel,,,,201.52812659595,193.42704024105,
Men Elite,37,155363,Mario,Junquera san millan,,,,191.55332091418,195.54804376893,
Men Elite,38,214099,Jonas,Köpsel,,,,216.55431449401,197.6690472968,
Men Elite,39,190897,Michael,Gaßner,,,,218.06829106014,199.79005082468,
Men Elite,40,30413,Cody,Scott,,,,228.50225160035,201.91105435256,
Men Elite,41,178378,Cristian,Calligaro,,,,226.87173284691,204.03205788044,
Men Elite,42,182702,Klaas,Groenen,,,,222.057942271,206.15306140832,
Men Elite,43,174021,Noé,Castille,,,,198.12595169452,208.2740649362,
Men Elite,44,180621,Lukas,Herrmann,,,,214.87513842756,210.39506846408,
Men Elite,45,146996,Federico,Ceolin,,,,213.97186303888,212.51607199196,
Men Elite,46,160632,Remon,Delnoije,,,,208.56163167817,214.63707551984,
Men Elite,47,136328,Jules,Van kempen,,,,226.38482461469,216.75807904771,
Men Elite,48,167652,Florian,Hamm,,,,217.08043996546,218.87908257559,
Men Elite,49,64247,Owen,Brenneman,,,,210.00179243216,221.00008610347,
Men Elite,50,169873,Florian,Anderle,,,,236.93253235274,223.12108963135,
Men Elite,51,102736,Evan,Russell,,,,207.17438964739,225.24209315923,
Men Elite,52,159515,Matteo,Oberteicher,,,,252.75689583031,227.36309668711,
Men Elite,53,181174,Filippo,Cecchi,,,,261.33403462649,229.48410021499,
Men Elite,54,117885,Nicola,Parenti,,,,255.07391232815,231.60510374287,
Men Elite,55,194988,Karl-erik,Rosendahl,,,,204.41715012353,233.72610727074,
Men Elite,56,170077,Nicolas,Conod,,,,267.41505544556,235.84711079862,
Men Elite,57,215722,Fabian,Merino,,,,288.85156953173,237.9681143265,
Men Elite,58,161660,Dries,Bruynseels,,,,274.17694051355,240.08911785438,
Men Elite,59,163571,Tetsuki,Kaji,,,,270.12082730964,242.21012138226,
Men Elite,60,114955,Philipp,Heigl,,,,251.32319919962,244.33112491014,
Men Elite,61,182063,Yuta,Okayama,,,,245.59992452676,248.5731319659,
Men Elite,61,174032,Victor,Van de putte,,DNF,,168.09471667491,246.45212843802,
Men Elite,62,149584,Thomas,Mein,,DNF,,174.95451973023,250.69413549378,
Men Elite,63,197003,Luke,Wiedmann,,DNF,,204.45102322531,252.81513902165,
Men Elite,64,26685,Eric,Brunner,,DNF,,170.10179531769,254.93614254953,
Men Elite,65,46688,Ben,Frederick,,DNF,,217.29201924603,257.05714607741,
Men Elite,66,161955,Gunnar,Holmgren,,DNS,,183.9703314698,259.17814960529,
Men Elite,67,145937,Filip,Stark,,DNS,,269.58480055306,261.29915313317,
Men Junior,1,227529,Giel,Lejeune,,0:39:00,,257.48632056027,218.06218109066,
Men Junior,2,219925,Mattia,Agostinacchio,,0:39:22,,243.92063196043,219.85474618622,
Men Junior,3,220838,Arthur,Van den boer,,0:39:24,,244.47251119433,221.64731128177,
Men Junior,4,230046,Michal,ŠICHTA,,0:39:48,,290.68670836337,223.43987637732,
Men Junior,5,226833,Cas,Timmermans,,0:39:49,,267.67239562421,225.23244147287,
Men Junior,6,219893,Valentin,Hofer,,0:40:03,,253.5447263442,227.02500656842,
Men Junior,7,217763,Oscar,Amey,,0:40:03,,276.23644736755,228.81757166397,
Men Junior,8,218286,Lennes,Jacobs,,0:40:35,,269.05181890174,230.61013675952,
Men Junior,9,219924,Ettore,Fabbro,,0:40:48,,249.48942744862,232.40270185507,
Men Junior,10,229482,Soren,Bruyere joumard,,0:40:51,,245.11411597567,234.19526695062,
Men Junior,11,229633,Filippo,Grigolini,,0:40:51,,246.34254716541,235.98783204618,
Men Junior,12,227375,Milo,Wills,,0:40:58,,268.54532333402,237.78039714173,
Men Junior,13,218910,Keano,Geens,,0:40:59,,267.18612088116,239.57296223728,
Men Junior,14,220640,Soan,Ruesche,,0:41:08,,256.2389209186,241.36552733283,
Men Junior,15,218314,Michiel,Mouris,,0:41:19,,242.8140780844,243.15809242838,
Men Junior,16,225758,Benjamin,Noval suarez,,0:41:25,,244.58552278966,244.95065752393,
Men Junior,17,124337,Aidan,Vollmuth,,0:41:27,,276.16653891235,246.74322261948,
Men Junior,18,218319,Florian,Fery,,0:41:32,,265.53291104992,248.53578771503,
