Category Name,Place,RacerID,First Name,Last Name,Team Name,Time,License,Carried Points,Scored Points,
Men Elite,1,76053,Mathieu,Van der poel,,1:00:39,,101.69184206441,101.69184206441,
Men Elite,2,174015,Thibau,Nys,,1:02:09,,153.06620187873,119.7225451915,
Men Elite,3,161704,Joran,Wyseure,,1:02:12,,139.74998601964,121.96470383698,
Men Elite,4,76111,Toon,Aerts,,1:02:20,,158.28172582957,124.20686248246,
Men Elite,5,22180,Lars,Van der haar,,1:02:26,,121.82047049934,126.44902112794,
Men Elite,6,36277,Laurens,Sweeck,,1:02:31,,137.39244299734,128.69117977342,
Men Elite,7,144667,Niels,Vandeputte,,1:02:37,,127.26398468346,130.9333384189,
Men Elite,8,100271,Eli,Iserbyt,,1:03:01,,144.8773979105,133.17549706438,
Men Elite,9,21155,Jens,Adams,,1:03:09,,154.71115825801,135.41765570986,
Men Elite,10,36284,Michael,Vanthourenhout,,1:03:16,,139.92612841725,137.65981435534,
Men Elite,11,159496,Pim,Ronhaar,,1:03:24,,126.08925586868,139.90197300082,
Men Elite,12,146964,Mees,Hendrikx,,1:03:47,,175.6640955169,142.1441316463,
Men Elite,13,146962,Ryan,Kamp,,1:03:52,,171.52974726533,144.38629029178,
Men Elite,14,116009,Kevin,Kuhn,,1:04:02,,147.90226212847,146.62844893726,
Men Elite,15,174032,Victor,Van de putte,,1:04:05,,166.46972916835,148.87060758274,
Men Elite,16,155332,Michael,Boroš,,1:04:19,,170.69215376513,151.11276622822,
Men Elite,17,153653,Cameron,Mason,,1:04:31,,165.96359065988,153.3549248737,
Men Elite,18,22194,Corne,Van kessel,,1:05:31,,191.47162184685,155.59708351918,
Men Elite,19,174023,Emiel,Verstrynge,,1:05:42,,149.17132947741,157.83924216466,
Men Elite,20,25979,David,Menut,,1:05:53,,167.06017954096,160.08140081014,
Men Elite,21,197003,Luke,Wiedmann,,1:05:57,,203.47557919433,162.32355945562,
Men Elite,22,129684,Toon,Vandebosch,,1:06:04,,142.59736014708,164.5657181011,
Men Elite,23,155096,Felipe,Orts lloret,,1:06:10,,158.57822397838,166.80787674658,
Men Elite,24,17146,Marcel,Meisen,,1:06:13,,178.68090628757,169.05003539206,
Men Elite,25,42395,Clement,Venturini,,1:06:22,,152.85588598732,171.29219403754,
Men Elite,26,76450,Gioele,Bertolini,,1:06:51,,175.71642416802,173.53435268301,
Men Elite,27,178684,Timothé,Gabriel,,1:07:07,,194.24695842231,175.77651132849,
Men Elite,28,17478,Scott,Funston,,1:07:07,,191.81495361073,178.01866997397,
Men Elite,29,22210,Marek,Konwa,,1:07:16,,184.91105416559,180.26082861945,
Men Elite,30,76451,Kevin,Suarez fernandez,,1:07:39,,182.40220260829,182.50298726493,
Men Elite,31,169511,Gilles,Mottiez,,1:08:08,,197.67305338887,184.74514591041,
Men Elite,32,162781,Théo,Thomas,,1:08:30,,175.34731156551,186.98730455589,
Men Elite,33,178416,Lars,Sommer,,,,185.30554807799,189.22946320137,
Men Elite,34,78126,Andrew,Strohmeyer,,,,183.07167709282,191.47162184685,
Men Elite,35,182725,Nicolas,Bard,,,,232.58006589726,193.71378049233,
Men Elite,36,161955,Gunnar,Holmgren,,,,183.9703314698,195.95593913781,
Men Elite,37,149486,Cyprien,Gilles,,,,209.60410007918,198.19809778329,
Men Elite,38,155363,Mario,Junquera san millan,,,,194.27145250407,200.44025642877,
Men Elite,39,146996,Federico,Ceolin,,,,214.9762630179,202.68241507425,
Men Elite,40,149637,Lorenzo,Marasco,,,,197.07670822089,204.92457371973,
Men Elite,41,160632,Remon,Delnoije,,,,208.56163167817,207.16673236521,
Men Elite,42,26685,Eric,Brunner,,,,169.58915616832,209.40889101069,
Men Elite,43,178378,Cristian,Calligaro,,,,226.87173284691,211.65104965617,
Men Elite,44,180621,Lukas,Herrmann,,,,213.90554596032,213.89320830165,
Men Elite,45,167652,Florian,Hamm,,,,217.08043996546,216.13536694713,
Men Elite,46,119088,Tony,Periou,,,,183.60838299386,218.37752559261,
Men Elite,47,136328,Jules,Van kempen,,,,224.50562185887,220.61968423809,
Men Elite,48,214099,Jonas,Köpsel,,,,217.3608364337,222.86184288357,
Men Elite,49,178643,Luca,Harter,,,,242.33507726125,225.10400152905,
Men Elite,50,203425,Nicolas,Reculeau,,,,167.30038528573,227.34616017453,
Men Elite,51,190897,Michael,Gaßner,,,,218.06829106014,229.58831882001,
