Category Name,Place,RacerID,First Name,Last Name,Team Name,Time,License,Carried Points,Scored Points,
Men Elite,1,76053,Mathieu,Van der poel,,1:05:29,,101.69184206441,101.69184206441,
Men Elite,2,36284,Michael,Vanthourenhout,,1:05:55,,139.92612841725,118.26397896892,
Men Elite,3,174015,Thibau,Nys,,1:06:10,,153.06620187873,120.10121155955,
Men Elite,4,22180,Lars,Van der haar,,1:06:24,,121.82047049934,121.93844415017,
Men Elite,5,174023,Emiel,Verstrynge,,1:07:01,,149.17132947741,123.7756767408,
Men Elite,6,144667,Niels,Vandeputte,,1:07:17,,127.26398468346,125.61290933142,
Men Elite,7,184967,Tibor,Del grosso,,1:07:19,,130.54784841589,127.45014192205,
Men Elite,8,153653,Cameron,Mason,,1:07:21,,165.96359065988,129.28737451267,
Men Elite,9,161704,Joran,Wyseure,,1:07:35,,139.74998601964,131.1246071033,
Men Elite,10,76111,Toon,Aerts,,1:07:53,,158.28172582957,132.96183969392,
Men Elite,11,22194,Corne,Van kessel,,1:08:10,,191.47162184685,134.79907228455,
Men Elite,12,159496,Pim,Ronhaar,,1:08:15,,126.08925586868,136.63630487517,
Men Elite,13,155332,Michael,Boroš,,1:08:19,,170.69215376513,138.4735374658,
Men Elite,14,129684,Toon,Vandebosch,,1:08:35,,142.59736014708,140.31077005642,
Men Elite,15,149584,Thomas,Mein,,1:08:47,,173.47255327633,142.14800264704,
Men Elite,16,25979,David,Menut,,1:08:52,,167.06017954096,143.98523523767,
Men Elite,17,21155,Jens,Adams,,1:08:57,,154.71115825801,145.82246782829,
Men Elite,18,184957,Jente,Michels,,1:09:24,,151.8405648443,147.65970041892,
Men Elite,19,155096,Felipe,Orts lloret,,1:09:45,,158.57822397838,149.49693300954,
Men Elite,20,146964,Mees,Hendrikx,,1:10:00,,175.6640955169,151.33416560017,
Men Elite,21,162781,Théo,Thomas,,1:10:11,,175.34731156551,153.17139819079,
Men Elite,22,145045,Ian,Ackert,,1:10:34,,188.26113439872,155.00863078142,
Men Elite,23,76450,Gioele,Bertolini,,1:10:49,,175.71642416802,156.84586337204,
