Category Name,Place,RacerID,First Name,Last Name,Team Name,Time,License,Carried Points,Scored Points,
Men Elite,1,76053,Mathieu,Van der poel,,1:04:57,,102.81152431287,102.81152431287,
Men Elite,2,76111,Toon,Aerts,,1:05:17,,148.98866651269,120.00383764501,
Men Elite,3,144667,Niels,Vandeputte,,1:05:33,,127.77893674842,122.17395621138,
Men Elite,4,100271,Eli,Iserbyt,,1:05:46,,151.97352792351,124.34407477775,
Men Elite,5,161704,Joran,Wyseure,,1:05:55,,139.11611113407,126.51419334412,
Men Elite,6,149584,Thomas,Mein,,1:06:07,,178.52033607952,128.6843119105,
Men Elite,7,36284,Michael,Vanthourenhout,,1:06:14,,134.19990890431,130.85443047687,
Men Elite,8,116009,Kevin,Kuhn,,1:06:23,,151.91166135139,133.02454904324,
Men Elite,9,155332,Michael,Boroš,,1:06:32,,173.20161916948,135.19466760961,
Men Elite,10,155096,Felipe,Orts lloret,,1:06:41,,158.39540155986,137.36478617598,
Men Elite,11,174023,Emiel,Verstrynge,,1:07:02,,151.72736821083,139.53490474236,
Men Elite,12,100270,Joshua,Dubau,,1:07:07,,149.46395322464,141.70502330873,
Men Elite,13,42395,Clement,Venturini,,1:07:11,,158.57755046908,143.8751418751,
Men Elite,14,22194,Corne,Van kessel,,1:07:18,,182.31704725139,146.04526044147,
Men Elite,15,146964,Mees,Hendrikx,,1:07:23,,162.54608662911,148.21537900784,
Men Elite,16,21155,Jens,Adams,,1:07:30,,153.81145917815,150.38549757422,
Men Elite,17,129684,Toon,Vandebosch,,1:07:46,,145.98815353769,152.55561614059,
Men Elite,18,36277,Laurens,Sweeck,,1:08:06,,138.00506342767,154.72573470696,
Men Elite,19,159496,Pim,Ronhaar,,1:08:18,,128.36234423976,156.89585327333,
Men Elite,20,17478,Scott,Funston,,1:08:25,,191.52141258918,159.06597183971,
Men Elite,21,25979,David,Menut,,1:08:37,,162.49965060275,161.23609040608,
Men Elite,22,178679,Martin,Groslambert,,1:08:42,,167.03017205213,163.40620897245,
Men Elite,23,60662,Fabien,Doubey,,1:08:57,,168.95764025738,165.57632753882,
Men Elite,24,108208,Lander,Loockx,,1:09:03,,151.64572299684,167.74644610519,
Men Elite,25,146962,Ryan,Kamp,,1:09:06,,169.38785532329,169.91656467157,
Men Elite,26,197003,Luke,Wiedmann,,1:09:20,,213.28403304656,172.08668323794,
Men Elite,27,149619,Loris,Rouiller,,1:09:29,,185.2195166744,174.25680180431,
Men Elite,28,203425,Nicolas,Reculeau,,1:09:49,,184.56816688811,176.42692037068,
Men Elite,29,76451,Kevin,Suarez fernandez,,1:09:56,,177.84460040524,178.59703893705,
Men Elite,30,162800,Damien,Beton,,1:10:26,,179.21726775546,180.76715750343,
Men Elite,31,178416,Lars,Sommer,,1:10:41,,183.25594764197,182.9372760698,
Men Elite,32,100269,Lucas,Dubau,,1:10:44,,178.96047904246,185.10739463617,
Men Elite,33,178684,Timothé,Gabriel,,1:11:04,,185.1751228005,187.27751320254,
Men Elite,34,76450,Gioele,Bertolini,,1:11:09,,178.29548495756,189.44763176892,
Men Elite,35,22210,Marek,Konwa,,1:11:12,,184.88892201698,191.61775033529,
Men Elite,36,41813,Lars,Forster,,1:11:15,,220,193.78786890166,
Men Elite,37,26685,Eric,Brunner,,1:11:25,,177.92359002058,195.95798746803,
Men Elite,38,178677,Rémi,Lelandais,,1:11:37,,178.77152179192,198.1281060344,
Men Elite,39,146996,Federico,Ceolin,,1:11:46,,211.72344562018,200.29822460078,
Men Elite,40,129557,Valentin,Remondet,,1:11:53,,191.43965754216,202.46834316715,
Men Elite,41,182725,Nicolas,Bard,,1:12:14,,220.13716766148,204.63846173352,
Men Elite,42,121976,Quentin,Navarro,,1:12:30,,269.88149653599,206.80858029989,
Men Elite,43,22521,Curtis,White,,1:13:27,,185.30230404954,208.97869886626,
Men Elite,44,214099,Jonas,Köpsel,,,,214.18088305415,211.14881743264,
Men Elite,45,64247,Owen,Brenneman,,,,211.50701468139,213.31893599901,
Men Elite,46,178378,Cristian,Calligaro,,,,220.478603463,215.48905456538,
Men Elite,47,155363,Mario,Junquera san millan,,,,194.43603598445,217.65917313175,
Men Elite,48,136328,Jules,Van kempen,,,,224.14106799445,219.82929169812,
Men Elite,49,46688,Ben,Frederick,,,,223.2738767745,221.9994102645,
Men Elite,50,159515,Matteo,Oberteicher,,,,246.37536393715,224.16952883087,
Men Elite,51,170076,Simon,Maillefer,,,,243.04137171571,226.33964739724,
Men Elite,52,114955,Philipp,Heigl,,,,244.98051886793,228.50976596361,
Men Elite,53,166102,Samuele silla,Gilioli,,,,268.10404343881,230.67988452999,
Men Elite,54,195041,Simone,Zecchini,,,,216.75285708793,232.85000309636,
Men Elite,55,152006,Marco,Marzani,,,,254.17119487718,235.02012166273,
Men Elite,56,182060,Raito,Suzuki,,,,196.6265907489,237.1902402291,
Men Elite,57,153900,Gabriele,Spadoni,,,,279.93751292798,239.36035879547,
Men Elite,57,78126,Andrew,Strohmeyer,,DNF,,182.48285024522,241.53047736185,
Men Junior,1,229482,Soren,Bruyere joumard,,0:43:46,,239.5940099704,211.47064136598,
Men Junior,2,220838,Arthur,Van den boer,,0:43:56,,246.73119698822,213.29851264358,
Men Junior,3,217763,Oscar,Amey,,0:44:00,,272.57936914275,215.12638392117,
Men Junior,4,219169,Théophile,Vassal,,0:44:08,,237.61746967496,216.95425519877,
Men Junior,5,226833,Cas,Timmermans,,0:44:14,,260.04176256838,218.78212647636,
Men Junior,6,227375,Milo,Wills,,0:44:17,,264.23038785885,220.60999775395,
Men Junior,7,219893,Valentin,Hofer,,0:44:24,,250.40324564457,222.43786903155,
Men Junior,8,218915,Rick,Versloot,,0:44:25,,275.30428650854,224.26574030914,
Men Junior,9,218319,Florian,Fery,,0:44:38,,251.42790192282,226.09361158674,
Men Junior,10,220640,Soan,Ruesche,,0:44:39,,252.03316035699,227.92148286433,
Men Junior,11,229483,Soen,Le pann,,0:44:39,,279.74537152182,229.74935414193,
Men Junior,12,218286,Lennes,Jacobs,,0:44:51,,266.63761861239,231.57722541952,
Men Junior,13,219925,Mattia,Agostinacchio,,0:44:53,,240.09397585248,233.40509669711,
Men Junior,14,219722,Kryštof,BAŽANT,,0:44:54,,243.66216112969,235.23296797471,
Men Junior,15,225758,Benjamin,Noval suarez,,0:45:00,,241.67704626309,237.0608392523,
Men Junior,16,223470,Conor,Murphy,,0:45:14,,275.97663318728,238.8887105299,
Men Junior,17,120650,Benjamin,Bravman,,0:45:17,,265.79493870228,240.71658180749,
Men Junior,18,227529,Giel,Lejeune,,0:45:19,,251.21260819869,242.54445308509,
Men Junior,19,218295,Mats,Vanden eynde,,0:45:20,,239.16775776841,244.37232436268,
