Category Name,Place,RacerID,First Name,Last Name,Team Name,Time,License,Carried Points,Scored Points,
Men Elite,1,76073,Wout,Van aert,,1:02:49,,108.09671218847,108.09671218847,
Men Elite,2,174023,Emiel,Verstrynge,,1:04:09,,144.67543051534,122.80584230121,
Men Elite,3,161704,Joran,Wyseure,,1:04:30,,140.15604689448,124.86226490421,
Men Elite,4,76111,Toon,Aerts,,1:04:41,,145.12525752891,126.91868750722,
Men Elite,5,36284,Michael,Vanthourenhout,,1:05:13,,141.34294505441,128.97511011022,
Men Elite,6,159496,Pim,Ronhaar,,1:05:32,,135.19484197604,131.03153271323,
Men Elite,7,116009,Kevin,Kuhn,,1:05:38,,152.3158056966,133.08795531623,
Men Elite,8,174015,Thibau,Nys,,1:06:03,,136.934138706,135.14437791924,
Men Elite,9,153653,Cameron,Mason,,1:06:04,,165.45183344386,137.20080052225,
Men Elite,10,146964,Mees,Hendrikx,,1:06:24,,161.81277339953,139.25722312525,
Men Elite,11,100271,Eli,Iserbyt,,1:06:35,,142.06325955794,141.31364572826,
Men Elite,12,155096,Felipe,Orts lloret,,1:06:41,,154.82986433696,143.37006833126,
Men Elite,13,129684,Toon,Vandebosch,,1:06:43,,146.22740139876,145.42649093427,
Men Elite,14,100270,Joshua,Dubau,,1:06:43,,144.13778516625,147.48291353727,
Men Elite,15,155332,Michael,Boroš,,1:06:58,,171.19994891629,149.53933614028,
Men Elite,16,146962,Ryan,Kamp,,1:07:21,,169.01023486632,151.59575874329,
Men Elite,17,22194,Corne,Van kessel,,1:07:40,,175.94475597594,153.65218134629,
Men Elite,18,178416,Lars,Sommer,,1:07:44,,182.86141751036,155.7086039493,
Men Elite,19,22180,Lars,Van der haar,,1:07:55,,126.68171459954,157.7650265523,
Men Elite,20,213267,Stefano,Viezzi,,1:08:02,,195.38196514728,159.82144915531,
Men Elite,21,202394,Viktor,Vandenberghe,,1:08:19,,187.91529850543,161.87787175831,
Men Elite,22,144674,Anton,Ferdinande,,1:08:53,,181.08413331166,163.93429436132,
Men Elite,23,144667,Niels,Vandeputte,,1:08:59,,126.42421609856,165.99071696433,
Men Elite,24,202402,Sil,De brauwere,,1:09:15,,194.17930166553,168.04713956733,
Men Elite,25,212136,Senna,Remijn,,1:10:19,,184.41377161071,170.10356217034,
Men Elite,26,22521,Curtis,White,,,,186.870542532,172.15998477334,
Men Elite,27,42395,Clement,Venturini,,,,157.17774159549,174.21640737635,
Men Elite,28,178679,Martin,Groslambert,,,,161.23992790004,176.27282997936,
Men Elite,29,216121,Eike,Behrens,,,,215.4065140512,178.32925258236,
Men Elite,30,212539,Zsombor,Takács,,,,229.54266603585,180.38567518537,
Men Elite,31,178677,Rémi,Lelandais,,,,181.53674811227,182.44209778837,
Men Elite,32,162800,Damien,Beton,,,,173.79570382614,184.49852039138,
Men Elite,33,196500,Silas,Kuschla,,,,211.52065620943,186.55494299438,
Men Elite,34,76450,Gioele,Bertolini,,,,181.98437052807,188.61136559739,
Men Elite,35,189855,Matyáš,Fiala,,,,193.4091911123,190.6677882004,
Men Elite,36,202345,František,Hojka,,,,212.21553905168,192.7242108034,
Men Elite,37,148352,Maxime,St-onge,,,,233.91347417168,194.78063340641,
Men Elite,38,178643,Luca,Harter,,,,235.29740535739,196.83705600941,
Men Elite,39,125765,Dylan,Zakrajsek,,,,204.69263402368,198.89347861242,
Men Elite,40,184962,Bailey,Groenendaal,,,,193.16476871683,200.94990121542,
Men Elite,41,178684,Timothé,Gabriel,,,,183.03766283431,203.00632381843,
Men Elite,42,212183,Barnabás,Vas,,,,209.32779605921,205.06274642144,
Men Elite,43,212137,Floris,Haverdings,,,,264.49351709383,207.11916902444,
Men Elite,44,180621,Lukas,Herrmann,,,,207.08472722085,209.17559162745,
Men Elite,45,35389,Noah,Shelton,,,,245.8618845265,211.23201423045,
