Category Name,Place,RacerID,First Name,Last Name,Team Name,Time,License,Carried Points,Scored Points,
Men Elite,1,174015,Thibau,Nys,,0:56:31,,135.84830623218,113.63537100909,
Men Elite,2,100271,Eli,Iserbyt,,0:56:34,,142.3193619279,115.93323487032,
Men Elite,3,22180,Lars,Van der haar,,0:56:35,,128.97200036614,118.23109873155,
Men Elite,4,76073,Wout,Van aert,,0:56:37,,107.86574348972,120.52896259277,
Men Elite,5,36284,Michael,Vanthourenhout,,0:56:41,,136.24570872789,122.826826454,
Men Elite,6,155096,Felipe,Orts lloret,,0:56:43,,148.34257382082,125.12469031523,
Men Elite,7,144667,Niels,Vandeputte,,0:56:46,,126.99409759204,127.42255417646,
Men Elite,8,91571,Joris,Nieuwenhuis,,0:56:49,,119.45778843649,129.72041803768,
Men Elite,9,174023,Emiel,Verstrynge,,0:56:54,,143.40859061746,132.01828189891,
Men Elite,10,100270,Joshua,Dubau,,0:56:56,,143.8182538621,134.31614576014,
Men Elite,11,42395,Clement,Venturini,,0:57:06,,156.14840271138,136.61400962136,
Men Elite,12,21155,Jens,Adams,,0:57:10,,155.10690603555,138.91187348259,
Men Elite,13,116009,Kevin,Kuhn,,0:57:15,,150.74097564269,141.20973734382,
Men Elite,14,76111,Toon,Aerts,,0:57:17,,139.20032538554,143.50760120504,
Men Elite,15,161704,Joran,Wyseure,,0:57:20,,139.04039199152,145.80546506627,
Men Elite,16,129684,Toon,Vandebosch,,0:57:26,,148.12459173168,148.1033289275,
Men Elite,17,178679,Martin,Groslambert,,0:57:32,,162.43738094262,150.40119278873,
Men Elite,18,76450,Gioele,Bertolini,,0:57:37,,180.66183026233,152.69905664995,
Men Elite,19,149584,Thomas,Mein,,0:57:44,,179.0343049842,154.99692051118,
Men Elite,20,146964,Mees,Hendrikx,,0:57:54,,159.01743659828,157.29478437241,
Men Elite,21,36277,Laurens,Sweeck,,0:57:55,,135.48686161973,159.59264823363,
Men Elite,22,159496,Pim,Ronhaar,,0:57:56,,134.29929908763,161.89051209486,
Men Elite,23,153653,Cameron,Mason,,0:57:57,,161.04513887315,164.18837595609,
Men Elite,24,146962,Ryan,Kamp,,0:58:10,,166.46167466189,166.48623981732,
Men Elite,25,159497,Witse,Meeussen,,0:58:14,,167.58162318965,168.78410367854,
Men Elite,26,22194,Corne,Van kessel,,0:58:21,,170.81827803281,171.08196753977,
Men Elite,27,155332,Michael,Boroš,,0:58:23,,171.08196753977,173.379831401,
