Category Name,Place,RacerID,First Name,Last Name,Team Name,Time,License,Carried Points,Scored Points,
Men Elite,1,76053,Mathieu,Van der poel,,0:57:51,,104.20839044081,103.80311177669,
Men Elite,2,76073,Wout,Van aert,,0:59:05,,107.86574348972,105.98990921424,
Men Elite,3,91571,Joris,Nieuwenhuis,,0:59:44,,119.45778843649,108.17670665178,
Men Elite,4,161704,Joran,Wyseure,,0:59:56,,139.04039199152,110.36350408933,
Men Elite,5,76111,Toon,Aerts,,1:00:07,,139.20032538554,112.55030152688,
Men Elite,6,36284,Michael,Vanthourenhout,,1:00:45,,136.24570872789,114.73709896442,
Men Elite,7,22180,Lars,Van der haar,,1:01:03,,128.97200036614,116.92389640197,
Men Elite,8,36277,Laurens,Sweeck,,1:01:15,,135.48686161973,119.11069383951,
Men Elite,9,116009,Kevin,Kuhn,,1:01:27,,150.74097564269,121.29749127706,
Men Elite,10,149584,Thomas,Mein,,1:01:28,,179.0343049842,123.48428871461,
Men Elite,11,174023,Emiel,Verstrynge,,1:01:28,,143.40859061746,125.67108615215,
Men Elite,12,153653,Cameron,Mason,,1:01:31,,161.04513887315,127.8578835897,
Men Elite,13,146964,Mees,Hendrikx,,1:01:46,,159.01743659828,130.04468102725,
Men Elite,14,174032,Victor,Van de putte,,1:02:00,,170.60615273261,132.23147846479,
Men Elite,15,155096,Felipe,Orts lloret,,1:02:04,,148.34257382082,134.41827590234,
Men Elite,16,17146,Marcel,Meisen,,1:02:07,,181.27920851417,136.60507333988,
Men Elite,17,21155,Jens,Adams,,1:02:27,,155.10690603555,138.79187077743,
Men Elite,18,100271,Eli,Iserbyt,,1:02:39,,142.3193619279,140.97866821498,
Men Elite,19,155332,Michael,Boroš,,1:02:45,,171.08196753977,143.16546565252,
Men Elite,20,42395,Clement,Venturini,,1:03:02,,156.14840271138,145.35226309007,
Men Elite,21,146962,Ryan,Kamp,,1:03:15,,166.46167466189,147.53906052762,
Men Elite,22,189997,Nathan,Bommenel,,1:03:22,,186.90141440345,149.72585796516,
Men Elite,23,202059,David,Haverdings,,1:03:25,,181.27304973129,151.91265540271,
Men Elite,24,178679,Martin,Groslambert,,1:03:30,,162.43738094262,154.09945284025,
Men Elite,25,76450,Gioele,Bertolini,,1:03:48,,180.66183026233,156.2862502778,
Men Elite,26,17478,Scott,Funston,,1:04:01,,193.07047653686,158.47304771535,
Men Elite,27,22210,Marek,Konwa,,1:04:06,,183.44352875669,160.65984515289,
Men Elite,28,144674,Anton,Ferdinande,,1:04:21,,170.98931549587,162.84664259044,
Men Elite,29,76451,Kevin,Suarez fernandez,,1:04:50,,180.68774907847,165.03344002799,
Men Elite,30,201994,Václav,Ježek,,1:05:02,,189.42243411896,167.22023746553,
Men Elite,31,196497,Maximilian,Kerl,,1:05:14,,208.83488282649,169.40703490308,
Men Elite,32,212183,Barnabás,Vas,,1:05:20,,197.8145720558,171.59383234063,
Men Elite,33,184959,Danny,Van lierop,,1:05:20,,176.98065608594,173.78062977817,
Men Elite,34,155363,Mario,Junquera san millan,,1:05:21,,188.80002846492,175.96742721572,
Men Elite,35,26685,Eric,Brunner,,1:05:26,,179.69954987738,178.15422465326,
Men Elite,36,22194,Corne,Van kessel,,1:05:38,,170.81827803281,180.34102209081,
