Category Name,Place,RacerID,First Name,Last Name,Team Name,Time,License,Carried Points,Scored Points,
Men Elite,1,76053,Mathieu,Van der poel,,0:57:00,,101.85179667133,101.85179667133,
Men Elite,2,36284,Michael,Vanthourenhout,,0:58:42,,137.04180606453,116.62845479672,
Men Elite,3,22180,Lars,Van der haar,,0:58:57,,128.57390421775,118.73460877768,
Men Elite,4,76111,Toon,Aerts,,0:59:21,,139.46953012426,120.84076275864,
Men Elite,5,161704,Joran,Wyseure,,0:59:28,,138.58064553808,122.9469167396,
Men Elite,6,100271,Eli,Iserbyt,,0:59:33,,142.23490048953,125.05307072055,
Men Elite,7,174023,Emiel,Verstrynge,,0:59:41,,143.45678244491,127.15922470151,
Men Elite,8,91571,Joris,Nieuwenhuis,,0:59:43,,116.87018278095,129.26537868247,
Men Elite,9,21155,Jens,Adams,,0:59:51,,154.04311669614,131.37153266343,
Men Elite,10,146962,Ryan,Kamp,,1:00:02,,167.93789860289,133.47768664438,
Men Elite,11,159496,Pim,Ronhaar,,1:00:27,,135.03258931906,135.58384062534,
Men Elite,12,60662,Fabien,Doubey,,1:00:30,,154.09322702837,137.6899946063,
Men Elite,13,42395,Clement,Venturini,,1:00:47,,156.36723027279,139.79614858725,
Men Elite,14,155096,Felipe,Orts lloret,,1:01:00,,148.16927523809,141.90230256821,
Men Elite,15,146964,Mees,Hendrikx,,1:01:14,,155.12979221381,144.00845654917,
Men Elite,16,100270,Joshua,Dubau,,1:01:18,,141.91783224171,146.11461053013,
Men Elite,17,155332,Michael,Boroš,,1:01:23,,172.65902442812,148.22076451108,
Men Elite,18,129684,Toon,Vandebosch,,1:01:26,,149.24525285278,150.32691849204,
Men Elite,19,149584,Thomas,Mein,,1:01:27,,177.6988947357,152.433072473,
Men Elite,20,116009,Kevin,Kuhn,,1:01:42,,150.01005454177,154.53922645395,
Men Elite,21,17146,Marcel,Meisen,,1:01:49,,180.66141819005,156.64538043491,
Men Elite,22,159497,Witse,Meeussen,,1:02:07,,169.53007485025,158.75153441587,
Men Elite,23,144667,Niels,Vandeputte,,1:02:18,,126.55103317082,160.85768839683,
Men Elite,24,17478,Scott,Funston,,1:02:38,,193.68451585158,162.96384237778,
Men Elite,25,153653,Cameron,Mason,,1:02:58,,159.34455100406,165.06999635874,
Men Elite,26,22194,Corne,Van kessel,,1:03:24,,170.31848788882,167.1761503397,
Men Elite,27,194005,Clement,Horny,,1:03:31,,170.2740211721,169.28230432065,
Men Elite,28,76450,Gioele,Bertolini,,1:03:40,,175.84272941259,171.38845830161,
Men Elite,29,178679,Martin,Groslambert,,1:03:42,,162.66555629961,173.49461228257,
Men Elite,30,169511,Gilles,Mottiez,,1:03:44,,189.35071075234,175.60076626353,
Men Elite,31,149486,Cyprien,Gilles,,1:03:48,,187.83889657084,177.70692024448,
Men Elite,32,22521,Curtis,White,,1:04:29,,187.18030397399,179.81307422544,
Men Elite,33,22210,Marek,Konwa,,1:04:36,,184.33304262876,181.9192282064,
Men Elite,34,178684,Timothé,Gabriel,,,,183.96098247611,184.02538218735,
Men Elite,35,26685,Eric,Brunner,,,,180.44531545743,186.13153616831,
Men Elite,36,100269,Lucas,Dubau,,,,177.70692024448,188.23769014927,
Men Elite,37,160632,Remon,Delnoije,,,,200.38600473123,190.34384413023,
Men Elite,38,136328,Jules,Van kempen,,,,225.38614241245,192.44999811118,
Men Elite,39,155363,Mario,Junquera san millan,,,,188.97047586319,194.55615209214,
